Afghanistan,"total: 18.1 years 
      
      
        male: 18.1 years 
      
      
        female: 18.2 years (2014 est.)"
Albania,"total: 31.6 years 
      
      
        male: 30.3 years 
      
      
        female: 32.9 years (2014 est.)"
Algeria,"total: 27.3 years 
      
      
        male: 27 years 
      
      
        female: 27.5 years (2014 est.)"
American Samoa,"total: 28.3 years 
      
      
        male: 28.8 years 
      
      
        female: 27.8 years (2014 est.)"
Andorra,"total: 42.4 years 
      
      
        male: 42.6 years 
      
      
        female: 42.2 years (2014 est.)"
Angola,"total: 17.9 years 
      
      
        male: 17.7 years 
      
      
        female: 18.1 years (2014 est.)"
Anguilla,"total: 34.1 years 
      
      
        male: 32.4 years 
      
      
        female: 35.7 years (2014 est.)"
Antigua and Barbuda,"total: 31.1 years 
      
      
        male: 29.4 years 
      
      
        female: 32.6 years (2014 est.)"
Argentina,"total: 31.2 years 
      
      
        male: 30.1 years 
      
      
        female: 32.3 years (2014 est.)"
Armenia,"total: 33.7 years 
      
      
        male: 31.8 years 
      
      
        female: 35.8 years (2014 est.)"
Aruba,"total: 38.8 years 
      
      
        male: 36.9 years 
      
      
        female: 40.6 years (2014 est.)"
Australia,"total: 38.3 years 
      
      
        male: 37.5 years 
      
      
        female: 39 years (2014 est.)"
Austria,"total: 44.3 years 
      
      
        male: 43.2 years 
      
      
        female: 45.3 years (2014 est.)"
Azerbaijan,"total: 30.1 years 
      
      
        male: 28.5 years 
      
      
        female: 31.9 years (2014 est.)"
"Bahamas, The","total: 31.2 years 
      
      
        male: 30.1 years 
      
      
        female: 32.3 years (2014 est.)"
Bahrain,"total: 31.6 years 
      
      
        male: 33 years 
      
      
        female: 28.8 years (2014 est.)"
Bangladesh,"total: 24.3 years 
      
      
        male: 23.8 years 
      
      
        female: 24.8 years (2014 est.)"
Barbados,"total: 37.6 years 
      
      
        male: 36.5 years 
      
      
        female: 38.7 years (2014 est.)"
Belarus,"total: 39.4 years 
      
      
        male: 36.3 years 
      
      
        female: 42.4 years (2014 est.)"
Belgium,"total: 43.1 years 
      
      
        male: 41.7 years 
      
      
        female: 44.4 years (2014 est.)"
Belize,"total: 21.8 years 
      
      
        male: 21.6 years 
      
      
        female: 22 years (2014 est.)"
Benin,"total: 17.7 years 
      
      
        male: 17.4 years 
      
      
        female: 18.1 years (2014 est.)"
Bermuda,"total: 42.9 years 
      
      
        male: 41.1 years 
      
      
        female: 44.6 years (2014 est.)"
Bhutan,"total: 26.2 years 
      
      
        male: 26.8 years 
      
      
        female: 25.6 years (2014 est.)"
Bolivia,"total: 23.4 years 
      
      
        male: 22.6 years 
      
      
        female: 24.1 years (2014 est.)"
Bosnia and Herzegovina,"total: 40.8 years 
      
      
        male: 39.4 years 
      
      
        female: 42.2 years (2014 est.)"
Botswana,"total: 22.9 years 
      
      
        male: 22.9 years 
      
      
        female: 22.8 years (2014 est.)"
Brazil,"total: 30.7 years 
      
      
        male: 29.9 years 
      
      
        female: 31.5 years (2014 est.)"
British Virgin Islands,"total: 35.6 years 
      
      
        male: 35.5 years 
      
      
        female: 35.7 years (2014 est.)"
Brunei,"total: 29.3 years 
      
      
        male: 28.9 years 
      
      
        female: 29.6 years (2014 est.)"
Bulgaria,"total: 42.6 years 
      
      
        male: 40.3 years 
      
      
        female: 44.8 years (2014 est.)"
Burkina Faso,"total: 17 years 
      
      
        male: 16.9 years 
      
      
        female: 17.2 years (2014 est.)"
Burma,"total: 27.9 years 
      
      
        male: 27.3 years 
      
      
        female: 28.5 years (2014 est.)"
Burundi,"total: 17 years 
      
      
        male: 16.7 years 
      
      
        female: 17.2 years (2014 est.)"
Cabo Verde,"total: 24 years 
      
      
        male: 23.2 years 
      
      
        female: 24.8 years (2014 est.)"
Cambodia,"total: 24.1 years 
      
      
        male: 23.4 years 
      
      
        female: 24.8 years (2014 est.)"
Cameroon,"total: 18.3 years 
      
      
        male: 18.2 years 
      
      
        female: 18.4 years (2014 est.)"
Canada,"total: 41.7 years 
      
      
        male: 40.4 years 
      
      
        female: 42.9 years (2014 est.)"
Cayman Islands,"total: 39.5 years 
      
      
        male: 38.8 years 
      
      
        female: 40.1 years (2014 est.)"
Central African Republic,"total: 19.4 years 
      
      
        male: 19.1 years 
      
      
        female: 19.8 years (2014 est.)"
Chad,"total: 17.2 years 
      
      
        male: 16.1 years 
      
      
        female: 18.2 years (2014 est.)"
Chile,"total: 33.3 years 
      
      
        male: 32.2 years 
      
      
        female: 34.6 years (2014 est.)"
China,"total: 36.7 years 
      
      
        male: 35.8 years 
      
      
        female: 37.5 years (2014 est.)"
Colombia,"total: 28.9 years 
      
      
        male: 27.9 years 
      
      
        female: 29.9 years (2014 est.)"
Comoros,"total: 19.2 years 
      
      
        male: 18.5 years 
      
      
        female: 19.8 years (2014 est.)"
"Congo, Democratic Republic of the","total: 17.9 years 
      
      
        male: 17.7 years 
      
      
        female: 18.1 years (2014 est.)"
"Congo, Republic of the","total: 19.8 years 
      
      
        male: 19.7 years 
      
      
        female: 20 years (2014 est.)"
Cook Islands,"total: 34.4 years 
      
      
        male: 33.8 years 
      
      
        female: 35 years (2014 est.)"
Costa Rica,"total: 30 years 
      
      
        male: 29.5 years 
      
      
        female: 30.5 years (2014 est.)"
Cote d'Ivoire,"total: 20.3 years 
      
      
        male: 20.3 years 
      
      
        female: 20.2 years (2014 est.)"
Croatia,"total: 42.1 years 
      
      
        male: 40.2 years 
      
      
        female: 43.9 years (2014 est.)"
Cuba,"total: 39.9 years 
      
      
        male: 39.1 years 
      
      
        female: 40.8 years (2014 est.)"
Curacao,"total: 36.2 years 
      
      
        male: 32.7 years 
      
      
        female: 39.9 years (2013 est.)"
Cyprus,"total: 35.7 years 
      
      
        male: 34.4 years 
      
      
        female: 37.4 years (2014 est.)"
Czech Republic,"total: 40.9 years 
      
      
        male: 39.6 years 
      
      
        female: 42.3 years (2014 est.)"
Denmark,"total: 41.6 years 
      
      
        male: 40.7 years 
      
      
        female: 42.5 years (2014 est.)"
Djibouti,"total: 22.8 years 
      
      
        male: 21.1 years 
      
      
        female: 24.1 years (2014 est.)"
Dominica,"total: 32.1 years 
      
      
        male: 31.7 years 
      
      
        female: 32.6 years (2014 est.)"
Dominican Republic,"total: 27.1 years 
      
      
        male: 26.9 years 
      
      
        female: 27.3 years (2014 est.)"
Ecuador,"total: 26.7 years 
      
      
        male: 26 years 
      
      
        female: 27.3 years (2014 est.)"
Egypt,"total: 25.1 years 
      
      
        male: 24.7 years 
      
      
        female: 25.4 years (2014 est.)"
El Salvador,"total: 25.6 years 
      
      
        male: 24.1 years 
      
      
        female: 27.1 years (2014 est.)"
Equatorial Guinea,"total: 19.4 years 
      
      
        male: 18.8 years 
      
      
        female: 19.9 years (2014 est.)"
Eritrea,"total: 19.1 years 
      
      
        male: 18.8 years 
      
      
        female: 19.5 years (2014 est.)"
