Albania,"total: 17 
      
      
        by type: cargo 16, roll on/roll off 1 
      
      
        foreign-owned: 1 (Turkey 1) 
      
      
        registered in other countries: 5 (Antigua and Barbuda 1, Panama 4) (2010)"
Algeria,"total: 38 
      
      
        by type: bulk carrier 6, cargo 8, chemical tanker 3, liquefied gas 11, passenger/cargo 3, petroleum tanker 4, roll on/roll off 3 
      
      
        foreign-owned: 15 (UK, 15) (2010)"
Angola,"total: 7 
      
      
        by type: cargo 1, chemical tanker 1, passenger/cargo 2, petroleum tanker 2, roll on/roll off 1 
      
      
        foreign-owned: 1 (Spain 1) 
      
      
        registered in other countries: 17 (Bahamas 6, Curacao 2, Cyprus 1, Liberia 1, Malta 7) (2010)"
Antigua and Barbuda,"total: 1,257 
      
      
        by type: bulk carrier 49, cargo 753, carrier 6, chemical tanker 4, container 407, liquefied gas 12, refrigerated cargo 7, roll on/roll off 17, vehicle carrier 2 
      
      
        foreign-owned: 1,215 (Albania 1, Colombia 1, Denmark 20, Estonia 10, Germany 1094, Greece 4, Iceland 10, Latvia 16, Lithuania 3, Mexico 1, Netherlands 17, Norway 9, NZ 2, Poland 2, Russia 3, Switzerland 7, Turkey 7, UK 1, US 7) (2010)"
Argentina,"total: 36 
      
      
        by type: bulk carrier 1, cargo 5, chemical tanker 6, container 1, passenger/cargo 1, petroleum tanker 18, refrigerated cargo 4 
      
      
        foreign-owned: 14 (Brazil 1, Chile 6, Spain 3, Taiwan 2, UK 2) 
      
      
        registered in other countries: 15 (Liberia 1, Panama 5, Paraguay 5, Uruguay 1, unknown 3) (2010)"
Australia,"total: 41 
      
      
        by type: bulk carrier 8, cargo 7, liquefied gas 4, passenger 6, passenger/cargo 6, petroleum tanker 5, roll on/roll off 5 
      
      
        foreign-owned: 17 (Canada 5, Germany 2, Singapore 2, South Africa 1, UK 5, US 2) 
      
      
        registered in other countries: 25 (Bahamas 1, Dominica 1, Fiji 2, Liberia 1, Netherlands 1, Panama 4, Singapore 12, Tonga 1, UK 1, US 1) (2010)"
Austria,"registered in other countries: 3 (Cyprus 1, Kazakhstan 1, Saint Vincent and the Grenadines 1) (2010)"
Azerbaijan,"total: 90 
      
      
        by type: cargo 27, chemical tanker 1, passenger 2, passenger/cargo 8, petroleum tanker 47, roll on/roll off 3, specialized tanker 2 
      
      
        foreign-owned: 1 (Turkey 1) 
      
      
        registered in other countries: 2 (Malta 1, Saint Vincent and the Grenadines 1) (2010)"
"Bahamas, The","total: 1,160 
      
      
        by type: barge carrier 1, bulk carrier 238, cargo 170, carrier 2, chemical tanker 87, combination ore/oil 8, container 57, liquefied gas 71, passenger 102, passenger/cargo 26, petroleum tanker 225, refrigerated cargo 97, roll on/roll off 13, specialized tanker 2, vehicle carrier 61 
      
      
        foreign-owned: 1,063 (Angola 6, Australia 1, Belgium 6,  Bermuda 15, Brazil 1, Canada 96, Croatia 1, Cyprus 23, Denmark 69, Finland 8, France 15, Germany 30, Greece 225, Guernsey 6, Hong Kong 3, Indonesia 2, Ireland 3, Italy 1, Japan 88, Jordan 2, Kuwait 1, Malaysia 13, Monaco 8, Montenegro 2, Netherlands 23, Nigeria 2, Norway 186, Poland 34, Saudi Arabia 16, Singapore 7, South Korea 1, Spain 6, Sweden 11, Switzerland 1, Thailand 4, Turkey 3, UAE 23, UK 18, US 109) 
      
      
        registered in other countries: 6 (Panama 6) (2010)"
Bahrain,"total: 8 
      
      
        by type: bulk carrier 2, container 4, petroleum tanker 2 
      
      
        foreign-owned: 5 (Kuwait 5) 
      
      
        registered in other countries: 5 (Honduras 5) (2010)"
Bangladesh,"total: 62 
      
      
        by type: bulk carrier 25, cargo 28, chemical tanker 1, container 5, petroleum tanker 3 
      
      
        foreign-owned: 8 (China 1, Singapore 7) 
      
      
        registered in other countries: 10 (Comoros 1, Hong Kong 1, Panama 5, Saint Vincent and the Grenadines 1, Sierra Leone 1, Singapore 1) (2010)"
