Afghanistan,"Afghan Armed Forces: Afghan National Army (ANA, includes Afghan Air Force (AAF)) (2011)"
Albania,"Land Forces Command, Navy Force Command, Air Forces Command (2013)"
Algeria,"People's National Army (Armee Nationale Populaire, ANP), Land Forces (Forces Terrestres, FT), Navy of the Republic of Algeria (Marine de la Republique Algerienne, MRA), Air Force (Al-Quwwat al-Jawwiya al-Jaza'eriya, QJJ), Territorial Air Defense Force (2009)"
Andorra,"no regular military forces, Police Service of Andorra (2011)"
Angola,"Angolan Armed Forces (Forcas Armadas Angolanas, FAA): Army, Navy (Marinha de Guerra Angola, MGA), Angolan National Air Force (Forca Aerea Nacional Angolana, FANA; under operational control of the Army) (2012)"
Antigua and Barbuda,"Ministry of National Security, Royal Antigua and Barbuda Defense Force (includes Antigua and Barbuda Coast Guard) (2012)"
Argentina,"Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA) (2013)"
Armenia,"Armenian Armed Forces: Ground Forces, Air Force and Air Defense; ""Nagorno-Karabakh Republic"": Nagorno-Karabakh Self-Defense Force (NKSDF) (2011)"
Aruba,no regular military forces (2011)
Australia,Australian Defense Force (ADF): Australian Army; Royal Australian Navy (includes Naval Aviation Force); Royal Australian Air Force; Joint Operations Command (JOC) (2013)
Austria,"Land Forces (KdoLdSK), Air Forces (KdoLuSK)"
Azerbaijan,"Army, Navy, Air, and Air Defense Forces (2010)"
"Bahamas, The","Royal Bahamas Defense Force: Land Force, Navy, Air Wing (2011)"
Bahrain,"Bahrain Defense Force (BDF): Royal Bahraini Army (RBA), Royal Bahraini Navy (RBN), Royal Bahraini Air Force (RBAF), Royal Bahraini Air Defense Force (RBADF) (2013)"
Bangladesh,"Bangladesh Defense Force: Bangladesh Army (Sena Bahini), Bangladesh Navy (Noh Bahini, BN), Bangladesh Air Force (Biman Bahini, BAF) (2013)"
Barbados,"Royal Barbados Defense Force: Troops Command, Barbados Coast Guard (2011)"
Belarus,"Belarus Armed Forces: Land Force, Air and Air Defense Force, Special Operations Force (2013)"
Belgium,"Belgian Armed Forces: Land Operations Command, Naval Operations Command, Air Operations Command (2012)"
Belize,"Belize Defense Force (BDF): Army, BDF Air Wing (includes Special Boat Unit), BDF Volunteer Guard (2011)"
Benin,"Benin Armed Forces (Forces Armees Beninoises, FAB): Army (l'Arme de Terre), Benin Navy (Forces Navales Beninois, FNB), Benin Air Force (Force Aerienne du Benin, FAB) (2013)"
Bermuda,Bermuda Regiment (2012)
Bhutan,Royal Bhutan Army (includes Royal Bodyguard and Royal Bhutan Police) (2009)
Bolivia,"Bolivian Armed Forces: Bolivian Army (Ejercito Boliviano, EB), Bolivian Naval Force (Fuerza Naval Boliviana, FNB; includes Marines), Bolivian Air Force (Fuerza Aerea Boliviana, FAB) (2013)"
Bosnia and Herzegovina,"Armed Forces of Bosnia and Herzegovina (AFBiH): Army of Bosnia and Herzegovina, Air and Air Defense Forces of Bosnia and Herzegovina (Zrakoplovstvo i Protuzracna Obrana, ZPO) (2013)"
