Afghanistan,18 is the legal minimum age for voluntary military service; no conscription (2012)
Albania,19 is the legal minimum age for voluntary military service; 18 is the legal minimum age in case of general/partial compulsory mobilization (2012)
Algeria,"17 is the legal minimum age for voluntary military service; 19-30 years of age for compulsory service; conscript service obligation is 18 months (6 months basic training, 12 months civil projects) (2012)"
Angola,20-45 years of age for compulsory male and 18-45 years for voluntary male military service (registration at age 18 is mandatory); 20-45 years of age for voluntary female service; conscript service obligation - 2 years; Angolan citizenship required; the Navy (MGA) is entirely staffed with volunteers (2013)
Antigua and Barbuda,18 years of age for voluntary military service; no conscription; Governor-General has powers to call up men for national service and set the age at which they could be called up (2012)
Argentina,"18-24 years of age for voluntary military service (18-21 requires parental consent); no conscription; if the number of volunteers fails to meet the quota of recruits for a particular year, Congress can authorize the conscription of citizens turning 18 that year for a period not exceeding one year (2012)"
Armenia,"18-27 years of age for voluntary or compulsory military service; 2-year conscript service obligation; 17 year olds are eligible to become cadets at military higher education institutes, where they are classified as military personnel (2012)"
Australia,"17 years of age for voluntary military service (with parental consent); no conscription; women allowed to serve in most combat roles, except the Army special forces (2013)"
Austria,"registration requirement at age 17, the legal minimum age for voluntary military service; 18 is the legal minimum age for compulsory service; males under the age of 35 must complete basic military training (6 month duration); males 18 to 50 years old in the militia or inactive reserve are subject to compulsory service (2012)"
Azerbaijan,men between 18 and 35 are liable for military service; length of service is 18 months and 12 months for university graduates; 17 years of age for voluntary service; 17 year olds are considered to be on active service at cadet military schools (2012)
"Bahamas, The",18 years of age for voluntary male and female service; no conscription (2012)
Bahrain,"18 years of age for voluntary military service; 15 years of age for NCOs, technicians, and cadets; no conscription (2012)"
Bangladesh,16-19 years of age for voluntary military service; Bangladeshi birth and 10th grade education required; initial obligation 15 years (2012)
Barbados,"18 years of age for voluntary military service, or earlier with parental consent; no conscription (2013)"
Belarus,"18-27 years of age for compulsory military service; conscript service obligation is 12-18 months, depending on academic qualifications; 17 year olds are eligible to become cadets at military higher education institutes, where they are classified as military personnel (2012)"
Belgium,18 years of age for male and female voluntary military service; conscription abolished in 1994 (2012)
Belize,18 years of age for voluntary military service; laws allow for conscription only if volunteers are insufficient; conscription has never been implemented; volunteers typically outnumber available positions by 3:1; initial service obligation 12 years (2012)
Benin,18-35 years of age for selective compulsory and voluntary military service; a higher education diploma is required; both sexes are eligible for military service; conscript tour of duty - 18 months (2013)
Bermuda,18-45 years of age for voluntary male or female enlistment in the Bermuda Regiment; males must register at age 18 and may be subject to conscription; term of service is 38 months for volunteers or conscripts (2012)
Bhutan,"18 years of age for voluntary military service; no conscription; militia training is compulsory for males aged 20-25, over a 3-year period (2012)"
Bolivia,"18-49 years of age for 12-month compulsory male and female military service; Bolivian citizenship required; 17 years of age for voluntary service; when annual number of volunteers falls short of goal, compulsory recruitment is effected, including conscription of boys as young as 14; 15-19 years of age for voluntary premilitary service, provides exemption from further military service (2013)"
Bosnia and Herzegovina,18 years of age for voluntary military service; mandatory retirement at age 35 or after 15 years of service (2013)
Botswana,18 is the legal minimum age for voluntary military service; no conscription (2012)
Brazil,"18-45 years of age for compulsory military service; conscript service obligation is 9-12 months; 17-45 years of age for voluntary service; an increasing percentage of the ranks are ""long-service"" volunteer professionals; women were allowed to serve in the armed forces beginning in early 1980s when the Brazilian Army became the first army in South America to accept women into career ranks; women serve in Navy and Air Force only in Women's Reserve Corps (2012)"
Brunei,"17 years of age for voluntary military service; non-Malays are ineligible to serve; recruits from the army, navy, and air force all undergo 43-week initial training (2013)"
Bulgaria,18-27 years of age for voluntary military service; conscription ended in January 2008; service obligation 6-9 months (2012)
Burkina Faso,18 years of age for voluntary military service; no conscription; women may serve in supporting roles (2013)
Burma,"18-35 years of age (men) and 18-27 years of age (women) for voluntary military service; no conscription (a 2010 law reintroducing conscription has not yet entered into force); service obligation 2 years; male (ages 18-45) and female (ages 18-35) professionals (including doctors, engineers, mechanics) serve up to 3 years; service terms may be stretched to 5 years in an officially declared emergency; Burma signed the Convention on the Rights of the Child (CRC) on 15 August 1991; on 27 June 2012, the regime signed a Joint Action Plan on prevention of child recruitment; in February 2013, the military formed a new task force to address forced child conscription, which reportedly continues (2013)"
Burundi,"18 years of age for voluntary military service; the armed forces law of 31 December 2004 did not specify a minimum age for enlistment, but the government claimed that no one younger than 18 was being recruited; mandatory retirement age 45 (enlisted), 50 (NCOs), and 55 (officers) (2012)"
Cabo Verde,18-35 years of age for male and female selective compulsory military service; conscript service obligation - 2 years; 17 years of age for voluntary service (with parental consent) (2013)
Cambodia,18 is the legal minimum age for compulsory and voluntary military service (2012)
Cameroon,18-23 years of age for male and female voluntary military service; no conscription; high school graduation required; service obligation 4 years; the government makes periodic calls for volunteers (2012)
Canada,17 years of age for voluntary male and female military service (with parental consent); 16 years of age for Reserve and Military College applicants; Canadian citizenship or permanent residence status required; maximum 34 years of age; service obligation 3-9 years (2012)
Central African Republic,18 years of age for selective military service; 2-year conscript service obligation (2012)
Chad,"20 is the legal minimum age for compulsory military service, with a 3-year service obligation; 18 is the legal minimum age for voluntary service; no minimum age restriction for volunteers with consent from a parent or guardian; women are subject to 1 year of compulsory military or civic service at age of 21 (2012)"
Chile,"18-45 years of age for voluntary male and female military service, although the right to compulsory recruitment of males 18-45 is retained; service obligation is 12 months for Army and 22 months for Navy and Air Force (2012)"
China,"18-24 years of age for selective compulsory military service, with a 2-year service obligation; no minimum age for voluntary service (all officers are volunteers); 18-19 years of age for women high school graduates who meet requirements for specific military jobs; a recent military decision allows women in combat roles; the first class of women warship commanders was in 2011 (2012)"
Colombia,18-24 years of age for compulsory and voluntary military service; service obligation is 18 months (2012)
Comoros,18 years of age for 2-year voluntary military service; no conscription; women first inducted into the Army in 2004 (2012)
"Congo, Democratic Republic of the",18-45 years of age for voluntary and compulsory military service (2012)
"Congo, Republic of the",18 years of age for voluntary military service; women can serve in the Armed Forces (2012)
Cote d'Ivoire,18-25 years of age for compulsory and voluntary male and female military service; conscription is not enforced; voluntary recruitment of former rebels into the new national army is restricted to ages 22-29 (2012)
