Afghanistan,"20.1 
      
      
        note: median age at first birth among women 25-29 (2010 est.)"
Albania,23.4 (2010 est.)
Angola,18 (2008-09 est.)
Armenia,23.5 (2011 est.)
Australia,30.5 (2006 est.)
Austria,28.5 (2011 est.)
Azerbaijan,23.4 (2011 est.)
Bangladesh,"18.1 
      
      
        note: median age at first birth among women 25-29 (2011 est.)"
Belarus,25.1 (2011 est.)
Belgium,28 (2010 est.)
Benin,"20.3 
      
      
        note: median age at first birth among women 25-29 (2011-12 est.)"
Bolivia,"21.2 
      
      
        note: median age at first birth among women 25-29 (2008 est.)"
Bosnia and Herzegovina,26.3 (2011 est.)
Botswana,19 (2007 est.)
Bulgaria,26.3 (2011 est.)
Burkina Faso,"19.4 
      
      
        note: median age at first birth among women 25-29 (2010 est.)"
Burma,22.8 (2007 est.)
Burundi,"21.3 
      
      
        note: median age at first birth among women 25-29 (2010 est.)"
Cabo Verde,"19.5 
      
      
        note: median age at first birth among women 25-29 (2005 est.)"
Cambodia,"22.8 
      
      
        note: median age at first birth among women 25-29 (2010 est.)"
Cameroon,"19.7 
      
      
        note: median age at first birth among women 25-29 (2011 est.)"
Canada,28.1 (2011 est.)
Chad,"18.2 
      
      
        note: median age at first birth among women 25-29 (2004 est.)"
Chile,23.7 (2004 est.)
Colombia,"21.4 
      
      
        note: median age at first birth among women 25-29 (2010 est.)"
Comoros,"24.6 
      
      
        note: median age at first birth among women 25-29 (2012 est.)"
"Congo, Democratic Republic of the","20.2 
      
      
        note: median age at first birth among women 25-29 (2007 est.)"
"Congo, Republic of the","19.8 
      
      
        note: median age at first birth among women 25-29 (2011-12 est.)"
Cote d'Ivoire,"19.8 
      
      
        note: median age at first birth among women 25-29 (2011-12 est.)"
Croatia,27.9 (2011 est.)
Cyprus,"28.5 
      
      
        note: data cover only government-controlled areas; data are based on events and not on fertility rates (2010 est.)"
Czech Republic,27.8 (2011 est.)
Denmark,29.1 (2012 est.)
Dominican Republic,"20.3 
      
      
        note: median age at first birth among women 25-29 (2007 est.)"
Ecuador,"21.1 
      
      
        note: median age at first birth among women 25-29 (2004 est.)"
Egypt,"22.9 
      
      
        note: median age at first birth among women 25-29 (2008 est.)"
El Salvador,"20.8 
      
      
        note: median age at first birth among women 25-29 (2008 est.)"
Eritrea,"20.6 
      
      
        note: median age at first birth among women 25-29 (2002 est.)"
Estonia,26.4 (2011 est.)
Ethiopia,"19.6 
      
      
        note: median age at first birth among women 25-29 (2011 est.)"
Finland,28.4 (2011 est.)
France,28.1 (2010 est.)
Gabon,"20.3 
      
      
        note: median age at first birth among women 25-29 (2012 est.)"
Gaza Strip,"19 
      
      
        note: median age at first birth among women 25-29 (2004 est.)"
Georgia,"24 
      
      
        note: data do not cover Abkhazia and South Ossetia (2011 est.)"
Germany,29.2 (2012 est.)
Ghana,"21.8 
      
      
        note: median age at first birth among women 25-29 (2008 est.)"
Greece,31.2 (2010 est.)
Guatemala,"20.3 
      
      
        note: median age at first birth among women 25-29 (2008-09 est.)"
Guinea,"18.9 
      
      
        note: median age at first birth among women 25-29 (2012 est.)"
Guyana,"20.8 
      
      
        note: median age at first birth among women 25-29 (2009 est.)"
Haiti,"22.7 
      
      
        note: median age at first birth among women 25-29 (2012)"
Honduras,"20.4 
      
      
        note: median age a first birth among women 25-29 (2011-12 est.)"
Hong Kong,29.8 (2008 est.)
Hungary,28.3 (2011 est.)
Iceland,27 (2011 est.)
India,19.9 (2005-06 est.)
Indonesia,"22.8 
      
      
        note: median age at first birth among women 25-29 (2012 est.)"
