Afghanistan,"name: ""Milli Surood"" (National Anthem) 
      
      
        lyrics/music: Abdul Bari JAHANI/Babrak WASA 
      
      
        note: adopted 2006; the 2004 constitution of the post-Taliban government mandated that a new national anthem should be written containing the phrase ""Allahu Akbar"" (God is Great) and mentioning the names of Afghanistan's ethnic groups"
Akrotiri,"note: as a United Kingdom area of special sovereignty, ""God Save the Queen"" is official (see United Kingdom)"
Albania,"name: ""Hymni i Flamurit"" (Hymn to the Flag) 
      
      
        lyrics/music: Aleksander Stavre DRENOVA/Ciprian PORUMBESCU 
      
      
        note: adopted 1912"
Algeria,"name: ""Kassaman"" (We Pledge) 
      
      
        lyrics/music: Mufdi ZAKARIAH/Mohamed FAWZI 
      
      
        note: adopted 1962; ZAKARIAH wrote ""Kassaman"" as a poem while imprisoned in Algiers by French colonial forces"
American Samoa,"name: ""Amerika Samoa"" (American Samoa) 
      
      
        lyrics/music: Mariota Tiumalu TUIASOSOPO/Napoleon Andrew TUITELELEAPAGA 
      
      
        note: local anthem adopted 1950; as a territory of the United States, ""The Star-Spangled Banner"" is official (see United States)"
Andorra,"name: ""El Gran Carlemany"" (The Great Charlemagne) 
      
      
        lyrics/music: Joan BENLLOCH i VIVO/Enric MARFANY BONS 
      
      
        note: adopted 1921; the anthem provides a brief history of Andorra in a first person narrative"
Angola,"name: ""Angola Avante"" (Forward Angola) 
      
      
        lyrics/music: Manuel Rui Alves MONTEIRO/Rui Alberto Vieira Dias MINGAO 
      
      
        note: adopted 1975"
Anguilla,"name: ""God Bless Anguilla"" 
      
      
        lyrics/music: Alex RICHARDSON 
      
      
        note: local anthem adopted 1981; as a territory of the United Kingdom, ""God Save the Queen"" is official (see United Kingdom)"
Antigua and Barbuda,"name: ""Fair Antigua, We Salute Thee"" 
      
      
        lyrics/music: Novelle Hamilton RICHARDS/Walter Garnet Picart CHAMBERS 
      
      
        note: adopted 1967; as a Commonwealth country, in addition to the national anthem, ""God Save the Queen"" serves as the royal anthem (see United Kingdom)"
Argentina,"name: ""Himno Nacional Argentino"" (Argentine National Anthem) 
      
      
        lyrics/music: Vicente LOPEZ y PLANES/Jose Blas PARERA 
      
      
        note: adopted 1813; Vicente LOPEZ was inspired to write the anthem after watching a play about the 1810 May Revolution against Spain"
Armenia,"name: ""Mer Hayrenik""""(Our Fatherland) 
      
      
        lyrics/music: Mikael NALBANDIAN/Barsegh KANACHYAN 
      
      
        note: adopted 1991; based on the anthem of the Democratic Republic of Armenia (1918-1922) but with different lyrics"
Aruba,"name: ""Aruba Deshi Tera"" (Aruba Precious Country) 
      
      
        lyrics/music: Juan Chabaya 'Padu' LAMPE/Rufo Inocencio WEVER 
      
      
        note: local anthem adopted 1986; as part of the Kingdom of the Netherlands, ""Het Wilhelmus"" is official (see Netherlands)"
Australia,"name: ""Advance Australia Fair"" 
      
      
        lyrics/music: Peter Dodds McCORMICK 
      
      
        note: adopted 1984; although originally written in the late 19th century, the anthem did not become used for all official occasions until 1984; as a Commonwealth country, in addition to the national anthem, ""God Save the Queen"" is also played at Royal functions (see United Kingdom)"
Austria,"name: ""Bundeshymne"" (Federal Hymn) 
      
      
        lyrics/music: Paula von PRERADOVIC/Wolfgang Amadeus MOZART or Johann HOLZER (disputed) 
      
      
        note: adopted 1947; the anthem is also known as ""Land der Berge, Land am Strome"" (Land of the Mountains, Land on the River); Austria adopted a new national anthem after World War II to replace the former imperial anthem composed by Franz Josef HAYDN, which had been appropriated by Germany in 1922 and was now associated with the Nazi regime"
Azerbaijan,"name: ""Azerbaijan Marsi"" (March of Azerbaijan) 
      
      
        lyrics/music: Ahmed JAVAD/Uzeyir HAJIBEYOV 
      
      
        note: adopted 1992; although originally written in 1919 during a brief period of independence, ""Azerbaijan Marsi"" did not become the official anthem until after the dissolution of the Soviet Union"
"Bahamas, The","name: ""March On, Bahamaland!"" 
      
      
        lyrics/music: Timothy GIBSON 
      
      
        note: adopted 1973; as a Commonwealth country, in addition to the national anthem, ""God Save the Queen"" serves as the royal anthem (see United Kingdom)"
Bahrain,"name: ""Bahrainona"" (Our Bahrain) 
      
      
        lyrics/music: unknown 
      
      
        note: adopted 1971; although Mohamed Sudqi AYYASH wrote the original lyrics, they were changed in 2002 following the transformation of Bahrain from an emirate to a kingdom"
Bangladesh,"name: ""Amar Shonar Bangla"" (My Golden Bengal) 
      
      
        lyrics/music: Rabindranath TAGORE 
      
      
        note: adopted 1971; Rabindranath TAGORE, a Nobel laureate, also wrote India's national anthem"
Barbados,"name: ""The National Anthem of Barbados"" 
      
      
        lyrics/music: Irving BURGIE/C. Van Roland EDWARDS 
      
      
        note: adopted 1966; the anthem is also known as ""In Plenty and In Time of Need"""
Belarus,"name: ""My, Bielarusy"" (We Belarusians) 
      
      
        lyrics/music: Mikhas KLIMKOVICH and Uladzimir KARYZNA/Nester SAKALOUSKI 
      
      
        note: music adopted 1955, lyrics adopted 2002; after the fall of the Soviet Union, Belarus kept the music of its Soviet-era anthem but adopted new lyrics; also known as ""Dziarzauny himn Respubliki Bielarus"" (State Anthem of the Republic of Belarus)"
Belgium,"name: ""La Brabanconne"" (The Song of Brabant) 
      
      
        lyrics/music: Louis-Alexandre DECHET[French] Victor CEULEMANS [Dutch]/Francois VAN CAMPENHOUT 
      
      
        note: adopted 1830; Louis-Alexandre DECHET was an actor at the theater in which the revolution against the Netherlands began; according to legend, he wrote the lyrics with a group of young people in a Brussels cafe"
Belize,"name: ""Land of the Free"" 
      
      
        lyrics/music: Samuel Alfred HAYNES/Selwyn Walford YOUNG 
      
      
        note: adopted 1981; as a Commonwealth country, in addition to the national anthem, ""God Save the Queen"" serves as the royal anthem (see United Kingdom)"
Benin,"name: ""L'Aube Nouvelle"" (The Dawn of a New Day) 
      
      
        lyrics/music: Gilbert Jean DAGNON 
      
      
        note: adopted 1960"
Bermuda,"name: ""Hail to Bermuda"" 
      
      
        lyrics/music: Bette JOHNS 
      
      
        note: serves as a local anthem; as a territory of the United Kingdom, ""God Save the Queen"" is official (see United Kingdom)"
Bhutan,"name: ""Druk tsendhen"" (The Thunder Dragon Kingdom) 
      
      
        lyrics/music: Gyaldun Dasho Thinley DORJI/Aku TONGMI 
      
      
        note: adopted 1953"
Bolivia,"name: ""Cancion Patriotica"" (Patriotic Song) 
      
      
        lyrics/music: Jose Ignacio de SANJINES/Leopoldo Benedetto VINCENTI 
      
      
        note: adopted 1852"
Bosnia and Herzegovina,"name: ""Drzavna himna Bosne i Hercegovine"" (The National Anthem of Bosnia and Herzegovina) 
      
      
        lyrics/music: Dusan SESTIC and Benjamin ISOVIC/Dusan SESTIC 
      
      
        note: music adopted 1999; lyrics adopted 2009"
Botswana,"name: ""Fatshe leno la rona"" (Our Land) 
      
      
        lyrics/music: Kgalemang Tumedisco MOTSETE 
      
      
        note: adopted 1966"
