Afghanistan,lion
Albania,double-headed eagle
Algeria,star and crescent; fennec fox
Angola,Palanca Negra Gigante (giant black sable antelope)
Anguilla,dolphin
Argentina,Sun of May (a sun-with-face symbol)
Armenia,Mount Ararat; eagle; lion
Australia,"Southern Cross constellation (five, seven-pointed stars); kangaroo; emu"
Austria,"golden eagle, Alpine gentian, edelweiss"
Azerbaijan,flames of fire
"Bahamas, The",blue marlin; flamingo
Bangladesh,"Bengal tiger, water lily"
Barbados,Neptune's trident
Belarus,mounted knight known as Pahonia (the Chaser)
Belgium,lion
Belize,"Baird's tapir (a large, browsing, forest-dwelling mammal); keel-billed toucan"
Benin,leopard
Bermuda,red lion
Bhutan,thunder dragon known as Druk
Bolivia,llama; Andean condor
Bosnia and Herzegovina,golden lily
Botswana,zebra
Brazil,Southern Cross constellation
Bulgaria,lion
Burkina Faso,white stallion
Burma,chinthe (mythical lion)
Burundi,lion
Cambodia,Angkor Wat temple; kouprey (wild ox)
Cameroon,lion
Canada,maple leaf
Central African Republic,elephant
Chad,goat (north); lion (south)
Chile,huemul (mountain deer); Andean condor
China,dragon
Christmas Island,golden bosun bird
Colombia,Andean condor
Comoros,four stars and crescent
"Congo, Democratic Republic of the",leopard
"Congo, Republic of the",lion; elephant
Costa Rica,clay-colored robin known as Yiguirro
Cote d'Ivoire,elephant
Croatia,red-white checkerboard
Cyprus,Cypriot mouflon (wild sheep); white dove
Czech Republic,double-tailed lion
Denmark,lion; mute swan
Dominica,Sisserou parrot
Dominican Republic,palmchat (bird)
Ecuador,Andean condor
Egypt,golden eagle
El Salvador,turquoise-browed motmot (bird)
Equatorial Guinea,silk cotton tree
Eritrea,camel
Estonia,"barn swallow, cornflower"
Ethiopia,Abyssinian lion
European Union,a circle of 12 stars
Falkland Islands (Islas Malvinas),ram
Faroe Islands,ram
Finland,lion
France,"Gallic rooster, fleur-de-lis, Marianne"
French Polynesia,outrigger canoe
French Southern and Antarctic Lands,sea lion
Gabon,black panther
"Gambia, The",lion
Georgia,Saint George; lion
Germany,golden eagle
Ghana,black star; golden eagle
Gibraltar,Barbary macaque
Greece,Greek cross (white cross on blue field; arms equal length)
Greenland,polar bear
Guam,coconut tree
Guatemala,quetzal (bird)
Guernsey,Guernsey cow; donkey
Guyana,Canje pheasant (hoatzin); jaguar
Haiti,Hispaniolan trogon (bird)
Holy See (Vatican City),crossed keys
Honduras,scarlet macaw; white-tailed deer
Hong Kong,orchid tree flower
Hungary,Holy Crown of Hungary (Crown of Saint Stephen); turul (falcon)
Iceland,gyrfalcon
India,"the Lion Capital of Ashoka, which depicts four Asiatic lions standing back to back mounted on a circular abacus, is the official emblem; the Bengal tiger is the national animal; the lotus is the national flower"
Indonesia,garuda (mythical bird)
Iran,lion
Iraq,golden eagle
Ireland,"harp, shamrock (trefoil)"
Isle of Man,triskelion (a motif of three legs)
Israel,Star of David (Magen David)
Italy,"white, five-pointed star (Stella d'Italia)"
Jamaica,green-and-black streamertail (bird)
Japan,red sun disc; chrysanthemum
Jersey,Jersey cow
Jordan,eagle
Kazakhstan,golden eagle
Kenya,lion
Kiribati,frigatebird
"Korea, North",red star
"Korea, South",taegeuk (yin yang symbol)
Kuwait,golden falcon
Kyrgyzstan,gyrfalcon
Laos,elephant
Latvia,white wagtail (bird)
Lebanon,cedar tree
Lesotho,Basotho hat
Liberia,white star
Libya,star and crescent; hawk
Lithuania,mounted knight known as Vytis (the Chaser)
Luxembourg,lion
Macau,lotus blossom
Macedonia,eight-rayed sun
Malaysia,tiger
Maldives,"coconut palm, yellowfin tuna"
Malta,Maltese cross
Mauritania,star and crescent
Mexico,golden eagle
Moldova,aurochs (a type of wild cattle)
Mongolia,soyombo emblem
Montenegro,double-headed eagle
Morocco,pentacle symbol; lion
Nepal,rhododendron blossom
Netherlands,lion
New Caledonia,kagu bird
New Zealand,"Southern Cross constellation (four, five-pointed stars); kiwi (bird), silver fern"
