Afghanistan,140 million cu m (2010 est.)
Albania,0 cu m (2012 est.)
Algeria,28.82 billion cu m (2010 est.)
American Samoa,0 cu m (2010 est.)
Angola,733 million cu m (2010 est.)
Antigua and Barbuda,0 cu m (2010 est.)
Argentina,43.29 billion cu m (2010 est.)
Armenia,2.1 billion cu m (2013 est.)
Aruba,1 cu m (2010 est.)
Australia,33.39 billion cu m (2010 est.)
Austria,9 billion cu m (2012 est.)
Azerbaijan,9.921 billion cu m (2010 est.)
"Bahamas, The",0 cu m (2010 est.)
Bahrain,12.77 billion cu m (2010 est.)
Bangladesh,19.91 billion cu m (2010 est.)
Barbados,20 million cu m (2010 est.)
Belarus,21.82 billion cu m (2010 est.)
Belgium,13.46 billion cu m (2011 est.)
Belize,0 cu m (2010 est.)
Benin,0 cu m (2010 est.)
Bermuda,0 cu m (2012 est.)
Bhutan,0 cu m (2010 est.)
Bolivia,9.432 billion cu m (2013 est.)
Bosnia and Herzegovina,256.9 million cu m (2013 est.)
Botswana,0 cu m (2010 est.)
Brazil,25.2 billion cu m (2010 est.)
British Virgin Islands,0 cu m (2010 est.)
Brunei,2.97 billion cu m (2010 est.)
Bulgaria,2.54 billion cu m (2010 est.)
Burkina Faso,0 cu m (2010 est.)
Burma,3.24 billion cu m (2010 est.)
Burundi,0 cu m (2010 est.)
Cabo Verde,0 cu m (2010 est.)
Cambodia,0 cu m (2010 est.)
Cameroon,210 million cu m (2010 est.)
Canada,82.48 billion cu m (2010 est.)
Cayman Islands,0 cu m (2010 est.)
Central African Republic,0 cu m (2010 est.)
Chad,0 cu m (2010 est.)
Chile,5.296 billion cu m (2010 est.)
China,150 billion cu m (2013 est.)
Colombia,9.08 billion cu m (2010 est.)
Comoros,0 cu m (2010 est.)
"Congo, Democratic Republic of the",0 cu m (2010 est.)
"Congo, Republic of the",930 million cu m (2010 est.)
Cook Islands,0 cu m (2010 est.)
Costa Rica,0 cu m (2010 est.)
Cote d'Ivoire,1.5 billion cu m (2010 est.)
Croatia,2.755 billion cu m (2012 est.)
Cuba,1.03 billion cu m (2012 est.)
Curacao,0 cu m (2009 est.)
Cyprus,0 cu m (2010 est.)
Czech Republic,8.158 billion cu m (2012 est.)
Denmark,4.994 billion cu m (2010 est.)
Djibouti,0 cu m (2010 est.)
Dominica,0 cu m (2010 est.)
Dominican Republic,820 million cu m (2010 est.)
Ecuador,330 million cu m (2010 est.)
Egypt,46.17 billion cu m (2010 est.)
El Salvador,0 cu m (2010 est.)
Equatorial Guinea,1.58 billion cu m (2010 est.)
Eritrea,0 cu m (2010 est.)
Estonia,701 million cu m (2010 est.)
Ethiopia,0 cu m (2010 est.)
European Union,443.9 billion cu m (2012 est.)
Falkland Islands (Islas Malvinas),0 cu m (2010 est.)
Faroe Islands,0 cu m (2010 est.)
Fiji,0 cu m (2010 est.)
Finland,4.7 billion cu m (2010 est.)
France,47.99 billion cu m (2010 est.)
French Polynesia,0 cu m (2010 est.)
Gabon,80 million cu m (2010 est.)
"Gambia, The",0 cu m (2010 est.)
Georgia,1.97 billion cu m (2012 est.)
Germany,75.2 billion cu m (2012 est.)
Ghana,120 million cu m (2010 est.)
Gibraltar,0 cu m (2010 est.)
Greece,4.2 billion cu m (2012 est.)
Greenland,0 cu m (2010 est.)
Grenada,0 cu m (2010 est.)
Guam,0 cu m (2010 est.)
Guatemala,0 cu m (2010 est.)
Guinea,0 cu m (2010 est.)
