Afghanistan,0 cu m (2011 est.)
Albania,0 cu m (2012 est.)
Algeria,52.02 billion cu m (2011 est.)
American Samoa,0 cu m (2011 est.)
Angola,0 cu m (2011 est.)
Antigua and Barbuda,0 cu m (2011 est.)
Argentina,200 million cu m (2011 est.)
Armenia,0 cu m (2013 est.)
Aruba,1 cu m (2011 est.)
Australia,30.27 billion cu m (2012 est.)
Austria,34.75 billion cu m (2012 est.)
Azerbaijan,5.55 billion cu m (2011 est.)
"Bahamas, The",0 cu m (2011 est.)
Bahrain,0 cu m (2011 est.)
Bangladesh,0 cu m (2011 est.)
Barbados,0 cu m (2011 est.)
Belarus,0 cu m (2011 est.)
Belgium,21.18 billion cu m (2012 est.)
Belize,0 cu m (2011 est.)
Benin,0 cu m (2011 est.)
Bermuda,0 cu m (2012 est.)
Bhutan,0 cu m (2011 est.)
Bolivia,44.94 billion cu m (2013 est.)
Bosnia and Herzegovina,0 cu m (2013 est.)
Botswana,0 cu m (2011 est.)
Brazil,400 million cu m (2012 est.)
British Virgin Islands,0 cu m (2011 est.)
Brunei,9.42 billion cu m (2011 est.)
Bulgaria,0 cu m (2011 est.)
Burkina Faso,0 cu m (2011 est.)
Burma,8.57 billion cu m (2011 est.)
Burundi,0 cu m (2011 est.)
Cabo Verde,0 cu m (2011 est.)
Cambodia,0 cu m (2011 est.)
Cameroon,0 cu m (2011 est.)
Canada,88.29 billion cu m (2012 est.)
Cayman Islands,0 cu m (2011 est.)
Central African Republic,0 cu m (2011 est.)
Chad,0 cu m (2011 est.)
Chile,0 cu m (2011 est.)
China,2.4 billion cu m (2013 est.)
Colombia,2.11 billion cu m (2011 est.)
Comoros,0 cu m (2011 est.)
"Congo, Democratic Republic of the",0 cu m (2011 est.)
"Congo, Republic of the",39 million cu m (2012 est.)
Cook Islands,0 cu m (2011 est.)
Costa Rica,0 cu m (2011 est.)
Cote d'Ivoire,0 cu m (2011 est.)
Croatia,392 million cu m (2013 est.)
Cuba,0 cu m (2012 est.)
Curacao,0 cu m (2009 est.)
Cyprus,0 cu m (2011 est.)
Czech Republic,7.4 million cu m (2012 est.)
Denmark,2.983 billion cu m (2012 est.)
Djibouti,0 cu m (2011 est.)
Dominica,0 cu m (2011 est.)
Dominican Republic,0 cu m (2011 est.)
Ecuador,0 cu m (2011 est.)
Egypt,10.51 billion cu m (2011 est.)
El Salvador,0 cu m (2011 est.)
Equatorial Guinea,5.26 billion cu m (2011 est.)
Eritrea,0 cu m (2011 est.)
Estonia,0 cu m (2012 est.)
Ethiopia,0 cu m (2011 est.)
