Afghanistan,0 cu m (2011 est.)
Albania,0 cu m (2012 est.)
Algeria,0 cu m (2011 est.)
American Samoa,0 cu m (2011 est.)
Angola,0 cu m (2011 est.)
Antigua and Barbuda,0 cu m (2011 est.)
Argentina,7.57 billion cu m (2011 est.)
Armenia,2.1 billion cu m (2013 est.)
Aruba,1 cu m (2011 est.)
Australia,10.92 billion cu m (2012 est.)
Austria,42.56 billion cu m (2012 est.)
Azerbaijan,250 million cu m (2011 est.)
"Bahamas, The",0 cu m (2011 est.)
Bahrain,0 cu m (2011 est.)
Bangladesh,0 cu m (2011 est.)
Barbados,0 cu m (2011 est.)
Belarus,21.02 billion cu m (2011 est.)
Belgium,38.9 billion cu m (2012 est.)
Belize,0 cu m (2011 est.)
Benin,0 cu m (2011 est.)
Bermuda,0 cu m (2012 est.)
Bhutan,0 cu m (2011 est.)
Bolivia,0 cu m (2013 est.)
Bosnia and Herzegovina,256.9 million cu m (2013 est.)
Botswana,0 cu m (2011 est.)
Brazil,13.3 billion cu m (2012 est.)
British Virgin Islands,0 cu m (2011 est.)
Brunei,0 cu m (2011 est.)
Bulgaria,2.64 billion cu m (2011 est.)
Burkina Faso,0 cu m (2011 est.)
Burma,0 cu m (2011 est.)
Burundi,0 cu m (2011 est.)
Cabo Verde,0 cu m (2011 est.)
Cambodia,0 cu m (2011 est.)
Cameroon,0 cu m (2011 est.)
Canada,31.31 billion cu m (2012 est.)
Cayman Islands,0 cu m (2011 est.)
Central African Republic,0 cu m (2011 est.)
Chad,0 cu m (2011 est.)
Chile,3.83 billion cu m (2012 est.)
China,53 billion cu m (2013 est.)
Colombia,"40,290 cu m (2011 est.)"
Comoros,0 cu m (2011 est.)
"Congo, Democratic Republic of the",0 cu m (2011 est.)
"Congo, Republic of the",0 cu m (2012 est.)
Cook Islands,0 cu m (2011 est.)
Costa Rica,0 cu m (2011 est.)
Cote d'Ivoire,0 cu m (2011 est.)
Croatia,1.137 billion cu m (2013 est.)
Cuba,0 cu m (2012 est.)
Curacao,0 cu m (2009 est.)
Cyprus,0 cu m (2011 est.)
Czech Republic,7.471 billion cu m (2012 est.)
Denmark,254 million cu m (2012 est.)
Djibouti,0 cu m (2011 est.)
Dominica,0 cu m (2011 est.)
Dominican Republic,930 million cu m (2011 est.)
Ecuador,"25,000 cu m (2012 est.)"
Egypt,0 cu m (2011 est.)
El Salvador,0 cu m (2011 est.)
Equatorial Guinea,0 cu m (2011 est.)
Eritrea,0 cu m (2011 est.)
Estonia,670 million cu m (2012 est.)
Ethiopia,0 cu m (2011 est.)
