Afghanistan,49.55 billion cu m (1 January 2013 est.)
Albania,849.5 million cu m (1 January 2013 est.)
Algeria,4.504 trillion cu m (1 January 2013 est.)
American Samoa,0 cu m (1 January 2013 est.)
Angola,366 billion cu m (1 January 2013 est.)
Antigua and Barbuda,0 cu m (1 January 2013 est.)
Argentina,332.5 billion cu m (1 January 2013 est.)
Armenia,0 cu m (1 January 2013 est.)
Aruba,0 cu m (1 January 2013 est.)
Australia,1.219 trillion cu m (1 January 2013 est.)
Austria,10.82 billion cu m (1 January 2013 est.)
Azerbaijan,991.1 billion cu m (1 January 2013 est.)
"Bahamas, The",0 cu m (1 January 2009 est.)
Bahrain,92.03 billion cu m (1 January 2013 est.)
Bangladesh,183.7 billion cu m (1 January 2013 est.)
Barbados,113.3 million cu m (1 January 2013 est.)
Belarus,2.832 billion cu m (1 January 2013 est.)
Belgium,0 cu m (1 January 2013 est.)
Belize,0 cu m (1 January 2013 est.)
Benin,1.133 billion cu m (1 January 2013 est.)
Bermuda,0 cu m (1 January 2013 est.)
Bhutan,0 cu m (1 January 2013 est.)
Bolivia,281.5 billion cu m (1 January 2013 est.)
Bosnia and Herzegovina,0 cu m (1 January 2013 est.)
Botswana,0 cu m (1 January 2013 est.)
Brazil,395.5 billion cu m (1 January 2013 est.)
British Virgin Islands,0 cu m (1 January 2013 est.)
Brunei,390.8 billion cu m (1 January 2013 est.)
Bulgaria,5.663 billion cu m (1 January 2013 est.)
Burkina Faso,0 cu m (1 January 2013 est.)
Burma,283.2 billion cu m (1 January 2013 est.)
Burundi,0 cu m (1 January 2013 est.)
Cabo Verde,0 cu m (1 January 2013 est.)
Cambodia,0 cu m (1 January 2013 est.)
Cameroon,135.1 billion cu m (1 January 2013 est.)
Canada,1.93 trillion cu m (1 January 2013 est.)
Cayman Islands,0 cu m (1 January 2013 est.)
Central African Republic,0 cu m (1 January 2013 est.)
Chad,999.5 billion cu m (1 January 2012 est.)
Chile,97.97 billion cu m (1 January 2013 est.)
China,3.1 trillion cu m (1 January 2013 est.)
Colombia,169.9 billion cu m (1 January 2013 est.)
Comoros,0 cu m (1 January 2013 est.)
"Congo, Democratic Republic of the",991.1 million cu m (1 January 2013 est.)
"Congo, Republic of the",90.61 billion cu m (1 January 2013 est.)
Cook Islands,0 cu m (1 January 2013 est.)
Costa Rica,0 cu m (1 January 2013 est.)
Cote d'Ivoire,28.32 billion cu m (1 January 2013 est.)
Croatia,24.92 billion cu m (1 January 2013 est.)
Cuba,70.79 billion cu m (1 January 2013 est.)
Curacao,0 cu m (1 January 2011 est.)
Cyprus,0 cu m (1 January 2013 est.)
Czech Republic,1.922 billion cu m (1 January 2013 est.)
Denmark,42.98 billion cu m (1 January 2013 est.)
Djibouti,0 cu m (1 January 2013 est.)
Dominica,0 cu m (1 January 2013 est.)
Dominican Republic,0 cu m (1 January 2013 est.)
Ecuador,6.994 billion cu m (1 January 2013 est.)
Egypt,2.186 trillion cu m (1 January 2013 est.)
El Salvador,0 cu m (1 January 2013 est.)
Equatorial Guinea,36.81 billion cu m (1 January 2013 est.)
Eritrea,0 cu m (1 January 2013 est.)
Estonia,0 cu m (1 January 2013 est.)
Ethiopia,24.92 billion cu m (1 January 2013 est.)
European Union,1.811 trillion cu m (1 January 2012 est.)
Falkland Islands (Islas Malvinas),0 cu m (1 January 2013 est.)
Faroe Islands,0 cu m (1 January 2013 est.)
Fiji,0 cu m (1 January 2013 est.)
Finland,0 cu m (1 January 2013 est.)
France,10.7 billion cu m (1 January 2013 est.)
French Polynesia,0 cu m (1 January 2013 est.)
Gabon,28.32 billion cu m (1 January 2013 est.)
"Gambia, The",0 cu m (1 January 2013 est.)
Georgia,8.495 billion cu m (1 January 2013 est.)
Germany,125 billion cu m (1 January 2013 est.)
Ghana,22.65 billion cu m (1 January 2013 est.)
Gibraltar,0 cu m (1 January 2013 est.)
Greece,991.1 million cu m (1 January 2013 est.)
Greenland,0 cu m (1 January 2013 est.)
Grenada,0 cu m (1 January 2013 est.)
Guam,0 cu m (1 January 2013 est.)
Guatemala,2.96 billion cu m (1 January 2006 est.)
Guinea,0 cu m (1 January 2013 est.)
Guinea-Bissau,0 cu m (1 January 2013 est.)
Guyana,0 cu m (1 January 2013 est.)
Haiti,0 cu m (1 January 2013 est.)
Honduras,0 cu m (1 January 2013 est.)
Hong Kong,0 cu m (1 January 2013 est.)
Hungary,8.098 billion cu m (1 January 2013 est.)
Iceland,0 cu m (1 January 2013 est.)
India,1.241 trillion cu m (1 January 2013 est.)
Indonesia,3.069 trillion cu m (1 January 2013 est.)
Iran,33.61 trillion cu m (1 January 2013 est.)
Iraq,3.158 trillion cu m (1 January 2013 est.)
Ireland,9.911 billion cu m (1 January 2013 est.)
Israel,268.5 billion cu m (1 January 2013 est.)
Italy,62.35 billion cu m (1 January 2013 est.)
Jamaica,0 cu m (1 January 2013 est.)
Japan,20.9 billion cu m (1 January 2013 est.)
Jordan,6.031 billion cu m (1 January 2013 est.)
Kazakhstan,2.407 trillion cu m (1 January 2013 est.)
Kenya,0 cu m (1 January 2013 est.)
Kiribati,0 cu m (1 January 2013 est.)
"Korea, North",0 cu m (1 January 2013 est.)
"Korea, South",5.269 billion cu m (1 January 2013 est.)
Kosovo,NA cu m
Kuwait,1.798 trillion cu m (1 January 2013 est.)
Kyrgyzstan,5.663 billion cu m (1 January 2013 est.)
Laos,0 cu m (1 January 2013 est.)
Latvia,0 cu m (1 January 2013 est.)
Lebanon,0 cu m (1 January 2013 est.)
Lesotho,0 cu m (1 January 2013 est.)
Liberia,0 cu m (1 January 2013 est.)
Libya,1.547 trillion cu m (1 January 2013 est.)
Lithuania,0 cu m (1 January 2013 est.)
Luxembourg,0 cu m (1 January 2013 est.)
Macau,0 cu m (1 January 2013 est.)
Macedonia,0 cu m (1 January 2013 est.)
Madagascar,2.01 billion cu m (1 January 2012 est.)
Malawi,0 cu m (1 January 2013 est.)
Malaysia,2.35 trillion cu m (1 January 2013 est.)
Maldives,0 cu m (1 January 2013 est.)
Mali,0 cu m (1 January 2013 est.)
Malta,"0 cu m (July 5, 1905 est.)"
Mauritania,28.32 billion cu m (1 January 2013 est.)
Mauritius,0 cu m (1 January 2013 est.)
Mexico,487.7 billion cu m (1 January 2013 est.)
Moldova,0 cu m (1 January 2013 est.)
Mongolia,0 cu m (1 January 2013 est.)
Montenegro,0 cu m (1 January 2013 est.)
Montserrat,0 cu m (1 January 2013 est.)
Morocco,1.444 billion cu m (1 January 2013 est.)
Mozambique,127.4 billion cu m (1 January 2013 est.)
Namibia,62.29 billion cu m (1 January 2013 est.)
Nauru,0 cu m (1 January 2013 est.)
Nepal,0 cu m (1 January 2013 est.)
Netherlands,1.09 trillion cu m (1 January 2013 est.)
New Caledonia,0 cu m (1 January 2013 est.)
New Zealand,29.42 billion cu m (1 January 2013 est.)
Nicaragua,0 cu m (1 January 2013 est.)
Niger,0 cu m (1 January 2013 est.)
Nigeria,5.153 trillion cu m (1 January 2013 est.)
Niue,0 cu m (1 January 2013 est.)
Norway,2.07 trillion cu m (1 January 2013 est.)
Oman,849.5 billion cu m (1 January 2013 est.)
Pakistan,679.6 billion cu m (1 January 2013 est.)
Panama,0 cu m (1 January 2013 est.)
Papua New Guinea,155.3 billion cu m (1 January 2013 est.)
Paraguay,0 cu m (1 January 2013 est.)
Peru,359.6 billion cu m (1 January 2013 est.)
Philippines,98.54 billion cu m (1 January 2013 est.)
Poland,92 billion cu m (1 January 2013 est.)
Portugal,0 cu m (1 January 2013 est.)
Puerto Rico,0 cu m (1 January 2013 est.)
Qatar,25.2 trillion cu m (1 January 2013 est.)
Romania,105.5 billion cu m (1 January 2013 est.)
Russia,47.8 trillion cu m (1 January 2013 est.)
Rwanda,56.63 billion cu m (1 January 2013 est.)
"Saint Helena, Ascension, and Tristan da Cunha",0 cu m (1 January 2013 est.)
Saint Kitts and Nevis,0 cu m (1 January 2013 est.)
Saint Lucia,0 cu m (1 January 2013 est.)
Saint Pierre and Miquelon,0 cu m (1 January 2013 est.)
Saint Vincent and the Grenadines,0 cu m (1 January 2013 est.)
Samoa,0 cu m (1 January 2013 est.)
Sao Tome and Principe,0 cu m (1 January 2013 est.)
Saudi Arabia,8.15 trillion cu m (1 January 2013 est.)
Senegal,0 cu m
Serbia,48.14 billion cu m (1 January 2013 est.)
Seychelles,0 cu m (1 January 2013 est.)
Sierra Leone,0 cu m (1 January 2013 est.)
Singapore,0 cu m (1 January 2013 est.)
Slovakia,14.16 billion cu m (1 January 2013 est.)
Slovenia,NA cu m (1 January 2013 est.)
Solomon Islands,0 cu m (1 January 2013 est.)
Somalia,5.663 billion cu m (1 January 2013 est.)
South Africa,16 billion cu m (1 January 2012 est.)
South Sudan,63.71 billion cu m (1 January 2013 est.)
Spain,2.548 billion cu m (1 January 2013 est.)
Sri Lanka,0 cu m (1 January 2013 est.)
Sudan,21.24 billion cu m (1 January 2013 est.)
Suriname,0 cu m (1 January 2011 est.)
Swaziland,0 cu m (1 January 2013 est.)
Sweden,0 cu m (1 January 2013 est.)
Switzerland,0 cu m (1 January 2011 est.)
Syria,240.7 billion cu m (1 January 2013 est.)
Taiwan,6.229 billion cu m (1 January 2013 est.)
Tajikistan,5.663 billion cu m (1 January 2013 est.)
Tanzania,6.513 billion cu m (1 January 2013 est.)
Thailand,284.9 billion cu m (1 January 2013 est.)
Timor-Leste,200 billion cu m (1 January 2006 est.)
Togo,0 cu m (1 January 2013 est.)
Tonga,0 cu m (1 January 2013 est.)
Trinidad and Tobago,375.4 billion cu m (1 January 2013 est.)
Tunisia,65.13 billion cu m (1 January 2013 est.)
Turkey,6.173 billion cu m (1 January 2013 est.)
Turkmenistan,17.5 trillion cu m (1 January 2013 est.)
Turks and Caicos Islands,0 cu m (1 January 2013 est.)
Uganda,14.16 billion cu m (1 January 2013 est.)
Ukraine,1.104 trillion cu m (1 January 2013 est.)
United Arab Emirates,6.089 trillion cu m (1 January 2013 est.)
United Kingdom,244 billion cu m (1 January 2013 est.)
United States,9.459 trillion cu m (1 January 2012 est.)
Uruguay,0 cu m (1 January 2013 est.)
Uzbekistan,1.841 trillion cu m (1 January 2013 est.)
Vanuatu,0 cu m (1 January 2013 est.)
Venezuela,5.524 trillion cu m (1 January 2013 est.)
Vietnam,699.4 billion cu m (1 January 2013 est.)
Virgin Islands,0 cu m (1 January 2013 est.)
West Bank,0 cu m (1 January 2013 est.)
Western Sahara,0 cu m (1 January 2013 est.)
World,204.7 trillion cu m (1 January 2013 est.)
Yemen,478.5 billion cu m (1 January 2013 est.)
Zambia,0 cu m (1 January 2013 est.)
Zimbabwe,0 cu m (1 January 2013 est.)
