Afghanistan,"-1.83 migrant(s)/1,000 population (2014 est.)"
Albania,"-3.31 migrant(s)/1,000 population (2014 est.)"
Algeria,"-0.93 migrant(s)/1,000 population (2014 est.)"
American Samoa,"-21.64 migrant(s)/1,000 population (2014 est.)"
Andorra,"0 migrant(s)/1,000 population (2014 est.)"
Angola,"0.47 migrant(s)/1,000 population (2014 est.)"
Anguilla,"12.43 migrant(s)/1,000 population (2014 est.)"
Antigua and Barbuda,"2.23 migrant(s)/1,000 population (2014 est.)"
Argentina,"0 migrant(s)/1,000 population (2014 est.)"
Armenia,"-5.88 migrant(s)/1,000 population (2014 est.)"
Aruba,"9.04 migrant(s)/1,000 population (2014 est.)"
Australia,"5.74 migrant(s)/1,000 population (2014 est.)"
Austria,"1.76 migrant(s)/1,000 population (2014 est.)"
Azerbaijan,"0 migrant(s)/1,000 population (2014 est.)"
"Bahamas, The","0 migrant(s)/1,000 population (2014 est.)"
Bahrain,"13.6 migrant(s)/1,000 population (2014 est.)"
Bangladesh,"-0.02 migrant(s)/1,000 population (2014 est.)"
Barbados,"-0.3 migrant(s)/1,000 population (2014 est.)"
Belarus,"0.78 migrant(s)/1,000 population (2014 est.)"
Belgium,"1.22 migrant(s)/1,000 population (2014 est.)"
Belize,"0 migrant(s)/1,000 population (2014 est.)"
Benin,"0 migrant(s)/1,000 population (2014 est.)"
Bermuda,"1.92 migrant(s)/1,000 population (2014 est.)"
Bhutan,"0 migrant(s)/1,000 population (2014 est.)"
Bolivia,"-0.69 migrant(s)/1,000 population (2014 est.)"
Bosnia and Herzegovina,"-0.38 migrant(s)/1,000 population (2014 est.)"
Botswana,"4.62 migrant(s)/1,000 population 
      
      
        note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2014 est.)"
Brazil,"-0.15 migrant(s)/1,000 population (2014 est.)"
British Virgin Islands,"17.69 migrant(s)/1,000 population (2014 est.)"
Brunei,"2.47 migrant(s)/1,000 population (2014 est.)"
Bulgaria,"-2.89 migrant(s)/1,000 population (2014 est.)"
Burkina Faso,"0 migrant(s)/1,000 population (2014 est.)"
Burma,"-0.3 migrant(s)/1,000 population (2014 est.)"
Burundi,"0 migrant(s)/1,000 population (2014 est.)"
Cabo Verde,"-0.64 migrant(s)/1,000 population (2014 est.)"
Cambodia,"-0.32 migrant(s)/1,000 population (2014 est.)"
Cameroon,"-0.15 migrant(s)/1,000 population (2014 est.)"
Canada,"5.66 migrant(s)/1,000 population (2014 est.)"
Cayman Islands,"14.71 migrant(s)/1,000 population 
      
      
        note: major destination for Cubans trying to migrate to the US (2014 est.)"
Central African Republic,"0 migrant(s)/1,000 population (2014 est.)"
Chad,"-3.54 migrant(s)/1,000 population (2014 est.)"
Chile,"0.35 migrant(s)/1,000 population (2014 est.)"
China,"-0.32 migrant(s)/1,000 population (2014 est.)"
Colombia,"-0.65 migrant(s)/1,000 population (2014 est.)"
Comoros,"-2.58 migrant(s)/1,000 population (2014 est.)"
"Congo, Democratic Republic of the","-0.33 migrant(s)/1,000 population (2014 est.)"
"Congo, Republic of the","-7.02 migrant(s)/1,000 population (2014 est.)"
Costa Rica,"0.84 migrant(s)/1,000 population (2014 est.)"
Cote d'Ivoire,"0 migrant(s)/1,000 population (2014 est.)"
Croatia,"1.43 migrant(s)/1,000 population (2014 est.)"
Cuba,"-3.64 migrant(s)/1,000 population (2014 est.)"
Curacao,"1.27 migrant(s)/1,000 population (2008)"
Cyprus,"9.89 migrant(s)/1,000 population (2014 est.)"
Czech Republic,"2.15 migrant(s)/1,000 population (2014 est.)"
Denmark,"2.25 migrant(s)/1,000 population (2014 est.)"
Djibouti,"6.06 migrant(s)/1,000 population (2014 est.)"
Dominica,"-5.39 migrant(s)/1,000 population (2014 est.)"
Dominican Republic,"-1.93 migrant(s)/1,000 population (2014 est.)"
Ecuador,"-0.13 migrant(s)/1,000 population (2014 est.)"
Egypt,"-0.19 migrant(s)/1,000 population (2014 est.)"
El Salvador,"-8.44 migrant(s)/1,000 population (2014 est.)"
Equatorial Guinea,"0 migrant(s)/1,000 population (2014 est.)"
Eritrea,"0 migrant(s)/1,000 population (2014 est.)"
Estonia,"-3.37 migrant(s)/1,000 population (2014 est.)"
Ethiopia,"-0.23 migrant(s)/1,000 population 
      
      
        note: repatriation of Ethiopian refugees residing in Sudan is expected to continue for several years; some Sudanese, Somali, and Eritrean refugees, who fled to Ethiopia from the fighting or famine in their own countries, continue to return to their homes (2014 est.)"
European Union,"2.22 migrant(s)/1,000 population (2014 est.)"
Falkland Islands (Islas Malvinas),NA
Faroe Islands,"0 migrant(s)/1,000 population (2014 est.)"
Fiji,"-6.86 migrant(s)/1,000 population (2014 est.)"
Finland,"0.62 migrant(s)/1,000 population (2014 est.)"
France,"1.09 migrant(s)/1,000 population (2014 est.)"
French Polynesia,"-0.87 migrant(s)/1,000 population (2014 est.)"
Gabon,"-2.07 migrant(s)/1,000 population (2014 est.)"
"Gambia, The","-2.23 migrant(s)/1,000 population (2014 est.)"
Gaza Strip,"0 migrant(s)/1,000 population (2014 est.)"
Georgia,"-3.25 migrant(s)/1,000 population (2014 est.)"
Germany,"1.06 migrant(s)/1,000 population (2014 est.)"
Ghana,"-2.13 migrant(s)/1,000 population (2014 est.)"
Gibraltar,"-3.29 migrant(s)/1,000 population (2014 est.)"
Greece,"2.32 migrant(s)/1,000 population (2014 est.)"
Greenland,"-5.98 migrant(s)/1,000 population (2014 est.)"
Grenada,"-3.24 migrant(s)/1,000 population (2014 est.)"
Guam,"-7.61 migrant(s)/1,000 population (2014 est.)"
Guatemala,"-2 migrant(s)/1,000 population (2014 est.)"
Guernsey,"2.4 migrant(s)/1,000 population (2014 est.)"
Guinea,"0 migrant(s)/1,000 population (2014 est.)"
Guinea-Bissau,"0 migrant(s)/1,000 population (2014 est.)"
Guyana,"-9.67 migrant(s)/1,000 population (2014 est.)"
Haiti,"-4.12 migrant(s)/1,000 population (2014 est.)"
Honduras,"-1.18 migrant(s)/1,000 population (2014 est.)"
Hong Kong,"1.69 migrant(s)/1,000 population (2014 est.)"
Hungary,"1.34 migrant(s)/1,000 population (2014 est.)"
Iceland,"0.52 migrant(s)/1,000 population (2014 est.)"
India,"-0.05 migrant(s)/1,000 population (2014 est.)"
Indonesia,"-1.18 migrant(s)/1,000 population (2014 est.)"
Iran,"-0.08 migrant(s)/1,000 population (2014 est.)"
Iraq,"0 migrant(s)/1,000 population (2014 est.)"
Ireland,"3.31 migrant(s)/1,000 population (2014 est.)"
Isle of Man,"6.84 migrant(s)/1,000 population (2014 est.)"
Israel,"1.68 migrant(s)/1,000 population (2014 est.)"
Italy,"4.29 migrant(s)/1,000 population (2014 est.)"
Jamaica,"-4.83 migrant(s)/1,000 population (2014 est.)"
Japan,"0 migrant(s)/1,000 population (2014 est.)"
Jersey,"4.08 migrant(s)/1,000 population (2014 est.)"
Jordan,"17.22 migrant(s)/1,000 population (2014 est.)"
Kazakhstan,"0.42 migrant(s)/1,000 population (2014 est.)"
Kenya,"-0.22 migrant(s)/1,000 population (2014 est.)"
Kiribati,"-2.86 migrant(s)/1,000 population (2014 est.)"
"Korea, North","-0.04 migrant(s)/1,000 population (2014 est.)"
"Korea, South","0 migrant(s)/1,000 population (2014 est.)"
Kuwait,"-1.11 migrant(s)/1,000 population (2014 est.)"
Kyrgyzstan,"-6.16 migrant(s)/1,000 population (2014 est.)"
Laos,"-1.1 migrant(s)/1,000 population (2014 est.)"
Latvia,"-2.37 migrant(s)/1,000 population (2014 est.)"
Lebanon,"83.82 migrant(s)/1,000 population (2014 est.)"
Lesotho,"-7.62 migrant(s)/1,000 population (2014 est.)"
Liberia,"0 migrant(s)/1,000 population (2014 est.)"
Libya,"16.01 migrant(s)/1,000 population (2014 est.)"
Liechtenstein,"4.72 migrant(s)/1,000 population (2014 est.)"
Lithuania,"-0.73 migrant(s)/1,000 population (2014 est.)"
Luxembourg,"7.97 migrant(s)/1,000 population (2014 est.)"
Macau,"3.4 migrant(s)/1,000 population (2014 est.)"
Macedonia,"-0.48 migrant(s)/1,000 population (2014 est.)"
Madagascar,"0 migrant(s)/1,000 population (2014 est.)"
Malawi,"0.25 migrant(s)/1,000 population (2014 est.)"
Malaysia,"-0.34 migrant(s)/1,000 population 
      
      
        note: does not reflect net flow of an unknown number of illegal immigrants from other countries in the region (2014 est.)"
Maldives,"-12.67 migrant(s)/1,000 population (2014 est.)"
Mali,"-2.33 migrant(s)/1,000 population (2014 est.)"
Malta,"1.99 migrant(s)/1,000 population (2014 est.)"
Marshall Islands,"-4.92 migrant(s)/1,000 population (2014 est.)"
Mauritania,"-0.85 migrant(s)/1,000 population (2014 est.)"
Mauritius,"0 migrant(s)/1,000 population (2014 est.)"
Mexico,"-1.64 migrant(s)/1,000 population (2014 est.)"
"Micronesia, Federated States of","-20.93 migrant(s)/1,000 population (2014 est.)"
Moldova,"-9.8 migrant(s)/1,000 population (2014 est.)"
Monaco,"2.85 migrant(s)/1,000 population (2014 est.)"
Mongolia,"-0.85 migrant(s)/1,000 population (2014 est.)"
Montserrat,"0 migrant(s)/1,000 population (2014 est.)"
Morocco,"-3.46 migrant(s)/1,000 population (2014 est.)"
Mozambique,"-2.02 migrant(s)/1,000 population (2014 est.)"
Namibia,"0.05 migrant(s)/1,000 population (2014 est.)"
Nauru,"-14.12 migrant(s)/1,000 population (2014 est.)"
Nepal,"3.71 migrant(s)/1,000 population (2014 est.)"
Netherlands,"1.97 migrant(s)/1,000 population (2014 est.)"
New Caledonia,"4.06 migrant(s)/1,000 population 
      
      
        note: there has been steady emigration from Wallis and Futuna to New Caledonia (2014 est.)"
New Zealand,"2.23 migrant(s)/1,000 population (2014 est.)"
Nicaragua,"-3.13 migrant(s)/1,000 population (2014 est.)"
Niger,"-0.58 migrant(s)/1,000 population (2014 est.)"
Nigeria,"-0.22 migrant(s)/1,000 population (2014 est.)"
Northern Mariana Islands,"-4.02 migrant(s)/1,000 population (2014 est.)"
Norway,"7.96 migrant(s)/1,000 population (2014 est.)"
Oman,"-0.45 migrant(s)/1,000 population (2014 est.)"
Pakistan,"-1.69 migrant(s)/1,000 population (2014 est.)"
