Afghanistan,2.2% (2008)
Albania,21.3% (2008)
Algeria,16% (2008)
American Samoa,74.6% (2007)
Andorra,25.2% (2008)
Angola,6.4% (2008)
Antigua and Barbuda,25.6% (2008)
Argentina,29.7% (2008)
Armenia,24% (2008)
Australia,26.8% (2008)
Austria,20.9% (2008)
Azerbaijan,23.8% (2008)
"Bahamas, The",34.7% (2008)
Bahrain,32.9% (2008)
Bangladesh,1.1% (2008)
Barbados,34.7% (2008)
Belarus,24.3% (2008)
Belgium,22.1% (2008)
Belize,33.7% (2008)
Benin,6% (2008)
Bhutan,5.3% (2008)
Bolivia,17.9% (2008)
Bosnia and Herzegovina,26.5% (2008)
Botswana,11.2% (2008)
Brazil,18.8% (2008)
Brunei,7.5% (2008)
Bulgaria,23.7% (2008)
Burkina Faso,2.3% (2008)
Burma,4% (2008)
Burundi,2.9% (2008)
Cabo Verde,10% (2008)
Cambodia,2.1% (2008)
Cameroon,10.3% (2008)
Canada,26.2% (2008)
Central African Republic,3.5% (2008)
Chad,2.7% (2008)
Chile,29.4% (2008)
China,5.7% (2008)
Colombia,17.3% (2008)
Comoros,4.4% (2008)
"Congo, Democratic Republic of the",1.7% (2008)
"Congo, Republic of the",4.7% (2008)
Cook Islands,63.7% (2008)
Costa Rica,23.7% (2008)
Cote d'Ivoire,6.2% (2008)
Croatia,24.2% (2008)
Cuba,21.5% (2008)
Cyprus,25.5% (2008)
Czech Republic,32.7% (2008)
Denmark,18.2% (2008)
Djibouti,9.4% (2008)
Dominica,24.9% (2008)
Dominican Republic,21.2% (2008)
Ecuador,21.4% (2008)
Egypt,33.1% (2008)
El Salvador,25.8% (2008)
Equatorial Guinea,10.6% (2008)
Eritrea,1.5% (2008)
Estonia,20.6% (2008)
Ethiopia,1.1% (2008)
Fiji,30.6% (2008)
Finland,23% (2008)
France,18.2% (2008)
Gabon,13.9% (2008)
"Gambia, The",7.9% (2008)
Georgia,22.1% (2008)
Germany,25.1% (2008)
Ghana,7.5% (2008)
Greece,20.1% (2008)
Grenada,22.5% (2008)
Guatemala,19.2% (2008)
Guinea,4.4% (2008)
Guinea-Bissau,4.9% (2008)
Guyana,17.2% (2008)
Haiti,7.9% (2008)
Honduras,18.4% (2008)
Hungary,27.6% (2008)
Iceland,23.2% (2008)
India,1.9% (2008)
Indonesia,4.8% (2008)
Iran,19.4% (2008)
Iraq,27% (2008)
Ireland,25.2% (2008)
Israel,26.2% (2008)
Italy,19.8% (2008)
Jamaica,24.1% (2008)
Japan,5% (2008)
Jordan,30% (2008)
Kazakhstan,23.7% (2008)
Kenya,4.2% (2008)
Kiribati,46% (2008)
"Korea, North",3.9% (2008)
"Korea, South",7.7% (2008)
Kuwait,42% (2008)
Kyrgyzstan,15.5% (2008)
Laos,2.6% (2008)
Latvia,24.9% (2008)
Lebanon,27.4% (2008)
Lesotho,14.6% (2008)
Liberia,4.8% (2008)
Libya,27.8% (2008)
Lithuania,27.6% (2008)
