Afghanistan,"0.19 physicians/1,000 population (2010)"
Albania,"1.11 physicians/1,000 population (2011)"
Algeria,"1.21 physicians/1,000 population (2007)"
Andorra,"3.91 physicians/1,000 population (2009)"
Angola,"0.17 physicians/1,000 population (2009)"
Antigua and Barbuda,"0.17 physicians/1,000 population (1999)"
Argentina,"3.16 physicians/1,000 population (2004)"
Armenia,"2.85 physicians/1,000 population (2011)"
Australia,"3.85 physicians/1,000 population (2010)"
Austria,"4.86 physicians/1,000 population (2010)"
Azerbaijan,"3.38 physicians/1,000 population (2011)"
"Bahamas, The","2.82 physicians/1,000 population (2008)"
Bahrain,"1.49 physicians/1,000 population (2010)"
Bangladesh,"0.36 physicians/1,000 population (2011)"
Barbados,"1.81 physicians/1,000 population (2005)"
Belarus,"3.76 physicians/1,000 population (2011)"
Belgium,"3.78 physicians/1,000 population (2010)"
Belize,"0.83 physicians/1,000 population (2009)"
Benin,"0.06 physicians/1,000 population (2008)"
Bhutan,"0.07 physicians/1,000 population (2008)"
Bolivia,"1.22 physicians/1,000 population (2001)"
Bosnia and Herzegovina,"1.69 physicians/1,000 population (2010)"
Botswana,"0.34 physicians/1,000 population (2006)"
Brazil,"1.76 physicians/1,000 population (2008)"
Brunei,"1.36 physicians/1,000 population (2010)"
Bulgaria,"3.76 physicians/1,000 population (2010)"
Burkina Faso,"0.05 physicians/1,000 population (2010)"
Burma,"0.5 physicians/1,000 population (2010)"
Burundi,"0.03 physicians/1,000 population (2004)"
Cabo Verde,"0.3 physicians/1,000 population (2010)"
Cambodia,"0.23 physicians/1,000 population (2008)"
Cameroon,"0.08 physicians/1,000 population (2009)"
Canada,"2.07 physicians/1,000 population (2010)"
Central African Republic,"0.05 physicians/1,000 population (2009)"
Chad,"0.04 physicians/1,000 population (2006)"
Chile,"1.03 physicians/1,000 population (2009)"
China,"1.46 physicians/1,000 population (2010)"
Colombia,"1.47 physicians/1,000 population (2010)"
Comoros,"0.15 physicians/1,000 population (2004)"
"Congo, Democratic Republic of the","0.11 physicians/1,000 population (2004)"
"Congo, Republic of the","0.1 physicians/1,000 population (2007)"
Cook Islands,"2.89 physicians/1,000 population (2009)"
Costa Rica,"1.32 physicians/1,000 population (2000)"
Cote d'Ivoire,"0.14 physicians/1,000 population (2008)"
Croatia,"2.72 physicians/1,000 population (2010)"
Cuba,"6.72 physicians/1,000 population (2010)"
Cyprus,"2.75 physicians/1,000 population (2010)"
Czech Republic,"3.71 physicians/1,000 population (2010)"
Denmark,"3.42 physicians/1,000 population (2007)"
Djibouti,"0.23 physicians/1,000 population (2006)"
Dominica,"1.59 physicians/1,000 population (2001)"
Dominican Republic,"1.88 physicians/1,000 population (2000)"
Ecuador,"1.69 physicians/1,000 population (2009)"
Egypt,"2.83 physicians/1,000 population (2009)"
