Afghanistan,note - the Ministry of Justice licensed 84 political parties as of December 2012
Albania,"Alliance for Employment, Welfare, and Integration or APMI (coalition of 25 centrist and center-right parties) [Sali BERISHA]:  
      
      Christian Democratic Party or PDK [Nard NDOKA] 
      
      Democratic Party or PD [Lulzim BASHA] 
      
      Movement for National Development of LZHK [Dashamir SHEHI] 
      
      Party for Justice, Integration and Unity or PDIU [Shpetim IDRIZI] 
      
      Republican Party or PR [Fatmir MEDIU] 
      
      
      
      
        Alliance for a European Albania or ASHE (coalition of 37 opposition parties from far left to right wing) [Edi RAMA]: 
      
      Christian Democratic Party of PKD [Mark FRROKU] 
      
      Socialist Movement for Integration or LSI [Ilir META] 
      
      Socialist Party or PS [Edi RAMA] 
      
      Union for Human Rights Party or PBDNJ [Vangjel DULE] 
      
      
      
      
        other parties: 
      
      New Democratic Spirit or FRD [Bamir TOPI] 
      
      Red and Black Alliance [Kreshnik SPAHIU] 
      
      
        note: only the major parties of each coalition are listed"
Algeria,"Algerian National Front or FNA [Moussa TOUATI]; Algerian Popular Movement or MPA [Amara BENYOUNES]; Algerian Rally [Ali ZAGHDOUD]; Algeria's Hope Rally or TAJ [Amar GHOUL]; Dignity or El Karama [Mohamed BENHAMOU]; Front for Change or FC [Abdelmadjid MENASRA]; Front for Justice and Development or El Adala [Abdallah DJABALLAH]; Future Front or El Mostakbel [Abdelaziz BELAID]; Green Algeria Alliance or AAV (includes Movement for National Reform, Islamic Renaissance Movement, and Movement of the Society of Peace or Hamas); Islamic Renaissance Movement or EnNahda Movement [Mohamed DHOUIBI]; Movement of the Society of Peace or MSP [Abderrazak MOKRI]; National Democratic Rally (Rassemblement National Democratique) or RND [Bensalah ABDELKADER]; National Liberation Front or FLN [Amar SAIDANI]; National Party for Solidarity and Development or PNSD; National Reform Movement or Islah [Djahid YOUNSI] (see Green Algeria Alliance); New Dawn Party or PFJ; New Generation or Jil Jadid [Soufiane DJILALI]; New Light Party [Bedreddine BELBAZ]; Oath of 1954 or Ahd 54 [Ali Fawzi REBAINE]; Party of Justice and Liberty [Mohammed SAID]; Rally for Culture and Democracy or RCD [Mohcine BELABBAS]; Socialist Forces Front or FFS [Mustafa BOUCHACHI]; Workers Party or PT [Louisa HANOUNE] 
      
      
        note: a law banning political parties based on religion was enacted in March 1997"
American Samoa,"Democratic Party [Oreta M. TOGAFAU] 
      
      Republican Party [Tautai A. F. FAALEVAO]"
Andorra,"there are four political parties at the national level: 
      
      Andorra for Change or ApC [Eusebio NOMEN CALVET] 
      
      Democrats for Andorra or DA [Antoni MARTI PETIT], coalition including Liberal Party (PRA) and Reformist Coalition 
      
      Greens of Andorra or VA [Isabel LOZANO MUNOZ] 
      
      Social Democratic Party or PS [Jaume BARTUMEU CASSANY] 
      
      
        note: there are also several smaller parties at the Parish level (one is Lauredian Union)"
Angola,"Broad Convergence for the Salvation of Angola Electoral Coalition or CASA-CE [Abel CHIVUKUVUKU] 
      
      National Front for the Liberation of Angola or FNLA [Lucas NGONDA] 
      
      National Union for the Total Independence of Angola or UNITA [Isaias SAMAKUVA] (largest opposition party) 
      
      Popular Movement for the Liberation of Angola or MPLA [Jose Eduardo DOS SANTOS] (ruling party in power since 1975) 
      
      Social Renewal Party or PRS [Eduardo KUANGANA] 
      
      
        note: 4 other parties qualified to participate in the national election in August 2012"
Anguilla,"Anguilla Progressive Party or APP [Brent DAVIS] 
      
      Anguilla Strategic Alternative or ANSA [Edison BAIRD] 
      
      Anguilla United Front or AUF [Osbourne FLEMING, Victor BANKS] (a coalition of the Anguilla Democratic Party or ADP and the Anguilla National Alliance or ANA) 
      
      Anguilla United Movement or AUM [Hubert HUGHES]"
Antigua and Barbuda,"Antigua Labor Party or ALP [Gaston BROWNE] 
      
      Barbuda People's Movement or BPM [Trevor WALKER] 
      
      Barbuda People's Movement for Change [Arthur NIBBS] 
      
      Barbudans for a Better Barbuda [Ordrick SAMUEL] 
      
      United Progressive Party or UPP [W. Baldwin SPENCER] (a coalition of three parties - Antigua Caribbean Liberation Movement or ACLM, Progressive Labor Movement or PLM, United National Democratic Party or UNDP)"
Argentina,"Broad Progressive Front or FAP [Hermes BINNER] 
      
      Civic Coalition or CC (a broad coalition loosely affiliated with Elisa CARRIO) 
      
      Dissident Peronists (PJ Disidente) or Federal Peronism (a sector of the Justicialist Party opposed to the Kirchners) 
      
      Front for Victory or FpV (a broad coalition, including elements of the PJ, UCR, and numerous provincial parties) [Cristina FERNANDEZ DE KIRCHNER] 
      
      Peronist (or Justicialist) Party or PJ [vacant] 
      
      Radical Civic Union or UCR [Mario BARLETTA] 
      
      Republican Proposal or PRO [Mauricio MACRI] 
      
      Socialist Party or PS [Ruben GIUSTINIANI] 
      
      numerous provincial parties"
Armenia,"Armenian National Congress or ANC (bloc of independent and opposition parties) [Levon TER-PETROSSIAN] 
      
      Armenian National Movement or ANM [Ararat ZURABIAN] 
      
      Armenian Revolutionary Federation (""Dashnak"" Party) or ARF [Hrant MARKARIAN] 
      
      Heritage Party [Raffi HOVHANNISIAN] 
      
      People's Party of Armenia [Stepan DEMIRCHIAN] 
      
      Prosperous Armenia [Gagik TSARUKIAN] 
      
      Republican Party of Armenia or RPA [Serzh SARGSIAN] 
      
      Rule of Law Party (Orinats Yerkir) [Artur BAGHDASARIAN]"
Aruba,"Aliansa/Aruban Social Movement or MSA [Robert WEVER] 
      
      Aruban Liberal Organization or OLA [Glenbert CROES] 
      
      Aruban Patriotic Movement or MPA [Monica ARENDS-KOCK] 
      
      Aruban Patriotic Party or PPA [Benny NISBET] 
      
      Aruban People's Party or AVP [Michiel ""Mike"" EMAN] 
      
      People's Electoral Movement Party or MEP [Nelson O. ODUBER] 
      
      Real Democracy or PDR [Andin BIKKER] 
      
      RED [Rudy LAMPE] 
      
      Workers Political Platform or PTT [Gregorio WOLFF]"
