Afghanistan,"other: religious groups, tribal leaders, ethnically based groups, Taliban"
Albania,"Confederation of Trade Unions of Albania or KSSH [Kol NIKOLLAJ] 
      
      Omonia [Vasil BOLLANO] 
      
      Union of Independent Trade Unions of Albania or BSPSH [Gezim KALAJA]"
Algeria,The Algerian Human Rights League or LADDH [Noureddine BENISSAD]; SOS Disparus [Nacera DUTOUR]; Youth Action Rally or RAJ
American Samoa,Population Pressure LAS (addresses the growing population pressures)
Angola,"Front for the Liberation of the Enclave of Cabinda or FLEC [N'zita Henriques TIAGO] 
      
      
        note: FLEC's small-scale armed struggle for the independence of Cabinda Province persists despite the signing of a peace accord with the government in August 2006; Several factions of FLEC have broken off over the past 30 years, including the FLEC-PM [Rodrigues Mingas], which was responsible for a deadly attack on the Togolese soccer team in 2010"
Antigua and Barbuda,"Antigua Trades and Labor Union or ATLU [Wigley GEORGE] 
      
      People's Democratic Movement or PDM [Hugh MARSHALL]"
Argentina,"Argentine Association of Pharmaceutical Labs (CILFA) 
      
      Argentine Industrial Union (manufacturers' association) 
      
      Argentine Rural Confederation or CRA (small to medium landowners' association) 
      
      Argentine Rural Society (large landowners' association) 
      
      Central of Argentine Workers or CTA (a union for employed and unemployed workers) 
      
      General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization) 
      
      Roman Catholic Church 
      
      White and Blue CGT (dissident CGT labor confederation) 
      
      
        other: business organizations, Peronist-dominated labor movement, Piquetero groups (popular protest organizations that can be either pro or anti-government), students"
Armenia,"Aylentrank (Impeachment Alliance) [Nikol PASHINIAN] 
      
      Yerkrapah Union [Manvel GRIGORIAN]"
Aruba,other: environmental groups
Australia,"other: business groups, environmental groups, social groups, trade unions"
Austria,"Austrian Trade Union Federation or OeGB (nominally independent but primarily Social Democratic) 
      
      Federal Economic Chamber 
      
      Labor Chamber or AK (Social Democratic-leaning think tank) 
      
      OeVP-oriented Association of Austrian Industrialists or IV 
      
      Roman Catholic Church, including its chief lay organization, Catholic Action 
      
      
        other: three composite leagues of the Austrian People's Party or OeVP representing business, labor, farmers, and other nongovernment organizations in the areas of environment and human rights"
Azerbaijan,"EL Movement [Eldar NAMAZOV] 
      
      Karabakh Liberation Organization 
      
      Forum of Intelligentsia [Rustam IBRAHIMBEYOV] 
      
      Republican Alternative (REAL) [Ilgar MAMMADOV] 
      
      National Council of Democratic Forces [Jamil HASANLI] 
      
      NIDA Youth Movement [Turgut GAMBAR, Zaur GURBANLI (in jail)] 
      
      Positive Change Youth Movement [Bakhtiyar HAJIYEV] 
      
      Ireli Youth Movement [Rauf MERDIYEV] 
      
      Ol! Youth Movement [Vugar SALAMLI]"
"Bahamas, The","Friends of the Environment 
      
      
        other: trade unions"
Bahrain,"Sunni:  
      
      Al-Fatih Awakening 
      
      
        Shia: 
      
      14 February Revolution Youth Coalition 
      
      Bahrain Islamic Freedom Movement [Said SHIHABI] 
      
      Haqq Movement [Hasan MUSHAYMA] 
      
      Islamic Amal [Muhammad Ali AL-MAHFUDH] 
      
      Khalas [Abd al-Rauf AL-SHAYIB] 
      
      Wafa Islamic Society [Abd al-Wahab HUSAYN]"
Bangladesh,"Advocacy to End Gender-based Violence through the MoWCA (Ministry of Women's and Children's Affairs) 
      
      Ain o Salish Kendro (Law and Order Center) 
      
      Bangladesh Rural Advancement Committee or BRAC 
      
      Bangladesh Center for Worker Solidarity 
      
      Federation of Bangladesh Chambers of Commerce and Industry 
      
      Odikhar (Human Rights) 
      
      
        other: associations of madrassa teachers; business associations, including those intended to promote international trade; development and advocacy NGOs associated with the Grameen Bank; environmentalists; Islamist groups; labor rights advocacy groups; nongovernmental organizations focused on poverty, alleviation, and socioeconomic international trade; religious leaders; tribal groups and advocacy organizations; union leaders"
Barbados,"Barbados Secondary Teachers' Union or BSTU [Mary REDMAN] 
      
      Barbados Union of Teachers or BUT [Karen BEST] 
      
      Congress of Trade Unions and Staff Associations of Barbados or CTUSAB, (includes the BWU, NUPW, BUT, and BSTU) [Leroy TROTMAN] 
      
      Barbados Workers Union or BWU [Linda BROOKS] 
      
      Clement Payne Labor Union [David COMISSIONG] 
      
      National Union of Public Workers [Walter MALONEY]"
