Afghanistan,2.29% (2014 est.)
Albania,0.3% (2014 est.)
Algeria,1.88% (2014 est.)
American Samoa,-0.35% (2014 est.)
Andorra,0.17% (2014 est.)
Angola,2.78% (2014 est.)
Anguilla,2.06% (2014 est.)
Antigua and Barbuda,1.25% (2014 est.)
Argentina,0.95% (2014 est.)
Armenia,-0.13% (2014 est.)
Aruba,1.36% (2014 est.)
Australia,1.09% (2014 est.)
Austria,0.01% (2014 est.)
Azerbaijan,0.99% (2014 est.)
"Bahamas, The",0.87% (2014 est.)
Bahrain,2.49% (2014 est.)
Bangladesh,1.6% (2014 est.)
Barbados,0.33% (2014 est.)
Belarus,-0.19% (2014 est.)
Belgium,0.05% (2014 est.)
Belize,1.92% (2014 est.)
Benin,2.81% (2014 est.)
Bermuda,0.52% (2014 est.)
Bhutan,1.13% (2014 est.)
Bolivia,1.6% (2014 est.)
Bosnia and Herzegovina,-0.11% (2014 est.)
Botswana,1.26% (2014 est.)
Brazil,0.8% (2014 est.)
British Virgin Islands,2.36% (2014 est.)
Brunei,1.65% (2014 est.)
Bulgaria,-0.83% (2014 est.)
Burkina Faso,3.05% (2014 est.)
Burma,1.03% (2014 est.)
Burundi,3.28% (2014 est.)
Cabo Verde,1.39% (2014 est.)
Cambodia,1.63% (2014 est.)
Cameroon,2.6% (2014 est.)
Canada,0.76% (2014 est.)
Cayman Islands,2.14% (2014 est.)
Central African Republic,2.13% (2014 est.)
Chad,1.92% (2014 est.)
Chile,0.84% (2014 est.)
China,0.44% (2014 est.)
Christmas Island,1.11% (2014 est.)
Cocos (Keeling) Islands,0% (2014 est.)
Colombia,1.07% (2014 est.)
Comoros,1.87% (2014 est.)
"Congo, Democratic Republic of the",2.5% (2014 est.)
"Congo, Republic of the",1.94% (2014 est.)
Cook Islands,-3% (2014 est.)
Costa Rica,1.24% (2014 est.)
Cote d'Ivoire,1.96% (2014 est.)
Croatia,-0.12% (2014 est.)
Cuba,-0.14% (2014 est.)
Curacao,NA
Cyprus,1.48% (2014 est.)
Czech Republic,0.17% (2014 est.)
Denmark,0.22% (2014 est.)
Djibouti,2.23% (2014 est.)
Dominica,0.22% (2014 est.)
Dominican Republic,1.25% (2014 est.)
Ecuador,1.37% (2014 est.)
Egypt,1.84% (2014 est.)
El Salvador,0.27% (2014 est.)
Equatorial Guinea,2.54% (2014 est.)
Eritrea,2.3% (2014 est.)
Estonia,-0.68% (2014 est.)
Ethiopia,2.89% (2014 est.)
European Union,.22% (2014 est.)
Falkland Islands (Islas Malvinas),0.01% (2009 est.)
Faroe Islands,0.49% (2014 est.)
Fiji,0.7% (2014 est.)
Finland,0.05% (2014 est.)
France,0.45% (2014 est.)
French Polynesia,0.97% (2014 est.)
Gabon,1.94% (2014 est.)
"Gambia, The",2.23% (2014 est.)
Gaza Strip,2.91% (2014 est.)
Georgia,-0.11% (2014 est.)
Germany,-0.18% (2014 est.)
Ghana,2.19% (2014 est.)
Gibraltar,0.25% (2014 est.)
Greece,0.01% (2014 est.)
Greenland,0.02% (2014 est.)
Grenada,0.5% (2014 est.)
Guam,0.44% (2014 est.)
Guatemala,1.86% (2014 est.)
Guernsey,0.36% (2014 est.)
Guinea,2.63% (2014 est.)
Guinea-Bissau,1.93% (2014 est.)
Guyana,-0.11% (2014 est.)
Haiti,"1.08% 
      
      
        note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2014 est.)"
Holy See (Vatican City),0% (2014 est.)
Honduras,1.74% (2014 est.)
Hong Kong,0.41% (2014 est.)
Hungary,-0.21% (2014 est.)
Iceland,0.65% (2014 est.)
India,1.25% (2014 est.)
Indonesia,0.95% (2014 est.)
Iran,1.22% (2014 est.)
Iraq,2.23% (2014 est.)
Ireland,1.2% (2014 est.)
Isle of Man,0.8% (2014 est.)
Israel,1.46% (2014 est.)
Italy,0.3% (2014 est.)
Jamaica,0.69% (2014 est.)
Japan,-0.13% (2014 est.)
Jersey,0.81% (2014 est.)
Jordan,3.86% (2014 est.)
Kazakhstan,1.17% (2014 est.)
Kenya,2.11% (2014 est.)
Kiribati,1.18% (2014 est.)
"Korea, North",0.53% (2014 est.)
"Korea, South",0.16% (2014 est.)
Kuwait,"1.7% 
      
      
        note: this rate reflects a return to pre-Gulf crisis immigration of expatriates (2014 est.)"
Kyrgyzstan,1.04% (2014 est.)
Laos,1.59% (2014 est.)
Latvia,-0.62% (2014 est.)
Lebanon,9.37% (2014 est.)
Lesotho,0.34% (2014 est.)
Liberia,2.52% (2014 est.)
Libya,3.08% (2014 est.)
Liechtenstein,0.82% (2014 est.)
Lithuania,-0.29% (2014 est.)
Luxembourg,1.12% (2014 est.)
Macau,0.83% (2014 est.)
Macedonia,0.21% (2014 est.)
Madagascar,2.62% (2014 est.)
Malawi,3.33% (2014 est.)
Malaysia,1.47% (2014 est.)
Maldives,-0.09% (2014 est.)
Mali,3% (2014 est.)
Malta,0.33% (2014 est.)
Marshall Islands,1.72% (2014 est.)
Mauritania,2.26% (2014 est.)
Mauritius,0.66% (2014 est.)
Mexico,1.21% (2014 est.)
"Micronesia, Federated States of",-0.42% (2014 est.)
Moldova,-1.02% (2014 est.)
Monaco,0.06% (2014 est.)
Mongolia,1.37% (2014 est.)
Montenegro,-0.49% (2014 est.)
Montserrat,0.48% (2014 est.)
Morocco,1.02% (2014 est.)
Mozambique,2.45% (2014 est.)
Namibia,0.67% (2014 est.)
Nauru,0.56% (2014 est.)
Nepal,1.82% (2014 est.)
Netherlands,0.42% (2014 est.)
New Caledonia,1.42% (2014 est.)
New Zealand,0.83% (2014 est.)
Nicaragua,1.02% (2014 est.)
Niger,3.28% (2014 est.)
Nigeria,2.47% (2014 est.)
Niue,-0.03% (2014 est.)
Norfolk Island,0.01% (2014 est.)
Northern Mariana Islands,1.13% (2014 est.)
Norway,1.19% (2014 est.)
Oman,2.06% (2014 est.)
Pakistan,1.49% (2014 est.)
Palau,0.37% (2014 est.)
Panama,1.35% (2014 est.)
Papua New Guinea,1.84% (2014 est.)
Paraguay,1.19% (2014 est.)
Peru,0.99% (2014 est.)
Philippines,1.81% (2014 est.)
Pitcairn Islands,0% (2014 est.)
Poland,-0.11% (2014 est.)
Portugal,0.12% (2014 est.)
Puerto Rico,-0.65% (2014 est.)
Qatar,3.58% (2014 est.)
Romania,-0.29% (2014 est.)
Russia,-0.03% (2014 est.)
Rwanda,2.63% (2014 est.)
"Saint Helena, Ascension, and Tristan da Cunha",0.27% (2014 est.)
Saint Kitts and Nevis,0.78% (2014 est.)
Saint Lucia,0.35% (2014 est.)
Saint Pierre and Miquelon,-1.02% (2014 est.)
Saint Vincent and the Grenadines,-0.29% (2014 est.)
Samoa,0.59% (2014 est.)
San Marino,0.87% (2014 est.)
Sao Tome and Principe,1.89% (2014 est.)
Saudi Arabia,1.49% (2014 est.)
Senegal,2.48% (2014 est.)
Serbia,-0.46% (2014 est.)
Seychelles,0.87% (2014 est.)
Sierra Leone,2.33% (2014 est.)
Singapore,1.92% (2014 est.)
Sint Maarten,1.51% (2013 est.)
Slovakia,0.03% (2014 est.)
Slovenia,-0.23% (2014 est.)
Solomon Islands,2.07% (2014 est.)
Somalia,1.75% (2014 est.)
South Africa,-0.48% (2014 est.)
South Sudan,4.12% (2014 est.)
