Albania,"70.5% of GDP (2013 est.) 
      
      62.5% of GDP (2012 est.)"
Algeria,"13.2% of GDP (2013 est.) 
      
      8.3% of GDP (2012 est.) 
      
      
        note: data cover central government debt; the data include debt issued by subnational entities, as well as intra-governmental debt"
Andorra,"41.1% of GDP (2012) 
      
      37.7% of GDP (2011)"
Angola,"14.7% of GDP (2013 est.) 
      
      17.2% of GDP (2012 est.)"
Anguilla,"20% of GDP (2013 est.) 
      
      21.7% of GDP (2012 est.)"
Antigua and Barbuda,"89% of GDP (2012 est.) 
      
      130% of GDP (2010 est.)"
Argentina,"45.8% of GDP (2013 est.) 
      
      44.8% of GDP (2012 est.)"
Armenia,"37.7% of GDP (2013 est.) 
      
      41.4% of GDP (2012 est.)"
Aruba,"67% of GDP (2013) 
      
      55% of GDP (2012)"
Australia,"32.6% of GDP (2013 est.) 
      
      32.4% of GDP (2012 est.)"
Austria,"75.7% of GDP (2013 est.) 
      
      74.1% of GDP (2012 est.) 
      
      
        note: this is general government gross debt, defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year; it covers the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the sub-sectors of central government, state government, local government and social security funds; as a percentage of GDP, the GDP used as a denominator is the gross domestic product in current year prices"
Azerbaijan,"7.5% of GDP (2013 est.) 
      
      7.8% of GDP (2012 est.)"
Bahrain,"61.2% of GDP (2013 est.) 
      
      54.2% of GDP (2012 est.)"
Bangladesh,"30.9% of GDP (2013 est.) 
      
      32.2% of GDP (2012 est.)"
Barbados,"90.5% of GDP (2013 est.) 
      
      85.6% of GDP (2012 est.)"
Belarus,"31.5% of GDP (2013 est.) 
      
      31.5% of GDP (2012 est.)"
Belgium,"102.4% of GDP (2013 est.) 
      
      99.6% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions; general government debt is defined by the Maastricht definition and calculated by the National Bank of Belgium as consolidated gross debt; the debt is defined in European Regulation EC479/2009 concerning the implementation of the protocol on the excessive deficit procedure annexed to the Treaty on European Union (Treaty of Maastricht) of 7 February 1992; the sub-sectors of consolidated gross debt are: federal government, communities and regions, local government, and social security funds"
Belize,"75.1% of GDP (2013 est.) 
      
      84.6% of GDP (2012 est.)"
