Albania,"total: 339 km 
      
      
        standard gauge: 339 km 1.435-m gauge (2009)"
Algeria,"total: 3,973 km 
      
      
        standard gauge: 2,888 km 1.435-m gauge (283 km electrified) 
      
      
        narrow gauge: 1,085 km 1.055-m gauge (2008)"
Angola,"total: 2,764 km 
      
      
        narrow gauge: 2,641 km 1.067-m gauge; 123 km 0.600-m gauge (2008)"
Argentina,"total: 36,966 km 
      
      
        broad gauge: 26,475 km 1.676-m gauge (94 km electrified) 
      
      
        standard gauge: 2,780 km 1.435-m gauge (42 km electrified) 
      
      
        narrow gauge: 7,711 km 1.000-m gauge (2008)"
Armenia,"total: 869 km 
      
      
        broad gauge: 869 km 1.520-m gauge (818 km electrified) 
      
      
        note: some lines are out of service (2009)"
Australia,"total: 38,445 km 
      
      
        broad gauge: 3,355 km 1.600-m gauge 
      
      
        standard gauge: 21,674 km 1.435-m gauge (650 km electrified) 
      
      
        narrow gauge: 9,539 km 1.067-m gauge (2,067 km electrified); 3,877 km 1.000-m gauge (2008)"
Austria,"total: 6,399 km 
      
      
        standard gauge: 5,927 km 1.435-m gauge (3,853 km electrified) 
      
      
        narrow gauge: 384 km 1.000-m gauge (15 km electrified); 88 km 0.760-m gauge (10 km electrified) (2008)"
Azerbaijan,"total: 2,918 km 
      
      
        broad gauge: 2,918 km 1.520-m gauge (1,278 km electrified) (2009)"
Bangladesh,"total: 2,622 km 
      
      
        broad gauge: 946 km 1.676-m gauge 
      
      
        narrow gauge: 1,676 km 1.000-m gauge (2008)"
Belarus,"total: 5,537 km 
      
      
        broad gauge: 5,512 km 1.520-m gauge (874 km electrified) 
      
      
        standard gauge: 25 km 1.435-m gauge (2008)"
Belgium,"total: 3,233 km 
      
      
        standard gauge: 3,233 km 1.435-m gauge (2,950 km electrified) (2008)"
Benin,"total: 438 km 
      
      
        narrow gauge: 438 km 1.000-m gauge (2008)"
Bolivia,"total: 3,652 km 
      
      
        narrow gauge: 3,652 km 1.000-m gauge (2010)"
Bosnia and Herzegovina,"total: 601 km 
      
      
        standard gauge: 601 km 1.435-m gauge (392 km electrified) (2009)"
Botswana,"total: 888 km 
      
      
        narrow gauge: 888 km 1.067-m gauge (2008)"
Brazil,"total: 28,538 km 
      
      
        broad gauge: 5,627 km 1.600-m gauge (467 km electrified) 
      
      
        standard gauge: 194 km 1.440-m gauge 
      
      
        narrow gauge: 22,717 km 1.000-m gauge (2008)"
Bulgaria,"total: 4,152 km 
      
      
        standard gauge: 4,072 km 1.435-m gauge (2,863 km electrified) 
      
      
        narrow gauge: 80 km 0.760-m gauge (2011)"
Burkina Faso,"total: 622 km 
      
      
        narrow gauge: 622 km 1.000-m gauge 
      
      
        note: another 660 km of this railway extends into Cote d'Ivoire (2008)"
Burma,"total: 5,031 km 
      
      
        narrow gauge: 5,031 km 1.000-m gauge (2008)"
Cambodia,"total: 690 km 
      
      
        narrow gauge: 690 km 1.000-m gauge 
      
      
        note: under restoration (2010)"
Cameroon,"total: 1,245 km 
      
      
        narrow gauge: 1,245 km 1.000-m gauge (2008)"
Canada,"total: 46,552 km 
      
      
        standard gauge: 46,552 km 1.435-m gauge (2008)"
Chile,"total: 7,082 km 
      
      
        broad gauge: 3,435 km 1.676-m gauge (850 km electrified) 
      
      
        narrow gauge: 3,647 km 1.000-m gauge (2008)"
China,"total: 86,000 km 
      
      
        standard gauge: 86,000 km 1.435-m gauge (36,000 km electrified) (2008)"
Christmas Island,"total: 18 km 
      
      
        standard gauge: 18 km 1.435-m (not in operation) (2010)"
Colombia,"total: 874 km 
      
      
        standard gauge: 150 km 1.435-m gauge 
      
      
        narrow gauge: 498 km 0.950-m gauge; 226 km 0.914-m gauge (2008)"
"Congo, Democratic Republic of the","total: 4,007 km 
      
      
        narrow gauge: 3,882 km 1.067-m gauge (858 km electrified); 125 km 1.000-m gauge (2008)"
"Congo, Republic of the","total: 886 km 
      
      
        narrow gauge: 886 km 1.067-m gauge (2008)"
Costa Rica,"total: 278 km 
      
      
        narrow gauge: 278 km 1.067-m gauge 
      
      
        note: none of the railway network is in use (2008)"
Cote d'Ivoire,"total: 660 km 
      
      
        narrow gauge: 660 km 1.000-m gauge 
      
      
        note: an additional 622 km of this railroad extends into Burkina Faso (2008)"
Croatia,"total: 2,722 km 
      
      
        standard gauge: 2,722 km 1.435-m gauge (984 km electrified) (2011)"
Cuba,"total: 8,203 km 
      
      
        standard gauge: 8,134 km 1.435-m gauge (124 km electrified) 
      
      
        narrow gauge: 69 km 1.000-m gauge 
      
      
        note: 48 km of standard gauge track is not for public use (2011)"
Czech Republic,"total: 9,469 km 
      
      
        standard gauge: 9,449 km 1.435-m gauge (3,165 km electrified) 
      
      
        narrow gauge: 20 km 0.750-m gauge (2008)"
Denmark,"total: 2,667 km 
      
      
        standard gauge: 2,667 km 1.435-m gauge (640 km electrified) (2008)"
Djibouti,"total: 100 km (Djibouti segment of the 781 km Addis Ababa-Djibouti railway) 
      
      
        narrow gauge: 100 km 1.000-m gauge 
      
      
        note: railway is under joint control of Djibouti and Ethiopia but is largely inoperable (2008)"
Dominican Republic,"total: 142 km 
      
      
        standard gauge: 142 km 1.435-m gauge (2008)"
Ecuador,"total: 965 km 
      
      
        narrow gauge: 965 km 1.067-m gauge (2008)"
Egypt,"total: 5,083 km 
      
      
        standard gauge: 5,083 km 1.435-m gauge (62 km electrified) (2009)"
El Salvador,"total: 283 km 
      
      
        narrow gauge: 283 km 0.600-m gauge 
      
      
        note: railways have been inoperable since 2005 because of disuse and high costs that led to a lack of maintenance (2008)"
Eritrea,"total: 306 km 
      
      
        narrow gauge: 306 km 0.950-m gauge (2008)"
Estonia,"total: 1,196 km 
      
      
        broad gauge: 1,196 km 1.520-m and 1.524-m gauge (133 km electrified) (2011)"
Ethiopia,"total: 681 km (Ethiopian segment of the 781 km Addis Ababa-Djibouti railroad) 
      
      
        narrow gauge: 681 km 1.000-m gauge 
      
      
        note: railway is under joint control of Djibouti and Ethiopia but is largely inoperable (2008)"
European Union,"total: 461,096 km (2013)"
Fiji,"total: 597 km 
      
      
        narrow gauge: 597 km 0.600-m gauge 
      
      
        note: belongs to the government-owned Fiji Sugar Corporation; used to haul sugarcane during the harvest season, which runs from May to December (2008)"
Finland,"total: 5,944 km 
      
      
        broad gauge: 5,944 km 1.524-m gauge (3,067 km electrified) (2013)"
France,"total: 29,640 km 
      
      
        standard gauge: 29,473 km 1.435-m gauge (15,361 km electrified) 
      
      
        narrow gauge: 167 km 1.000-m gauge (63 km electrified) (2008)"
Gabon,"total: 649 km 
      
      
        standard gauge: 649 km 1.435-m gauge (2008)"
Georgia,"total: 1,612 km 
      
      
        broad gauge: 1,575 km 1.520-m gauge (1,575 km electrified) 
      
      
        narrow gauge: 37 km 0.912-m gauge (37 km electrified) (2008)"
Germany,"total: 41,981 km 
      
      
        standard gauge: 41,722 km 1.435-m gauge (20,053 km electrified) 
      
      
        narrow gauge: 220 km 1.000-m gauge (75 km electrified); 39 km 0.750-m gauge (24 km electrified) (2008)"
Ghana,"total: 947 km 
      
      
        narrow gauge: 947 km 1.067-m gauge (2008)"
Greece,"total: 2,548 km 
      
      
        standard gauge: 1,565 km 1.435-m gauge (764 km electrified) 
      
      
        narrow gauge: 961 km 1.000-m gauge; 22 km 0.750-m gauge (2008)"
Guatemala,"total: 332 km 
      
      
        narrow gauge: 332 km 0.914-m gauge (2008)"
