Afghanistan,"4,229 bbl/day (2011 est.)"
Albania,"38,390 bbl/day (2011 est.)"
Algeria,"316,400 bbl/day (2011 est.)"
American Samoa,"5,115 bbl/day (2011 est.)"
Angola,"79,430 bbl/day (2011 est.)"
Antigua and Barbuda,"5,000 bbl/day (2011 est.)"
Argentina,"678,100 bbl/day (2011 est.)"
Armenia,"45,300 bbl/day (2011 est.)"
Aruba,"5,661 bbl/day (2011 est.)"
Australia,1.023 million bbl/day (2011 est.)
Austria,"210,700 bbl/day (2011 est.)"
Azerbaijan,"168,000 bbl/day (2011 est.)"
"Bahamas, The","36,300 bbl/day (2011 est.)"
Bahrain,"51,450 bbl/day (2012 est.)"
Bangladesh,"108,900 bbl/day (2011 est.)"
Barbados,"8,339 bbl/day (2011 est.)"
Belarus,"188,800 bbl/day (2011 est.)"
Belgium,"644,400 bbl/day (2011 est.)"
Belize,"7,044 bbl/day (2011 est.)"
Benin,"29,170 bbl/day (2011 est.)"
Bermuda,"2,747 bbl/day (2012 est.)"
Bhutan,"1,719 bbl/day (2011 est.)"
Bolivia,"55,560 bbl/day (2013 est.)"
Bosnia and Herzegovina,"27,540 bbl/day (2011 est.)"
Botswana,"15,420 bbl/day (2011 est.)"
Brazil,2.594 million bbl/day (2011 est.)
British Virgin Islands,"1,000 bbl/day (2011 est.)"
Brunei,"14,640 bbl/day (2011 est.)"
Bulgaria,"112,700 bbl/day (2011 est.)"
Burkina Faso,"9,960 bbl/day (2011 est.)"
Burma,"40,620 bbl/day (2011 est.)"
Burundi,"2,290 bbl/day (2011 est.)"
Cabo Verde,"2,608 bbl/day (2011 est.)"
Cambodia,"39,350 bbl/day (2011 est.)"
Cameroon,"29,410 bbl/day (2011 est.)"
Canada,2.259 million bbl/day
Cayman Islands,"3,141 bbl/day (2011 est.)"
Central African Republic,"3,175 bbl/day (2011 est.)"
Chad,"1,817 bbl/day (2011 est.)"
Chile,"321,700 bbl/day (2011 est.)"
China,9.79 million bbl/day (2011 est.)
Colombia,"287,000 bbl/day (2011 est.)"
Comoros,"1,025 bbl/day (2011 est.)"
"Congo, Democratic Republic of the","10,240 bbl/day (2011 est.)"
"Congo, Republic of the","10,710 bbl/day (2011 est.)"
Cook Islands,974 bbl/day (2011 est.)
Costa Rica,"50,200 bbl/day (2011 est.)"
Cote d'Ivoire,"24,630 bbl/day (2011 est.)"
Croatia,"74,410 bbl/day (2012 est.)"
Cuba,"150,200 bbl/day (2011 est.)"
Curacao,"72,000 bbl/day (2010 est.)"
Cyprus,"58,430 bbl/day (2011 est.)"
Czech Republic,"199,000 bbl/day (2011 est.)"
Denmark,"160,200 bbl/day (2011 est.)"
Djibouti,"12,460 bbl/day (2011 est.)"
Dominica,918 bbl/day (2011 est.)
Dominican Republic,"122,300 bbl/day (2011 est.)"
Ecuador,"280,000 bbl/day (2012 est.)"
Egypt,"816,300 bbl/day (2011 est.)"
El Salvador,"44,040 bbl/day (2011 est.)"
Equatorial Guinea,"1,588 bbl/day (2011 est.)"
