Afghanistan,0 bbl/day (2010 est.)
Albania,68 bbl/day (2010 est.)
Algeria,"471,900 bbl/day (2010 est.)"
American Samoa,0 bbl/day (2010 est.)
Angola,"17,750 bbl/day (2010 est.)"
Antigua and Barbuda,240 bbl/day (2010 est.)
Argentina,"94,500 bbl/day (2010 est.)"
Armenia,32 bbl/day (2010 est.)
Aruba,"234,200 bbl/day (2010 est.)"
Australia,"70,810 bbl/day (2010 est.)"
Austria,"43,010 bbl/day (2011 est.)"
Azerbaijan,"53,440 bbl/day (2010 est.)"
"Bahamas, The","41,770 bbl/day (2010 est.)"
Bahrain,"226,000 bbl/day (2012 est.)"
Bangladesh,"3,288 bbl/day (2010 est.)"
Barbados,0 bbl/day (2010 est.)
Belarus,"224,200 bbl/day (2010 est.)"
Belgium,"442,800 bbl/day (2010 est.)"
Belize,0 bbl/day (2010 est.)
Benin,0 bbl/day (2010 est.)
Bermuda,0 bbl/day (2012 est.)
Bhutan,0 bbl/day (2010 est.)
Bolivia,0 bbl/day (2013 est.)
Bosnia and Herzegovina,"10,460 bbl/day (2010 est.)"
Botswana,0 bbl/day (2010 est.)
Brazil,"158,400 bbl/day (2010 est.)"
British Virgin Islands,0 bbl/day (2010 est.)
Brunei,0 bbl/day (2010 est.)
Bulgaria,"73,740 bbl/day (2010 est.)"
Burkina Faso,0 bbl/day (2010 est.)
Burma,0 bbl/day (2010 est.)
Burundi,0 bbl/day (2010 est.)
Cabo Verde,0 bbl/day (2010 est.)
Cambodia,0 bbl/day (2010 est.)
Cameroon,"13,370 bbl/day (2010 est.)"
Canada,1.073 million bbl/day (2010 est.)
Cayman Islands,0 bbl/day (2010 est.)
Central African Republic,0 bbl/day (2010 est.)
Chad,0 bbl/day (2010 est.)
Chile,"13,040 bbl/day (2010 est.)"
China,"664,000 bbl/day (2013 est.)"
Colombia,"92,410 bbl/day (2010 est.)"
Comoros,0 bbl/day (2010 est.)
"Congo, Democratic Republic of the",0 bbl/day (2010 est.)
"Congo, Republic of the","4,288 bbl/day (2010 est.)"
Cook Islands,0 bbl/day (2010 est.)
Costa Rica,"1,898 bbl/day (2010 est.)"
Cote d'Ivoire,"38,300 bbl/day (2010 est.)"
Croatia,"30,120 bbl/day (2013 est.)"
Cuba,"11,320 bbl/day (2010 est.)"
Curacao,"211,100 bbl/day (2009 est.)"
Cyprus,0 bbl/day (2010 est.)
Czech Republic,"35,720 bbl/day (2010 est.)"
Denmark,"104,400 bbl/day (2010 est.)"
Djibouti,19 bbl/day (2010 est.)
Dominica,0 bbl/day (2010 est.)
Dominican Republic,0 bbl/day (2010 est.)
Ecuador,"28,000 bbl/day (2013 est.)"
Egypt,"90,050 bbl/day (2010 est.)"
El Salvador,"2,425 bbl/day (2010 est.)"
Equatorial Guinea,"2,320 bbl/day (2010 est.)"
Eritrea,0 bbl/day (2010 est.)
Estonia,0 bbl/day (2010 est.)
Ethiopia,0 bbl/day (2010 est.)
European Union,2.196 million bbl/day (2010 est.)
Falkland Islands (Islas Malvinas),0 bbl/day (2010 est.)
Faroe Islands,0 bbl/day (2010 est.)
Fiji,692 bbl/day (2010 est.)
Finland,"144,400 bbl/day (2010 est.)"
France,"464,300 bbl/day (2010 est.)"
French Polynesia,0 bbl/day (2010 est.)
Gabon,"7,670 bbl/day (2010 est.)"
"Gambia, The",42 bbl/day (2010 est.)
Georgia,0 bbl/day (2011 est.)
Germany,"376,600 bbl/day (2010 est.)"
Ghana,"9,977 bbl/day (2010 est.)"
Gibraltar,0 bbl/day (2010 est.)
Greece,"183,100 bbl/day (2010 est.)"
Greenland,920 bbl/day (2010 est.)
