Afghanistan,"36,250 bbl/day (2010 est.)"
Albania,"22,810 bbl/day (2010 est.)"
Algeria,"17,270 bbl/day (2010 est.)"
American Samoa,"2,003 bbl/day (2010 est.)"
Angola,"55,740 bbl/day (2010 est.)"
Antigua and Barbuda,"4,790 bbl/day (2010 est.)"
Argentina,"76,550 bbl/day (2010 est.)"
Armenia,"46,550 bbl/day (2010 est.)"
Aruba,"6,725 bbl/day (2010 est.)"
Australia,"304,100 bbl/day (2010 est.)"
Austria,"117,100 bbl/day (2011 est.)"
Azerbaijan,499 bbl/day (2010 est.)
"Bahamas, The","64,600 bbl/day (2010 est.)"
Bahrain,0 bbl/day (2012 est.)
Bangladesh,"84,490 bbl/day (2010 est.)"
Barbados,"8,736 bbl/day (2010 est.)"
Belarus,"43,240 bbl/day (2010 est.)"
Belgium,"355,100 bbl/day (2010 est.)"
Belize,"3,493 bbl/day (2010 est.)"
Benin,"34,840 bbl/day (2010 est.)"
Bermuda,"2,747 bbl/day (2012 est.)"
Bhutan,"1,998 bbl/day (2010 est.)"
Bolivia,"15,560 bbl/day (2013 est.)"
Bosnia and Herzegovina,"16,330 bbl/day (2010 est.)"
Botswana,"19,360 bbl/day (2010 est.)"
Brazil,"457,400 bbl/day (2010 est.)"
British Virgin Islands,773 bbl/day (2010 est.)
Brunei,"3,198 bbl/day (2010 est.)"
Bulgaria,"50,130 bbl/day (2010 est.)"
Burkina Faso,"11,660 bbl/day (2010 est.)"
Burma,"4,855 bbl/day (2010 est.)"
Burundi,"1,429 bbl/day (2010 est.)"
Cabo Verde,"2,646 bbl/day (2010 est.)"
Cambodia,"26,250 bbl/day (2010 est.)"
Cameroon,"6,018 bbl/day (2010 est.)"
Canada,"249,500 bbl/day (2010 est.)"
Cayman Islands,"3,754 bbl/day (2010 est.)"
Central African Republic,"2,318 bbl/day (2010 est.)"
Chad,"1,754 bbl/day (2010 est.)"
Chile,"154,100 bbl/day (2010 est.)"
China,"922,000 bbl/day (2013 est.)"
Colombia,"49,790 bbl/day (2010 est.)"
Comoros,877 bbl/day (2010 est.)
"Congo, Democratic Republic of the","16,200 bbl/day (2010 est.)"
"Congo, Republic of the","4,156 bbl/day (2010 est.)"
Cook Islands,485 bbl/day (2010 est.)
Costa Rica,"40,290 bbl/day (2010 est.)"
Cote d'Ivoire,"4,810 bbl/day (2010 est.)"
Croatia,"26,670 bbl/day (2013 est.)"
Cuba,"4,877 bbl/day (2010 est.)"
Curacao,"291,700 bbl/day (2009 est.)"
Cyprus,"58,310 bbl/day (2010 est.)"
Czech Republic,"54,240 bbl/day (2010 est.)"
Denmark,"124,100 bbl/day (2010 est.)"
Djibouti,"8,089 bbl/day (2010 est.)"
Dominica,916 bbl/day (2010 est.)
Dominican Republic,"85,490 bbl/day (2010 est.)"
Ecuador,"135,500 bbl/day (2012 est.)"
Egypt,"164,200 bbl/day (2010 est.)"
El Salvador,"29,020 bbl/day (2010 est.)"
Equatorial Guinea,"4,561 bbl/day (2010 est.)"
Eritrea,"3,160 bbl/day (2010 est.)"
Estonia,"22,670 bbl/day (2010 est.)"
Ethiopia,"42,500 bbl/day (2010 est.)"
European Union,8.613 million bbl/day (2010 est.)
Falkland Islands (Islas Malvinas),313 bbl/day (2010 est.)
Faroe Islands,"4,661 bbl/day (2010 est.)"
Fiji,"10,050 bbl/day (2010 est.)"
Finland,"113,800 bbl/day (2010 est.)"
France,"834,800 bbl/day (2010 est.)"
French Polynesia,"7,190 bbl/day (2010 est.)"
Gabon,"4,594 bbl/day (2010 est.)"
"Gambia, The","3,434 bbl/day (2010 est.)"
Georgia,"18,500 bbl/day (2010 est.)"
Germany,"758,100 bbl/day (2010 est.)"
Ghana,"37,240 bbl/day (2010 est.)"
Gibraltar,"28,380 bbl/day (2008 est.)"
Greece,"133,100 bbl/day (2010 est.)"
Greenland,"5,164 bbl/day (2010 est.)"
Grenada,"2,004 bbl/day (2010 est.)"
Guam,"6,579 bbl/day (2010 est.)"
Guatemala,"71,390 bbl/day (2010 est.)"
Guinea,"9,089 bbl/day (2010 est.)"
Guinea-Bissau,"2,661 bbl/day (2010 est.)"
Guyana,"10,780 bbl/day (2010 est.)"
Haiti,"15,130 bbl/day (2011 est.)"
Honduras,"46,370 bbl/day (2010 est.)"
Hong Kong,"345,900 bbl/day (2013 est.)"
Hungary,"171,600 bbl/day (2010 est.)"
Iceland,"14,160 bbl/day (2010 est.)"
India,"379,600 bbl/day (2010 est.)"
Indonesia,"473,400 bbl/day (2011 est.)"
Iran,"180,400 bbl/day (2010 est.)"
Iraq,"172,600 bbl/day (2010 est.)"
Ireland,"166,000 bbl/day (2010 est.)"
Israel,"56,420 bbl/day (2010 est.)"
Italy,"393,300 bbl/day (2010 est.)"
Jamaica,"32,920 bbl/day (2010 est.)"
Japan,1.311 million bbl/day (2010 est.)
Jordan,"35,600 bbl/day (2010 est.)"
Kazakhstan,"94,430 bbl/day (2010 est.)"
Kenya,"52,160 bbl/day (2010 est.)"
Kiribati,420 bbl/day (2010 est.)
"Korea, North","4,000 bbl/day (2010 est.)"
"Korea, South","794,000 bbl/day (2010 est.)"
Kuwait,0 bbl/day (2010 est.)
Kyrgyzstan,"35,040 bbl/day (2010 est.)"
Laos,"3,160 bbl/day (2010 est.)"
Latvia,"35,930 bbl/day (2010 est.)"
Lebanon,"120,400 bbl/day (2010 est.)"
Lesotho,"3,711 bbl/day (2010 est.)"
Liberia,"3,673 bbl/day (2010 est.)"
Libya,575 bbl/day (2010 est.)
Lithuania,"16,110 bbl/day (2010 est.)"
Luxembourg,"56,780 bbl/day (2010 est.)"
Macau,"5,780 bbl/day (2013 est.)"
Macedonia,"21,530 bbl/day (2010 est.)"
Madagascar,"12,120 bbl/day (2010 est.)"
Malawi,"6,059 bbl/day (2010 est.)"
Malaysia,"175,100 bbl/day (2010 est.)"
Maldives,"6,088 bbl/day (2012 est.)"
Mali,"4,698 bbl/day (2010 est.)"
Malta,"36,480 bbl/day (2013 est.)"
Mauritania,"12,810 bbl/day (2010 est.)"
Mauritius,"20,620 bbl/day (2010 est.)"
Mexico,"607,400 bbl/day (2010 est.)"
Moldova,"15,280 bbl/day (2012 est.)"
Mongolia,"17,360 bbl/day (2010 est.)"
Montenegro,"3,300 bbl/day (2010 est.)"
Montserrat,569 bbl/day (2010 est.)
Morocco,"143,000 bbl/day (2010 est.)"
Mozambique,"16,140 bbl/day (2010 est.)"
Namibia,"20,810 bbl/day (2012 est.)"
Nauru,"1,075 bbl/day (2010 est.)"
Nepal,"21,960 bbl/day (2010 est.)"
Netherlands,2.079 million bbl/day (2010 est.)
New Caledonia,"14,670 bbl/day (2010 est.)"
New Zealand,"41,170 bbl/day (2010 est.)"
Nicaragua,"15,830 bbl/day (2011 est.)"
Niger,"5,136 bbl/day (2010 est.)"
Nigeria,"151,700 bbl/day (2010 est.)"
Niue,23 bbl/day (2010 est.)
Norway,"100,000 bbl/day (2010 est.)"
Oman,"2,390 bbl/day (2010 est.)"
Pakistan,"227,100 bbl/day (2010 est.)"
Panama,"111,100 bbl/day (2010 est.)"
Papua New Guinea,"5,937 bbl/day (2010 est.)"
Paraguay,"31,290 bbl/day (2010 est.)"
Peru,"43,480 bbl/day (2012 est.)"
Philippines,"147,900 bbl/day (2010 est.)"
Poland,"137,700 bbl/day (2010 est.)"
Portugal,"84,080 bbl/day (2010 est.)"
Puerto Rico,"176,000 bbl/day (2010 est.)"
Qatar,0 bbl/day (2010 est.)
Romania,"44,070 bbl/day (2010 est.)"
Russia,"24,300 bbl/day (2013 est.)"
Rwanda,"5,302 bbl/day (2010 est.)"
"Saint Helena, Ascension, and Tristan da Cunha",63 bbl/day (2010 est.)
Saint Kitts and Nevis,"1,784 bbl/day (2010 est.)"
Saint Lucia,"2,914 bbl/day (2010 est.)"
Saint Pierre and Miquelon,584 bbl/day (2010 est.)
Saint Vincent and the Grenadines,"1,474 bbl/day (2010 est.)"
Samoa,"1,149 bbl/day (2010 est.)"
Sao Tome and Principe,889 bbl/day (2010 est.)
Saudi Arabia,"196,700 bbl/day (2010 est.)"
Senegal,"23,760 bbl/day (2010 est.)"
Serbia,"31,120 bbl/day (2013 est.)"
Seychelles,"6,316 bbl/day (2010 est.)"
Sierra Leone,"9,373 bbl/day (2010 est.)"
Singapore,1.36 million bbl/day (2012 est.)
Slovakia,"28,380 bbl/day (2010 est.)"
Slovenia,"68,320 bbl/day (2010 est.)"
Solomon Islands,"1,463 bbl/day (2010 est.)"
Somalia,"5,399 bbl/day (2010 est.)"
South Africa,"79,010 bbl/day (2010 est.)"
South Sudan,"13,050 bbl/day"
Spain,"566,200 bbl/day (2010 est.)"
Sri Lanka,"44,270 bbl/day (2010 est.)"
Sudan,"4,349 bbl/day (2008 est.)"
Suriname,"6,454 bbl/day (2010 est.)"
Swaziland,"4,761 bbl/day (2010 est.)"
Sweden,"187,300 bbl/day (2010 est.)"
Switzerland,"157,600 bbl/day (2010 est.)"
Syria,"104,800 bbl/day (2010 est.)"
Taiwan,"304,700 bbl/day (2011 est.)"
Tajikistan,"20,090 bbl/day (2013 est.)"
Tanzania,"30,750 bbl/day (2010 est.)"
Thailand,"41,700 bbl/day (2011 est.)"
Timor-Leste,"1,264 bbl/day (2010 est.)"
Togo,"9,773 bbl/day (2010 est.)"
Tonga,"1,202 bbl/day (2010 est.)"
Trinidad and Tobago,"1,598 bbl/day (2010 est.)"
Tunisia,"80,980 bbl/day (2010 est.)"
Turkey,"301,300 bbl/day (2010 est.)"
Turkmenistan,"2,542 bbl/day (2010 est.)"
Turks and Caicos Islands,"1,063 bbl/day (2010 est.)"
Uganda,"22,990 bbl/day (2010 est.)"
Ukraine,"126,500 bbl/day (2010 est.)"
United Arab Emirates,"351,400 bbl/day (2010 est.)"
United Kingdom,"566,700 bbl/day (2013 est.)"
United States,2.58 million bbl/day (2010 est.)
Uruguay,"16,420 bbl/day (2010 est.)"
Uzbekistan,656 bbl/day (2010 est.)
Vanuatu,838 bbl/day (2010 est.)
Venezuela,"16,660 bbl/day (2011 est.)"
Vietnam,"184,900 bbl/day (2012 est.)"
Virgin Islands,"5,732 bbl/day (2010 est.)"
West Bank,"16,330 bbl/day (2010 est.)"
Western Sahara,"1,702 bbl/day (2010 est.)"
World,23.75 million bbl/day (2010 est.)
Yemen,"59,050 bbl/day (2010 est.)"
Zambia,"1,272 bbl/day (2010 est.)"
Zimbabwe,"13,290 bbl/day (2010 est.)"
