Afghanistan,0 bbl/day (2010 est.)
Albania,"3,121 bbl/day (2010 est.)"
Algeria,"571,400 bbl/day (2010 est.)"
American Samoa,0 bbl/day (2010 est.)
Angola,"38,760 bbl/day (2010 est.)"
Antigua and Barbuda,0 bbl/day (2010 est.)
Argentina,"622,200 bbl/day (2010 est.)"
Armenia,0 bbl/day (2013 est.)
Aruba,"234,200 bbl/day (2010 est.)"
Australia,"675,200 bbl/day (2010 est.)"
Austria,"159,200 bbl/day (2011 est.)"
Azerbaijan,"133,500 bbl/day (2010 est.)"
"Bahamas, The",0 bbl/day (2010 est.)
Bahrain,"270,800 bbl/day (2012 est.)"
Bangladesh,"22,710 bbl/day (2010 est.)"
Barbados,31 bbl/day (2010 est.)
Belarus,"346,000 bbl/day (2010 est.)"
Belgium,"720,000 bbl/day (2010 est.)"
Belize,0 bbl/day (2010 est.)
Benin,0 bbl/day (2010 est.)
Bermuda,0 bbl/day (2012 est.)
Bhutan,0 bbl/day (2010 est.)
Bolivia,"40,000 bbl/day (2013 est.)"
Bosnia and Herzegovina,"22,430 bbl/day (2010 est.)"
Botswana,0 bbl/day (2010 est.)
Brazil,2.108 million bbl/day (2010 est.)
British Virgin Islands,0 bbl/day (2010 est.)
Brunei,"13,500 bbl/day (2010 est.)"
Bulgaria,"128,500 bbl/day (2010 est.)"
Burkina Faso,0 bbl/day (2010 est.)
Burma,"18,920 bbl/day (2010 est.)"
Burundi,0 bbl/day (2010 est.)
Cabo Verde,0 bbl/day (2010 est.)
Cambodia,0 bbl/day (2010 est.)
Cameroon,"43,500 bbl/day (2010 est.)"
Canada,2.016 million bbl/day (2010 est.)
Cayman Islands,0 bbl/day (2010 est.)
Central African Republic,0 bbl/day (2010 est.)
Chad,0 bbl/day (2010 est.)
Chile,"187,200 bbl/day (2010 est.)"
China,9.371 million bbl/day (2012 est.)
Colombia,"313,100 bbl/day (2010 est.)"
Comoros,0 bbl/day (2010 est.)
"Congo, Democratic Republic of the",0 bbl/day (2010 est.)
"Congo, Republic of the","13,820 bbl/day (2010 est.)"
Cook Islands,0 bbl/day (2010 est.)
Costa Rica,"10,630 bbl/day (2010 est.)"
Cote d'Ivoire,"55,890 bbl/day (2010 est.)"
Croatia,"65,410 bbl/day (2013 est.)"
Cuba,"100,600 bbl/day (2010 est.)"
Curacao,531 bbl/day (2010 est.)
Cyprus,0 bbl/day (2010 est.)
Czech Republic,"178,900 bbl/day (2010 est.)"
Denmark,"145,300 bbl/day (2010 est.)"
Djibouti,0 bbl/day (2010 est.)
Dominica,0 bbl/day (2010 est.)
Dominican Republic,"28,050 bbl/day (2010 est.)"
Ecuador,"207,300 bbl/day (2013 est.)"
Egypt,"602,600 bbl/day (2010 est.)"
El Salvador,"16,620 bbl/day (2010 est.)"
Equatorial Guinea,"3,074 bbl/day (2010 est.)"
Eritrea,0 bbl/day (2010 est.)
