Afghanistan,"Sunni Muslim 80%, Shia Muslim 19%, other 1%"
Albania,"Muslim 56.7%, Roman Catholic 10%, Orthodox 6.8%, atheist 2.5%, Bektashi (a Sufi order) 2.1%, other 5.7%, unspecified 16.2% 
      
      
        note: all mosques and churches were closed in 1967 and religious observances prohibited; in November 1990, Albania began allowing private religious practice (2011 est.)"
Algeria,"Muslim (official; predominantly Sunni) 99%, other (includes Christian and Jewish)"
American Samoa,"Christian Congregationalist 50%, Roman Catholic 20%, Protestant and other 30%"
Andorra,Roman Catholic (predominant)
Angola,"indigenous beliefs 47%, Roman Catholic 38%, Protestant 15% (1998 est.)"
Anguilla,"Protestant 83.1% (Anglican 29%, Methodist 23.9%, other Protestant 30.2%), Roman Catholic 5.7%, other Christian 1.7%, other 5.2%, none or unspecified 4.3% (2001 census)"
Antigua and Barbuda,"Protestant 76.4% (Anglican 25.7%, Seventh-Day Adventist 12.3%, Pentecostal 10.6%, Moravian 10.5%, Methodist 7.9%, Baptist 4.9%, Church of God 4.5%), Roman Catholic 10.4%, other Christian 5.4%, other 2%, none or unspecified 5.8% (2001 census)"
Argentina,"nominally Roman Catholic 92% (less than 20% practicing), Protestant 2%, Jewish 2%, other 4%"
Armenia,"Armenian Apostolic 92.6%, Evangelical 1%, other 2.4%, none 1.1%, unspecified 2.9% (2011 est.)"
Aruba,"Roman Catholic 75.3%, Protestant 4.9% (includes Methodist .9%, Adventist .9%, Anglican .4%, other Protestant 2.7%), Jehovah's Witness 1.7%, other 12%, none 5.5%, unspecified 0.5% (2010 est.)"
Australia,"Protestant 28.8% (Anglican 17.1%, Uniting Church 5.0%, Presbyterian and Reformed 2.8%, Baptist, 1.6%, Lutheran 1.2%, Pentecostal 1.1%), Catholic 25.3%, Eastern Orthodox 2.6%, other Christian 4.5%, Buddhist 2.5%, Muslim 2.2%, Hindu 1.3%, other 8.4%, unspecified 2.2%, none 22.3% 
      
      
        note: percentages add up to more than 100% due to rounding (2006 est.)"
Austria,"Roman Catholic 73.6%, Protestant 4.7%, Muslim 4.2%, other 3.5%, unspecified 2%, none 12% (2001 census)"
Azerbaijan,"Muslim 93.4%, Russian Orthodox 2.5%, Armenian Orthodox 2.3%, other 1.8% (1995 est.) 
      
      
        note: religious affiliation is still nominal in Azerbaijan; percentages for actual practicing adherents are much lower"
"Bahamas, The","Protestant 69.9% (includes Baptist 34.9%, Anglican 13.7%, Pentecostal 8.9% Seventh Day Adventist 4.4%, Methodist 3.6%, Church of God 1.9%, Brethren 1.6%), Roman Catholic 12%, other Christian 13% (includes Jehovah's Witness 1.1%), other 0.6%, none 1.9%, unspecified 2.6% (2010 est.)"
Bahrain,"Muslim 70.3%, Christian 14.5%, Hindu 9.8%, Buddhist 2.5%, Jewish 0.6%, folk religion"
Bangladesh,"Muslim 89.5%, Hindu 9.6%, other 0.9% (2004)"
