Afghanistan,"$5.983 billion (31 December 2012 est.) 
      
      $5.268 billion (31 December 2011 est.)"
Albania,"$2.827 billion (31 December  2013 est.) 
      
      $2.784 billion (31 December 2012 est.)"
Algeria,"$192.5 billion (31 December 2013 est.) 
      
      $191.6 billion (31 December 2012 est.)"
Angola,"$37.94 billion (31 December 2013 est.) 
      
      $33.41 billion (31 December 2012 est.)"
Argentina,"$33.65 billion (31 December 2013 est.) 
      
      $43.25 billion (31 December 2012 est.)"
Armenia,"$1.863 billion (31 December 2013 est.) 
      
      $1.799 billion (31 December 2012 est.)"
Australia,"$48.8 billion (31 December 2013 est.) 
      
      $49.15 billion (31 December 2012 est.)"
Austria,"$27.21 billion (31 December 2012 est.) 
      
      $25.16 billion (31 December 2011 est.)"
Azerbaijan,"$13.08 billion (31 December 2013 est.) 
      
      $11.28 billion (31 December 2012 est.)"
"Bahamas, The","$830 million (31 December 2013 est.) 
      
      $846.9 million (31 December 2012 est.)"
Bahrain,"$5.933 billion (31 December 2013 est.) 
      
      $5.211 billion (31 December 2012 est.)"
Bangladesh,"$15.74 billion (31 December 2013 est.) 
      
      $12.75 billion (31 December 2012 est.)"
Barbados,"$712.6 million (31 December 2013 est.) 
      
      $839.7 million (31 December 2012 est.)"
Belarus,"$4.513 billion (31 December 2013 est.) 
      
      $5.809 billion (31 December 2012 est.)"
Belgium,"$30.77 billion (31 December 2012 est.) 
      
      $29.43 billion (31 December 2011 est.)"
Belize,"$273 million (31 December 2013 est.) 
      
      $288.9 million (31 December 2012 est.)"
Benin,"$720.3 million (31 December 2013 est.) 
      
      $712.8 million (31 December 2012 est.)"
Bolivia,"$14.43 billion (31 December 2013 est.) 
      
      $13.93 billion (31 December 2012 est.)"
Bosnia and Herzegovina,"$5.002 billion (31 January 2014 est.) 
      
      $4.852 billion (31 January 2013 est.)"
Botswana,"$7.933 billion (31 December 2013 est.) 
      
      $7.628 billion (31 December 2012 est.)"
Brazil,"$378.3 billion (31 December 2013 est.) 
      
      $373.1 billion (31 December 2012 est.)"
Bulgaria,"$20.69 billion (31 December 2013 est.) 
      
      $20.5 billion (31 December 2012 est.)"
Burkina Faso,"$1.115 billion (31 December 2013 est.) 
      
      $1.025 billion (31 December 2012 est.)"
Burma,"$8.278 billion (31 December 2013 est.) 
      
      $6.977 billion (31 December 2012 est.)"
Burundi,"$314.6 million (31 December 2013 est.) 
      
      $308.8 million (31 December 2012 est.)"
Cabo Verde,"$426.2 million (31 December 2013 est.) 
      
      $376 million (31 December 2012 est.)"
Cambodia,"$5.415 billion (31 December 2013 est.) 
      
      $4.938 billion (31 December 2012 est.)"
Cameroon,"$3.353 billion (31 December 2013 est.) 
      
      $3.431 billion (31 December 2012 est.)"
Canada,"$68.55 billion (31 December 2012 est.) 
      
      $65.82 billion (31 December 2011 est.)"
Chad,"$1.304 billion (31 December 2013 est.) 
      
      $1.174 billion (31 December 2012 est.)"
Chile,"$39.89 billion (31 December 2013 est.) 
      
      $41.65 billion (31 December 2012 est.)"
China,"$3.821 trillion (31 December 2013 est.) 
      
      $3.388 trillion (31 December 2012 est.)"
Colombia,"$43.74 billion (31 December 2013 est.) 
      
      $37 billion (31 December 2012 est.)"
