Afghanistan,"total: 42,150 km 
      
      
        paved: 12,350 km 
      
      
        unpaved: 29,800 km (2006)"
Albania,"total: 18,000 km 
      
      
        paved: 7,020 km 
      
      
        unpaved: 10,980 km (2002)"
Algeria,"total: 113,655 km 
      
      
        paved: 87,605 km (includes 645 km of expressways) 
      
      
        unpaved: 26,050 km (2010)"
American Samoa,total: 241 km (2008)
Andorra,total: 320 km (2008)
Angola,"total: 51,429 km 
      
      
        paved: 5,349 km 
      
      
        unpaved: 46,080 km (2001)"
Anguilla,"total: 175 km 
      
      
        paved: 82 km 
      
      
        unpaved: 93 km (2004)"
Antigua and Barbuda,"total: 1,170 km 
      
      
        paved: 386 km 
      
      
        unpaved: 784 km (2011)"
Argentina,"total: 231,374 km 
      
      
        paved: 69,412 km (includes 734 km of expressways) 
      
      
        unpaved: 161,962 km (2004)"
Armenia,"total: 7,705 km (2012)"
Australia,"total: 823,217 km 
      
      
        paved: 356,343 km 
      
      
        unpaved: 466,874 km (2011)"
Austria,"total: 124,508 km 
      
      
        paved: 124,508 km (includes 1,719 km of expressways) (2012)"
Azerbaijan,"total: 52,942 km 
      
      
        paved: 26,789 km 
      
      
        unpaved: 26,153 km (2006)"
"Bahamas, The","total: 2,700 km 
      
      
        paved: 1,620 km 
      
      
        unpaved: 1,080 km (2011)"
Bahrain,"total: 4,122 km 
      
      
        paved: 3,392 km 
      
      
        unpaved: 730 km (2010)"
Bangladesh,"total: 21,269 km 
      
      
        paved: 1,063 km 
      
      
        unpaved: 20,206 km (2010)"
Barbados,"total: 1,600 km 
      
      
        paved: 1,600 km (2011)"
Belarus,"total: 86,392 km 
      
      
        paved: 74,651 km 
      
      
        unpaved: 11,741 km (2010)"
Belgium,"total: 154,012 km 
      
      
        paved: 120,514 km (includes 1,756 km of expressways) 
      
      
        unpaved: 33,498 km (2010)"
Belize,"total: 2,870 km 
      
      
        paved: 488 km 
      
      
        unpaved: 2,382 km (2011)"
Benin,"total: 16,000 km 
      
      
        paved: 1,400 km 
      
      
        unpaved: 14,600 km (2006)"
Bermuda,"total: 447 km 
      
      
        paved: 447 km 
      
      
        note: 225 km public roads; 222 km private roads (2010)"
Bhutan,"total: 8,050 km 
      
      
        paved: 4,991 km (includes 622 km of expressways) 
      
      
        unpaved: 3,059 km (2003)"
Bolivia,"total: 80,488 km 
      
      
        paved: 11,993 km 
      
      
        unpaved: 68,495 km (2010)"
Bosnia and Herzegovina,"total: 22,926 km 
      
      
        paved: 19,426 km (4,652 km of interurban roads) 
      
      
        unpaved: 3,500 km (2010)"
Botswana,"total: 17,916 km 
      
      
        note: includes 8,916 km of Public Highway Network roads (6,116 km paved and 2,800 km unpaved) and other 9,000 km of District Council roads (2011)"
Brazil,"total: 1,580,964 km 
      
      
        paved: 212,798 km 
      
      
        unpaved: 1,368,166 km 
      
      
        note: does not include urban roads (2010)"
British Indian Ocean Territory,note: short section of paved road between port and airfield on Diego Garcia
British Virgin Islands,"total: 200 km 
      
      
        paved: 200 km (2007)"
Brunei,"total: 3,029 km 
      
      
        paved: 2,425 km 
      
      
        unpaved: 604 km (2010)"
Bulgaria,"total: 19,512 km 
      
      
        paved: 19,235 km (includes 458 km of expressways) 
      
      
        unpaved: 277 km 
      
      
        note: does not include Category IV local roads (2011)"
Burkina Faso,"total: 15,272 km 
      
      
        note: does not include urban roads (2010)"
Burma,"total: 34,377 km (includes 358 km of expressways) (2010)"
Burundi,"total: 12,322 km 
      
      
        paved: 1,286 km 
      
      
        unpaved: 11,036 km (2004)"
Cabo Verde,"total: 1,350 km 
      
      
        paved: 932 km 
      
      
        unpaved: 418 km (2013)"
Cambodia,"total: 39,618 km 
      
      
        paved: 2,492 km 
      
      
        unpaved: 37,126 km (2009)"
Cameroon,"total: 51,350 km 
      
      
        paved: 4,108 km 
      
      
        unpaved: 47,242 km 
      
      
        note: there are 28,857 km of national roads (2011)"
Canada,"total: 1,042,300 km 
      
      
        paved: 415,600 km (includes 17,000 km of expressways) 
      
      
        unpaved: 626,700 km (2008)"
Cayman Islands,"total: 785 km 
      
      
        paved: 785 km (2007)"
Central African Republic,"total: 20,278 km (2010)"
Chad,"total: 40,000 km 
      
      
        note: consists of 25,000 km of national and regional roads and 15,000 km of local roads; 206 km of urban roads are paved (2011)"
Chile,"total: 77,764 km 
      
      
        paved: 18,119 km (includes 2,387 km of expressways) 
      
      
        unpaved: 59,645 km (2010)"
China,"total: 4,106,387 km 
      
      
        paved: 3,453,890 km (includes 84,946 km of expressways) 
      
      
        unpaved: 652,497 km (2011)"
Christmas Island,"total: 140 km 
      
      
        paved: 30 km 
      
      
        unpaved: 110 km (2011)"
Cocos (Keeling) Islands,"total: 22 km 
      
      
        paved: 10 km 
      
      
        unpaved: 12 km (2007)"
Colombia,"total: 141,374 km (2010)"
Comoros,"total: 880 km 
      
      
        paved: 673 km 
      
      
        unpaved: 207 km (2002)"
"Congo, Democratic Republic of the","total: 153,497 km 
      
      
        paved: 2,794 km 
      
      
        unpaved: 150,703 km (2004)"
"Congo, Republic of the","total: 17,289 km 
      
      
        paved: 864 km 
      
      
        unpaved: 16,425 km (2004)"
Cook Islands,"total: 320 km 
      
      
        paved: 33 km 
      
      
        unpaved: 287 km (2003)"
Costa Rica,"total: 39,018 km 
      
      
        paved: 10,133 km 
      
      
        unpaved: 28,885 km (2010)"
