Afghanistan,"improved:  
      
      urban: 46.8% of population 
      
      rural: 23.4% of population 
      
      total: 29% of population 
      
      
        unimproved: 
      
      urban: 53.2% of population 
      
      rural: 76.6% of population 
      
      total: 71% of population (2012 est.)"
Albania,"improved:  
      
      urban: 95.3% of population 
      
      rural: 86.3% of population 
      
      total: 91.2% of population 
      
      
        unimproved: 
      
      urban: 4.7% of population 
      
      rural: 13.7% of population 
      
      total: 8.8% of population (2012 est.)"
Algeria,"improved:  
      
      urban: 97.6% of population 
      
      rural: 88.4% of population 
      
      total: 95.2% of population 
      
      
        unimproved: 
      
      urban: 2.4% of population 
      
      rural: 11.6% of population 
      
      total: 4.8% of population (2012 est.)"
American Samoa,"improved:  
      
      urban: 62.5% of population 
      
      rural: 62.5% of population 
      
      total: 62.5% of population 
      
      
        unimproved: 
      
      urban: 37.5% of population 
      
      rural: 37.5% of population 
      
      total: 37.5% of population (2012 est.)"
Andorra,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Angola,"improved:  
      
      urban: 86.8% of population 
      
      rural: 20.1% of population 
      
      total: 60.1% of population 
      
      
        unimproved: 
      
      urban: 13.2% of population 
      
      rural: 79.9% of population 
      
      total: 39.9% of population (2012 est.)"
Anguilla,"improved:  
      
      urban: 97.9% of population 
      
      total: 97.9% of population 
      
      
        unimproved: 
      
      urban: 2.1% of population 
      
      total: 2.1% of population (2012 est.)"
Antigua and Barbuda,"improved:  
      
      urban: 91.4% of population 
      
      rural: 91.4% of population 
      
      total: 91.4% of population 
      
      
        unimproved: 
      
      urban: 8.6% of population 
      
      rural: 8.6% of population 
      
      total: 8.6% of population (2011 est.)"
Argentina,"improved:  
      
      urban: 97.1% of population 
      
      rural: 99.4% of population 
      
      total: 97.2% of population 
      
      
        unimproved: 
      
      urban: 2.9% of population 
      
      rural: 0.6% of population 
      
      total: 2.8% of population (2012 est.)"
Armenia,"improved:  
      
      urban: 95.9% of population 
      
      rural: 80.9% of population 
      
      total: 90.5% of population 
      
      
        unimproved: 
      
      urban: 4.1% of population 
      
      rural: 19.1% of population 
      
      total: 9.5% of population (2012 est.)"
Aruba,"improved:  
      
      urban: 97.7% of population 
      
      rural: 97.7% of population 
      
      total: 97.7% of population 
      
      
        unimproved: 
      
      urban: 2.3% of population 
      
      rural: 2.3% of population 
      
      total: 2.3% of population (2012 est.)"
Australia,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Austria,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Azerbaijan,"improved:  
      
      urban: 85.9% of population 
      
      rural: 77.5% of population 
      
      total: 82% of population 
      
      
        unimproved: 
      
      urban: 14.1% of population 
      
      rural: 22.5% of population 
      
      total: 18% of population (2012 est.)"
"Bahamas, The","improved:  
      
      urban: 92% of population 
      
      rural: 92% of population 
      
      total: 92% of population 
      
      
        unimproved: 
      
      urban: 8% of population 
      
      rural: 8% of population 
      
      total: 8% of population (2012 est.)"
Bahrain,"improved:  
      
      urban: 99.2% of population 
      
      rural: 99.2% of population 
      
      total: 99.2% of population 
      
      
        unimproved: 
      
      urban: 0.8% of population 
      
      rural: 0.8% of population 
      
      total 0.8% of population (2012 est.)"
Bangladesh,"improved:  
      
      urban: 55.2% of population 
      
      rural: 57.8% of population 
      
      total: 57% of population 
      
      
        unimproved: 
      
      urban: 44.8% of population 
      
      rural: 42.2% of population 
      
      total: 43% of population (2012 est.)"
Barbados,"improved:  
      
      urban: 91.6% of population 
      
      rural: 91.6% of population 
      
      total: 91.6% of population 
      
      
        unimproved: 
      
      urban: 8.4% of population 
      
      rural: 8.4% of population 
      
      total: 8.4% of population (2006 est.)"
Belarus,"improved:  
      
      urban: 94% of population 
      
      rural: 95.3% of population 
      
      total: 94.3% of population 
      
      
        unimproved: 
      
      urban: 6% of population 
      
      rural: 4.7% of population 
      
      total: 5.7% of population (2012 est.)"
Belgium,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Belize,"improved:  
      
      urban: 94.2% of population 
      
      rural: 87.6% of population 
      
      total: 90.5% of population 
      
      
        unimproved: 
      
      urban: 5.8% of population 
      
      rural: 12.4% of population 
      
      total: 9.5% of population (2012 est.)"
Benin,"improved:  
      
      urban: 25.3% of population 
      
      rural: 5.1% of population 
      
      total: 14.3% of population 
      
      
        unimproved: 
      
      urban: 74.7% of population 
      
      rural: 94.9% of population 
      
      total: 85.7% of population (2012 est.)"
Bhutan,"improved:  
      
      urban: 74.5% of population 
      
      rural: 31.1% of population 
      
      total: 46.9% of population 
      
      
        unimproved: 
      
      urban: 25.5% of population 
      
      rural: 68.9% of population 
      
      total: 53.1% of population (2012 est.)"
Bolivia,"improved:  
      
      urban: 57.5% of population 
      
      rural: 23.7% of population 
      
      total: 46.4% of population 
      
      
        unimproved: 
      
      urban: 42.5% of population 
      
      rural: 76.3% of population 
      
      total: 53.6% of population (2012 est.)"
Bosnia and Herzegovina,"improved:  
      
      urban: 98.9% of population 
      
      rural: 92.1% of population 
      
      total: 95.4% of population 
      
      
        unimproved: 
      
      urban: 1.1% of population 
      
      rural: 7.9% of population 
      
      total: 4.6% of population (2012 est.)"
Botswana,"improved:  
      
      urban: 77.9% of population 
      
      rural: 41.8% of population 
      
      total: 64.3% of population 
      
      
        unimproved: 
      
      urban: 22.1% of population 
      
      rural: 58.2% of population 
      
      total: 35.7% of population (2012 est.)"
Brazil,"improved:  
      
      urban: 87% of population 
      
      rural: 49.2% of population 
      
      total: 81.3% of population 
      
      
        unimproved: 
      
      urban: 13% of population 
      
      rural: 50.8% of population 
      
      total: 18.7% of population (2012 est.)"
British Virgin Islands,"improved:  
      
      urban: 97.5% of population 
      
      rural: 97.5% of population 
      
      total: 97.5% of population 
      
      
        unimproved: 
      
      urban: 2.5% of population 
      
      rural: 2.5% of population 
      
      total: 2.5% of population (2012 est.)"
Bulgaria,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Burkina Faso,"improved:  
      
      urban: 50.4% of population 
      
      rural: 6.7% of population 
      
      total: 18.6% of population 
      
      
        unimproved: 
      
      urban: 49.6% of population 
      
      rural: 93.3% of population 
      
      total: 81.4% of population (2012 est.)"
Burma,"improved:  
      
      urban: 84.3% of population 
      
      rural: 73.9% of population 
      
      total: 77.4% of population 
      
      
        unimproved: 
      
      urban: 15.7% of population 
      
      rural: 26.1% of population 
      
      total: 22.6% of population (2012 est.)"
Burundi,"improved:  
      
      urban: 42.7% of population 
      
      rural: 48.1% of population 
      
      total: 47.5% of population 
      
      
        unimproved: 
      
      urban: 57.3% of population 
      
      rural: 51.9% of population 
      
      total: 52.5% of population (2012 est.)"
Cabo Verde,"improved:  
      
      urban: 75.2% of population 
      
      rural: 47.2% of population 
      
      total: 64.9% of population 
      
      
        unimproved: 
      
      urban: 24.8% of population 
      
      rural: 52.8% of population 
      
      total: 35.1% of population (2012 est.)"
Cambodia,"improved:  
      
      urban: 81.6% of population 
      
      rural: 25.5% of population 
      
      total: 36.8% of population 
      
      
        unimproved: 
      
      urban: 18.4% of population 
      
      rural: 74.5% of population 
      
      total: 63.2% of population (2012 est.)"
Cameroon,"improved:  
      
      urban: 61.7% of population 
      
      rural: 26.8% of population 
      
      total: 45.2% of population 
      
      
        unimproved: 
      
      urban: 38.3% of population 
      
      rural: 73.2% of population 
      
      total: 54.8% of population (2012 est.)"
Canada,"improved:  
      
      urban: 100% of population 
      
      rural: 99% of population 
      
      total: 99.8% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 1% of population 
      
      total: 0.2% of population (2012 est.)"
Cayman Islands,"improved:  
      
      urban: 96.2% of population 
      
      total: 96.2% of population 
      
      
        unimproved: 
      
      urban: 3.8% of population 
      
      total: 3.8% of population (2012 est.)"
Central African Republic,"improved:  
      
      urban: 43.6% of population 
      
      rural: 7.2% of population 
      
      total: 21.5% of population 
      
      
        unimproved: 
      
      urban: 56.4% of population 
      
      rural: 92.8% of population 
      
      total: 78.5% of population (2012 est.)"
Chad,"improved:  
      
      urban: 31.4% of population 
      
      rural: 6.5% of population 
      
      total: 11.9% of population 
      
      
        unimproved: 
      
      urban: 68.6% of population 
      
      rural: 93.5% of population 
      
      total: 88.1% of population (2012 est.)"
Chile,"improved:  
      
      urban: 100% of population 
      
      rural: 89.3% of population 
      
      total: 98.9% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 10.7% of population 
      
      total: 1.1% of population (2012 est.)"
China,"improved:  
      
      urban: 74.1% of population 
      
      rural: 55.8% of population 
      
      total: 65.3% of population 
      
      
        unimproved: 
      
      urban: 25.9% of population 
      
      rural: 44.2% of population 
      
      total: 34.7% of population (2012 est.)"
Colombia,"improved:  
      
      urban: 84.9% of population 
      
      rural: 65.7% of population 
      
      total: 80.2% of population 
      
      
        unimproved: 
      
      urban: 15.1% of population 
      
      rural: 34.3% of population 
      
      total: 19.8% of population (2012 est.)"
Comoros,"improved:  
      
      urban: 50% of population 
      
      rural: 29.7% of population 
      
      total: 35.4% of population 
      
      
        unimproved: 
      
      urban: 50% of population 
      
      rural: 70.3% of population 
      
      total: 64.6% of population (2010 est.)"
"Congo, Democratic Republic of the","improved:  
      
      urban: 29.1% of population 
      
      rural: 32.6% of population 
      
      total: 31.4% of population 
      
      
        unimproved: 
      
      urban: 70.9% of population 
      
      rural: 67.4% of population 
      
      total: 68.6% of population (2012 est.)"
"Congo, Republic of the","improved:  
      
      urban: 19.6% of population 
      
      rural: 5.6% of population 
      
      total: 14.6% of population 
      
      
        unimproved: 
      
      urban: 80.4% of population 
      
      rural: 94.4% of population 
      
      total: 85.4% of population (2012 est.)"
Cook Islands,"improved:  
      
      urban: 97.2% of population 
      
      rural: 97.2% of population 
      
      total: 97.2% of population 
      
      
        unimproved: 
      
      urban: 2.8% of population 
      
      rural: 2.8% of population 
      
      total: 2.8% of population (2012 est.)"
Costa Rica,"improved:  
      
      urban: 94.9% of population 
      
      rural: 92% of population 
      
      total: 93.9% of population 
      
      
        unimproved: 
      
      urban: 5.1% of population 
      
      rural: 8% of population 
      
      total: 6.1% of population (2012 est.)"
Cote d'Ivoire,"improved:  
      
      urban: 32.7% of population 
      
      rural: 10% of population 
      
      total: 21.9% of population 
      
      
        unimproved: 
      
      urban: 67.3% of population 
      
      rural: 90% of population 
      
      total: 78.1% of population (2012 est.)"
Croatia,"improved:  
      
      urban: 98.6% of population 
      
      rural: 97.6% of population 
      
      total: 98.2% of population 
      
      
        unimproved: 
      
      urban: 1.4% of population 
      
      rural: 2.4% of population 
      
      total: 1.8% of population (2012 est.)"
Cuba,"improved:  
      
      urban: 94% of population 
      
      rural: 88.2% of population 
      
      total: 92.6% of population 
      
      
        unimproved: 
      
      urban: 6% of population 
      
      rural: 11.8% of population 
      
      total: 7.4% of population (2012 est.)"
Cyprus,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Czech Republic,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
