Afghanistan,"total: 9 years 
      
      
        male: 11 years 
      
      
        female: 7 years (2011)"
Albania,"total: 10 years 
      
      
        male: 10 years 
      
      
        female: 10 years (2001)"
Algeria,"total: 14 years 
      
      
        male: 12 years 
      
      
        female: 14 years (2011)"
Angola,"total: 11 years 
      
      
        male: 14 years 
      
      
        female: 9 years (2011)"
Anguilla,"total: 11 years 
      
      
        male: 11 years 
      
      
        female: 11 years (2008)"
Antigua and Barbuda,"total: 14 years 
      
      
        male: 13 years 
      
      
        female: 15 years (2012)"
Argentina,"total: 17 years 
      
      
        male: 16 years 
      
      
        female: 18 years (2011)"
Armenia,"total: 12 years 
      
      
        male: 11 years 
      
      
        female: 14 years (2009)"
Aruba,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 14 years (2011)"
Australia,"total: 20 years 
      
      
        male: 19 years 
      
      
        female: 20 years (2011)"
Austria,"total: 16 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2011)"
Azerbaijan,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 12 years (2012)"
Bangladesh,"total: 10 years 
      
      
        male: 10 years 
      
      
        female: 10 years (2011)"
Barbados,"total: 15 years 
      
      
        male: 14 years 
      
      
        female: 17 years (2011)"
Belarus,"total: 16 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2012)"
Belgium,"total: 16 years 
      
      
        male: 16 years 
      
      
        female: 17 years (2011)"
Belize,"total: 14 years 
      
      
        male: 13 years 
      
      
        female: 14 years (2012)"
Benin,"total: 11 years 
      
      
        male: 13 years 
      
      
        female: 9 years (2011)"
Bermuda,"total: 12 years 
      
      
        male: 11 years 
      
      
        female: 13 years (2011)"
Bhutan,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2012)"
Bolivia,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2007)"
Botswana,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 12 years (2006)"
British Virgin Islands,"total: 15 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2009)"
Brunei,"total: 15 years 
      
      
        male: 14 years 
      
      
        female: 15 years (2012)"
Bulgaria,"total: 14 years 
      
      
        male: 14 years 
      
      
        female: 15 years (2011)"
Burkina Faso,"total: 8 years 
      
      
        male: 8 years 
      
      
        female: 7 years (2012)"
Burma,total: 9 years (2007)
Burundi,"total: 10 years 
      
      
        male: 11 years 
      
      
        female: 10 years (2010)"
Cabo Verde,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 14 years (2012)"
Cambodia,"total: 11 years 
      
      
        male: 12 years 
      
      
        female: 10 years (2008)"
Cameroon,"total: 10 years 
      
      
        male: 11 years 
      
      
        female: 10 years (2011)"
Canada,"total: 16 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2000)"
Central African Republic,"total: 7 years 
      
      
        male: 9 years 
      
      
        female: 6 years (2012)"
Chad,"total: 7 years 
      
      
        male: 9 years 
      
      
        female: 6 years (2011)"
Chile,"total: 15 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2012)"
China,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2012)"
Colombia,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 14 years (2012)"
Comoros,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 12 years (2012)"
"Congo, Democratic Republic of the","total: 10 years 
      
      
        male: 11 years 
      
      
        female: 8 years (2012)"
"Congo, Republic of the","total: 11 years 
      
      
        male: 11 years 
      
      
        female: 11 years (2012)"
Cook Islands,"total: 13 years 
      
      
        male: 12 years 
      
      
        female: 13 years (2011)"
Costa Rica,"total: 14 years 
      
      
        male: 13 years 
      
      
        female: 14 years (2012)"
Croatia,"total: 15 years 
      
      
        male: 14 years 
      
      
        female: 15 years (2011)"
Cuba,"total: 15 years 
      
      
        male: 14 years 
      
      
        female: 15 years (2012)"
Cyprus,"total: 14 years 
      
      
        male: 14 years 
      
      
        female: 14 years (2011)"
Czech Republic,"total: 16 years 
      
      
        male: 16 years 
      
      
        female: 17 years (2011)"
Denmark,"total: 17 years 
      
      
        male: 16 years 
      
      
        female: 18 years (2010)"
Djibouti,"total: 6 years 
      
      
        male: 7 years 
      
      
        female: 6 years (2011)"
Egypt,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2011)"
El Salvador,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 12 years (2012)"
Equatorial Guinea,"total: 9 years 
      
      
        male: 10 years 
      
      
        female: 7 years (2000)"
Eritrea,"total: 4 years 
      
      
        male: 5 years 
      
      
        female: 4 years (2010)"
Estonia,"total: 17 years 
      
      
        male: 16 years 
      
      
        female: 18 years (2010)"
Ethiopia,"total: 7 years 
      
      
        male: 8 years 
      
      
        female: 6 years (2005)"
Fiji,total: 16 years (2011)
Finland,"total: 17 years 
      
      
        male: 16 years 
      
      
        female: 18 years (2011)"
France,"total: 16 years 
      
      
        male: 16 years 
      
      
        female: 16 years (2011)"
"Gambia, The",total: 9 years (2008)
Georgia,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2008)"
Germany,"total: 16 years 
      
      
        male: 16 years 
      
      
        female: 16 years (2011)"
Ghana,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 11 years (2012)"
Greece,"total: 17 years 
      
      
        male: 16 years 
      
      
        female: 17 years (2007)"
Grenada,"total: 16 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2009)"
Guatemala,"total: 11 years 
      
      
        male: 11 years 
      
      
        female: 10 years (2007)"
Guinea,"total: 9 years 
      
      
        male: 10 years 
      
      
        female: 7 years (2011)"
Guinea-Bissau,total: 9 years (2006)
Guyana,"total: 10 years 
      
      
        male: 9 years 
      
      
        female: 11 years (2012)"
Honduras,"total: 11 years 
      
      
        male: 11 years 
      
      
        female: 12 years (2012)"
Hong Kong,"total: 16 years 
      
      
        male: 15 years 
      
      
        female: 15 years (2012)"
Hungary,"total: 15 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2011)"
Iceland,"total: 19 years 
      
      
        male: 18 years 
      
      
        female: 20 years (2011)"
India,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 11 years (2011)"
Indonesia,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2011)"
Iran,"total: 15 years 
      
      
        male: 15 years 
      
      
        female: 15 years (2012)"
Iraq,"total: 10 years 
      
      
        male: 11 years 
      
      
        female: 9 years (2004)"
Ireland,"total: 19 years 
      
      
        male: 19 years 
      
      
        female: 19 years (2011)"
Israel,"total: 16 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2009)"
Italy,"total: 16 years 
      
      
        male: 16 years 
      
      
        female: 17 years (2011)"
Jamaica,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 12 years (2002)"
Japan,"total: 15 years 
      
      
        male: 15 years 
      
      
        female: 15 years (2011)"
Jordan,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 14 years (2011)"
Kazakhstan,"total: 15 years 
      
      
        male: 15 years 
      
      
        female: 15 years (2012)"
Kenya,"total: 11 years 
      
      
        male: 11 years 
      
      
        female: 11 years (2009)"
Kiribati,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 13 years (2008)"
"Korea, South","total: 17 years 
      
      
        male: 18 years 
      
      
        female: 16 years (2011)"
Kuwait,"total: 15 years 
      
      
        male: 14 years 
      
      
        female: 15 years (2004)"
Kyrgyzstan,"total: 13 years 
      
      
        male: 12 years 
      
      
        female: 13 years (2011)"
Laos,"total: 10 years 
      
      
        male: 11 years 
      
      
        female: 10 years (2012)"
Latvia,"total: 16 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2011)"
Lebanon,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2012)"
Lesotho,"total: 11 years 
      
      
        male: 11 years 
      
      
        female: 12 years (2012)"
Liberia,"total: 11 years 
      
      
        male: 12 years 
      
      
        female: 9 years (2000)"
Libya,"total: 16 years 
      
      
        male: 16 years 
      
      
        female: 16 years (2003)"
Liechtenstein,"total: 15 years 
      
      
        male: 16 years 
      
      
        female: 14 years (2011)"
Lithuania,"total: 17 years 
      
      
        male: 16 years 
      
      
        female: 17 years (2011)"
Luxembourg,"total: 14 years 
      
      
        male: 14 years 
      
      
        female: 14 years (2010)"
Macau,"total: 14 years 
      
      
        male: 15 years 
      
      
        female: 14 years (2008)"
Macedonia,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2010)"
Madagascar,"total: 10 years 
      
      
        male: 11 years 
      
      
        female: 10 years (2012)"
Malawi,"total: 11 years 
      
      
        male: 11 years 
      
      
        female: 11 years (2011)"
Malaysia,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2005)"
Maldives,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2003)"
Mali,"total: 9 years 
      
      
        male: 10 years 
      
      
        female: 8 years (2012)"
Malta,"total: 15 years 
      
      
        male: 14 years 
      
      
        female: 15 years (2011)"
Marshall Islands,"total: 12 years 
      
      
        male: 11 years 
      
      
        female: 12 years (2003)"
Mauritania,"total: 8 years 
      
      
        male: 8 years 
      
      
        female: 8 years (2012)"
Mauritius,"total: 16 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2012)"
Mexico,"total: 13 years 
      
      
        male: 13 years 
      
      
        female: 13 years (2011)"
Moldova,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 12 years (2012)"
Mongolia,"total: 15 years 
      
      
        male: 14 years 
      
      
        female: 16 years (2012)"
Montenegro,"total: 15 years 
      
      
        male: 15 years 
      
      
        female: 16 years (2010)"
Montserrat,"total: 15 years 
      
      
        male: 14 years 
      
      
        female: 17 years (2007)"
Morocco,"total: 11 years 
      
      
        male: 12 years 
      
      
        female: 11 years (2010)"
Mozambique,"total: 10 years 
      
      
        male: 10 years 
      
      
        female: 9 years (2011)"
Namibia,"total: 11 years 
      
      
        male: 11 years 
      
      
        female: 11 years (2006)"
Nauru,"total: 9 years 
      
      
        male: 9 years 
      
      
        female: 10 years (2008)"
Nepal,"total: 12 years 
      
      
        male: 12 years 
      
      
        female: 13 years (2011)"
Netherlands,"total: 18 years 
      
      
        male: 18 years 
      
      
        female: 18 years (2011)"
New Zealand,"total: 19 years 
      
      
        male: 19 years 
      
      
        female: 20 years (2011)"
Nicaragua,"total: 11 years 
      
      
        male: 10 years 
      
      
        female: 11 years (2002)"
Niger,"total: 5 years 
      
      
        male: 6 years 
      
      
        female: 5 years (2012)"
