Afghanistan,"$6.499 billion (31 December 2012 est.) 
      
      $6.351 billion (31 December 2011 est.)"
Albania,"$6.539 billion (31 December  2013 est.) 
      
      $6.316 billion (31 December 2012 est.)"
Algeria,"$140.2 billion (31 December 2013 est.) 
      
      $141 billion (31 December 2012 est.)"
Angola,"$50.71 billion (31 December 2013 est.) 
      
      $40.34 billion (31 December 2012 est.)"
Anguilla,"$384.4 million (31 December 2013 est.) 
      
      $373.2 million (31 December 2012 est.)"
Antigua and Barbuda,"$1.044 billion (31 December 2013 est.) 
      
      $1.033 billion (31 December 2012 est.)"
Argentina,"$145 billion (31 December 2013 est.) 
      
      $145.9 billion (31 December 2012 est.)"
Armenia,"$2.051 billion (31 December 2013 est.) 
      
      $1.829 billion (31 December 2012 est.)"
Aruba,"$1.91 billion (31 December 2012 est.) 
      
      $1.765 billion (31 December 2011 est.)"
Australia,"$1.661 trillion (31 December 2013 est.) 
      
      $1.648 trillion (31 December 2012 est.)"
Austria,"$419 billion (31 December 2013 est.) 
      
      $414 billion (31 December 2012 est.)"
Azerbaijan,"$21.88 billion (31 December 2013 est.) 
      
      $17.59 billion (31 December 2012 est.)"
"Bahamas, The","$6.329 billion (31 December 2013 est.) 
      
      $6.088 billion (31 December 2012 est.)"
Bahrain,"$23.93 billion (31 December 2013 est.) 
      
      $22.51 billion (31 December 2012 est.)"
Bangladesh,"$85.61 billion (31 December 2013 est.) 
      
      $70.87 billion (31 December 2012 est.)"
Barbados,"$4.229 billion (31 December 2013 est.) 
      
      $4.198 billion (31 December 2012 est.)"
Belarus,"$9.073 billion (31 December 2013 est.) 
      
      $7.655 billion (31 December 2012 est.)"
Belgium,"$591.7 billion (31 December 2013 est.) 
      
      $585 billion (31 December 2012 est.)"
Belize,"$1.3 billion (31 December 2013 est.) 
      
      $1.222 billion (31 December 2012 est.)"
Benin,"$3.06 billion (31 December 2013 est.) 
      
      $2.943 billion (31 December 2012 est.)"
Bhutan,"$1.099 billion (31 December 2013 est.) 
      
      $1.062 billion (31 December 2012 est.)"
Bolivia,"$20.19 billion (31 December 2013 est.) 
      
      $17.4 billion (31 December 2012 est.)"
Bosnia and Herzegovina,"$10.8 billion (31 December 2013 est.) 
      
      $10.21 billion (31 December 2012 est.)"
Botswana,"$8.293 billion (31 December 2013 est.) 
      
      $7.635 billion (31 December 2012 est.)"
Brazil,"$870.8 billion (31 December 2013 est.) 
      
      $863.5 billion (31 December 2012 est.)"
Brunei,"$11.92 billion (31 December 2013 est.) 
      
      $11.41 billion (31 December 2012 est.)"
Bulgaria,"$45.84 billion (31 December 2013 est.) 
      
      $41.53 billion (31 December 2012 est.)"
Burkina Faso,"$4.211 billion (31 December 2013 est.) 
      
      $3.343 billion (31 December 2012 est.)"
Burundi,"$471.1 million (31 December 2013 est.) 
      
      $458.3 million (31 December 2012 est.)"
Cabo Verde,"$1.488 billion (31 December 2013 est.) 
      
      $1.461 billion (31 December 2012 est.)"
Cambodia,"$8.373 billion (31 December 2013 est.) 
      
      $7.1 billion (31 December 2012 est.)"
Cameroon,"$6.195 billion (31 December 2013 est.) 
      
      $5.731 billion (31 December 2012 est.)"
Canada,"$1.539 trillion (31 December 2013 est.) 
      
      $1.488 trillion (31 December 2012 est.)"
Cayman Islands,$5.564 billion (31 December 2008 est.)
Central African Republic,"$376.4 million (31 December 2013 est.) 
      
      $421.6 million (31 December 2012 est.)"
Chad,"$1.804 billion (31 December 2013 est.) 
      
      $1.559 billion (31 December 2012 est.)"
Chile,"$159 billion (31 December 2013 est.) 
      
      $150.5 billion (31 December 2012 est.)"
China,"$18.15 trillion (31 December 2013 est.) 
      
      $15.5 trillion (31 December 2012 est.)"
Colombia,"$163.2 billion (31 December 2013 est.) 
      
      $153.1 billion (31 December 2012 est.)"
Comoros,"$261.6 million (31 December 2013 est.) 
      
      $234.4 million (31 December 2012 est.)"
"Congo, Democratic Republic of the","$3.502 billion (31 December 2013 est.) 
      
      $3.042 billion (31 December 2012 est.)"
"Congo, Republic of the","$5.119 billion (31 December 2013 est.) 
      
      $4.795 billion (31 December 2012 est.)"
Cook Islands,"$148.2 million (31 December 2011 est.) 
      
      $170.9 million (31 December 2010 est.)"
Costa Rica,"$14.57 billion (31 December 2013 est.) 
      
      $14.95 billion (31 December 2012 est.)"
Cote d'Ivoire,"$11.46 billion (31 December 2013 est.) 
      
      $9.877 billion (31 December 2012 est.)"
Croatia,"$49.3 billion (31 December 2013 est.) 
      
      $493.7 billion (31 December 2012 est.)"
Cuba,"$24.63 billion (31 December 2013 est.) 
      
      $24.08 billion (31 December 2012 est.)"
Cyprus,"$46.46 billion (31 December 2013 est.) 
      
      $50.06 billion (31 December 2012 est.)"
Czech Republic,"$154 billion (30 September 2013 est.) 
      
      $146.5 billion (30 September 2012 est.)"
Denmark,"$180.2 billion (31 December 2013 est.) 
      
      $174.3 billion (31 December 2012 est.)"
Djibouti,"$1.256 billion (31 December 2013 est.) 
      
      $1.16 billion (31 December 2012 est.)"
Dominica,"$455.2 million (31 December 2013 est.) 
      
      $421.6 million (31 December 2012 est.)"
Dominican Republic,"$15.54 billion (31 December 2013 est.) 
      
      $14.83 billion (31 December 2012 est.)"
Ecuador,"$27.75 billion (31 December 2013 est.) 
      
      $24.68 billion (31 December 2012 est.)"
Egypt,"$191.2 billion (31 December 2013 est.) 
      
      $183.6 billion (31 December 2012 est.)"
El Salvador,"$10.12 billion (31 December 2013 est.) 
      
      $9.847 billion (31 December 2012 est.)"
Equatorial Guinea,"$3.382 billion (31 December 2013 est.) 
      
      $3.438 billion (31 December 2012 est.)"
Eritrea,"$4.077 billion (31 December 2013 est.) 
      
      $3.11 billion (31 December 2012 est.)"
Estonia,"$13.64 billion (31 December 2013 est.) 
      
      $12.71 billion (31 December 2012 est.)"
Ethiopia,"$15.43 billion (31 December 2013 est.) 
      
      $15.45 billion (31 December 2012 est.)"
European Union,"$12.9 trillion (31 December 2012 est.) 
      
      $12.29 trillion (31 December 2011 est.) 
      
      
        note: this is the quantity of broad money for the euro area, converted into US dollars at the exchange rate for the date indicated; it excludes the stock of broad money carried by non-euro-area members of the European Union"
Fiji,"$2.697 billion (31 December 2013 est.) 
      
      $2.578 billion (31 December 2012 est.)"
Finland,"$183.3 billion (31 December 2013 est.) 
      
      $182.4 billion (31 December 2012 est.)"
France,"$2.299 trillion (31 December 2013 est.) 
      
      $2.273 trillion (31 December 2012 est.)"
Gabon,"$3.973 billion (31 December 2013 est.) 
      
      $3.908 billion (31 December 2012 est.)"
"Gambia, The","$479.8 million (31 December 2013 est.) 
      
      $494.1 million (31 December 2012 est.)"
Gaza Strip,"$2.1 billion (31 December 2013 est.) 
      
      $1.814 billion (31 December 2012 est.)"
Georgia,"$4.72 billion (31 September 2012 est.) 
      
      $4.249 billion (31 December 2011 est.)"
Germany,"$4.551 trillion (31 December 2013 est.) 
      
      $4.342 trillion (31 December 2012 est.)"
Ghana,"$12.59 billion (31 December 2013 est.) 
      
      $12.17 billion (31 December 2012 est.)"
Greece,"$247.4 billion (31 December 2013 est.) 
      
      $250 billion (31 December 2012 est.)"
Grenada,"$697.4 million (31 December 2013 est.) 
      
      $689.7 million (31 December 2012 est.)"
Guatemala,"$23.83 billion (31 December 2013 est.) 
      
      $22.3 billion (31 December 2012 est.)"
Guinea,"$1.881 billion (31 December 2013 est.) 
      
      $1.818 billion (31 December 2012 est.)"
Guinea-Bissau,"$338.1 million (31 December 2013 est.) 
      
      $327.5 million (31 December 2012 est.)"
Guyana,"$1.617 billion (31 December 2013 est.) 
      
      $1.49 billion (31 December 2012 est.)"
Haiti,"$3.509 billion (31 October 2012 est.) 
      
      $3.43 billion (31 December 2011 est.)"
Honduras,"$6.845 billion (31 December 2013 est.) 
      
      $6.801 billion (31 December 2012 est.)"
Hong Kong,"$1.289 trillion (31 December 2013 est.) 
      
      $1.148 trillion (31 December 2012 est.)"
Hungary,"$67.47 billion (31 December 2013 est.) 
      
      $68.7 billion (31 December 2012 est.)"
Iceland,"$7.152 billion (31 December 2012 est.) 
      
      $7.006 billion (31 December 2012 est.)"
India,"$1.376 trillion (31 December 2013 est.) 
      
      $1.396 trillion (31 December 2012 est.)"
Indonesia,"$325 billion (31 December 2013 est.) 
      
      $342 billion (31 December 2012 est.)"
Iran,"$65.02 billion (31 December 2013 est.) 
      
      $104.6 billion (31 December 2012 est.)"
Iraq,"$74.81 billion (31 December 2013 est.) 
      
      $64.74 billion (31 December 2012 est.)"
Ireland,"$238 billion (31 December 2013 est.) 
      
      $238.7 billion (31 December 2012 est.)"
Israel,"$151.2 billion (31 December 2013 est.) 
      
      $136.2 billion (31 December 2012 est.)"
Italy,"$2.15 trillion (31 December 2013 est.) 
      
      $2.134 trillion (31 December 2012 est.)"
Jamaica,"$5.928 billion (31 December 2013 est.) 
      
      $6.239 billion (31 December 2012 est.)"
Japan,"$13.12 trillion (31 December 2011 est.) 
      
      $13.41 trillion (31 December 2010 est.)"
Jordan,"$37.19 billion (31 December 2013 est.) 
      
      $35.18 billion (31 December 2012 est.)"
Kazakhstan,"$70.36 billion (31 December 2012 est.) 
      
      $65.71 billion (31 December 2011 est.)"
Kenya,"$19.37 billion (31 December 2013 est.) 
      
      $17.08 billion (31 December 2012 est.)"
"Korea, South","$1.764 trillion (31 December 2013 est.) 
      
      $1.664 trillion (31 December 2012 est.)"
Kosovo,"$2.773 billion 
      
      $2.637 billion"
Kuwait,"$110.1 billion (31 December 2013 est.) 
      
      $105.9 billion (31 December 2012 est.)"
Kyrgyzstan,"$1.776 billion (31 December 2013 est.) 
      
      $1.634 billion (31 December 2012 est.)"
Laos,"$4.071 billion (31 December 2013 est.) 
      
      $3.673 billion (31 December 2012 est.)"
Latvia,"$12.57 billion (31 December 2013 est.) 
      
      $12.63 billion (31 December 2012 est.)"
Lebanon,"$97.04 billion (31 December 2011 est.) 
      
      $92 billion (31 December 2010 est.)"
Lesotho,"$903.4 million (31 December 2013 est.) 
      
      $840.9 million (31 December 2012 est.)"
Liberia,"$799.5 million (31 December 2013 est.) 
      
      $591.3 million (31 December 2012 est.)"
Libya,"$51.86 billion (31 December 2013 est.) 
      
      $49.28 billion (31 December 2012 est.)"
Lithuania,"$20.59 billion (31 December 2013 est.) 
      
      $20.58 billion (31 December 2012 est.)"
Luxembourg,"$235.8 billion (31 December 2013 est.) 
      
      $238.2 billion"
Macau,"$55.17 billion (31 December 2013 est.) 
      
      $46.87 billion (31 December 2012 est.)"
Macedonia,"$6.286 billion (31 December 2013 est.) 
      
      $5.708 billion (31 December 2012 est.)"
Madagascar,"$3.163 billion (31 December 2013 est.) 
      
      $2.357 billion (31 December 2012 est.)"
Malawi,"$1.494 billion (31 December 2013 est.) 
      
      $1.153 billion (31 December 2012 est.)"
Malaysia,"$439.7 billion (31 December 2013 est.) 
      
      $435.2 billion (31 December 2012 est.)"
Maldives,"$1.298 billion (31 December 2012 est.) 
      
      $1.237 billion (31 December 2011 est.)"
Mali,"$3.942 billion (31 December 2013 est.) 
      
      $3.446 billion (31 December 2012 est.)"
Malta,"$15.44 billion (31 December 2013 est.) 
      
      $13.88 billion (31 December 2012 est.)"
Mauritius,"$11.73 billion (31 December 2013 est.) 
      
      $11.38 billion (31 December 2012 est.)"
Mexico,"$713 billion (31 December 2013 est.) 
      
      $671.8 billion (31 December 2012 est.)"
"Micronesia, Federated States of","$118.4 million (31 December 2011 est.) 
      
      $113.9 million (31 December 2010 est.)"
Moldova,"$4.974 billion (31 December 2013 est.) 
      
      $4.088 billion (31 December 2012 est.)"
Mongolia,"$6.329 billion (31 December 2013 est.) 
      
      $5.472 billion (31 December 2012 est.)"
Montenegro,"$1.982 billion (31 December 2011 est.) 
      
      $2.01 billion (31 December 2010 est.)"
Montserrat,"$89.96 million (31 December 2013 est.) 
      
      $81.79 million (31 December 2012 est.)"
Morocco,"$90.76 billion (31 December 2013 est.) 
      
      $84.52 billion (31 December 2012 est.)"
Mozambique,"$6.856 billion (31 December 2013 est.) 
      
      $6.242 billion (31 December 2012 est.)"
Namibia,"$7.22 billion (31 December 2013 est.) 
      
      $7.228 billion (31 December 2012 est.)"
Nepal,"$11.49 billion (31 December 2013 est.) 
      
      $11.71 billion (31 December 2012 est.)"
Netherlands,"$1.169 trillion (31 December 2013 est.) 
      
      $1.136 trillion (31 December 2012 est.)"
New Zealand,"$91.28 billion (31 December 2013 est.) 
      
      $84.55 billion (31 December 2012 est.)"
Nicaragua,"$4.453 billion (31 December 2013 est.) 
      
      $4.136 billion (31 December 2012 est.)"
