Algeria,"$2.433 billion (31 December 2013 est.) 
      
      $2.133 billion (31 December 2012 est.)"
Angola,"$12.87 billion (31 December 2013 est.) 
      
      $9.877 billion (31 December 2012 est.)"
Argentina,"$34.21 billion (31 December 2013 est.) 
      
      $32.91 billion (31 December 2012 est.)"
Australia,"$440.1 billion (31 December 2013 est.) 
      
      $426 billion (31 December 2012 est.)"
Austria,"$345.2 billion (31 December 2013 est.) 
      
      $331.4 billion (31 December 2012 est.)"
Azerbaijan,"$8.616 billion (31 December 2013 est.) 
      
      $7.516 billion (31 December 2012 est.)"
Bahrain,"$10.86 billion (31 December 2013 est.) 
      
      $9.699 billion (31 December 2012 est.)"
Bangladesh,"$110.1 million (31 December 2013 est.) 
      
      $108.1 million (31 December 2012 est.)"
Belgium,"$1.215 trillion (31 December 2013 est.) 
      
      $1.185 trillion (31 December 2012 est.)"
Bermuda,$NA
Bolivia,"$0 (31 december 2013) 
      
      $0 (31 December 2012)"
Brazil,"$179.6 billion (31 December 2013 est.) 
      
      $177.1 billion (31 December 2012 est.)"
Bulgaria,"$1.939 billion (31 December 2013 est.) 
      
      $1.82 billion (31 December 2012 est.)"
Canada,"$1.047 trillion (31 December 2013 est.) 
      
      $991.6 billion (31 December 2012 est.)"
Cayman Islands,$NA
Chad,$NA
Chile,"$109.2 billion (31 December 2013 est.) 
      
      $91.3 billion (31 December 2012 est.)"
China,"$541 billion (31 December 2013 est.) 
      
      $531.9 billion (31 December 2012 est.)"
Colombia,"$33.7 billion (31 December 2013 est.) 
      
      $31.65 billion (31 December 2012 est.)"
Costa Rica,"$1.681 billion (31 December 2013 est.) 
      
      $1.481 billion (31 December 2012 est.)"
Cote d'Ivoire,$NA
Croatia,"$6.081 billion (31 December 2013 est.) 
      
      $5.581 billion (31 December 2012 est.)"
Cuba,$4.138 billion (2006 est.)
Cyprus,"$12.11 billion (31 December 2013 est.) 
      
      $11.16 billion (31 December 2012 est.)"
Czech Republic,"$16.63 billion (31 December 2013 est.) 
      
      $17.37 billion (31 December 2012 est.)"
Denmark,"$248.3 billion (31 December 2013 est.) 
      
      $241.7 billion (31 December 2012 est.)"
Dominican Republic,"$59 million (31 December 2013 est.) 
      
      $59 million (31 December 2012 est.)"
Ecuador,"$6.33 billion (31 December 2012 est.) 
      
      $6.33 billion (31 December 2011 est.)"
Egypt,"$6.475 billion (31 December 2013 est.) 
      
      $6.285 billion (31 December 2012 est.)"
El Salvador,"$5.7 million (31 December 2013 est.) 
      
      $5.7 million (31 December 2012 est.)"
Estonia,"$7.34 billion (31 December 2013 est.) 
      
      $7.84 billion (31 December 2012 est.)"
Fiji,"$43.03 million (31 December 2013 est.) 
      
      $44.08 million (31 December 2012 est.)"
Finland,"$197.2 billion (31 December 2013 est.) 
      
      $186.7 billion (31 December 2012 est.)"
France,"$1.489 trillion (31 December 2013 est.) 
      
      $1.497 trillion (31 December 2012 est.)"
Georgia,"$1.359 billion (31 December 2013 est.) 
      
      $1.329 billion (31 December 2012 est.)"
Germany,"$1.871 trillion (31 December 2013 est.) 
      
      $1.788 trillion (31 December 2012 est.)"
Ghana,$NA
Greece,"$43.31 billion (31 December 2013 est.) 
      
      $43.46 billion (31 December 2012 est.)"
Guinea,"$145 million (31 December 2013 est.) 
      
      $145 million"
Hong Kong,"$1.392 trillion (31 December 2013 est.) 
      
      $1.155 trillion (31 December 2012 est.)"
Hungary,"$45.95 billion (31 December 2013 est.) 
      
      $41.82 billion (31 December 2012 est.)"
Iceland,"$NA 
      
      $8.8 billion (31 December 2008)"
India,"$120.1 billion (31 December 2013 est.) 
      
      $118.1 billion (31 December 2012 est.)"
Indonesia,"$17.41 billion (31 December 2013 est.) 
      
      $14.81 billion (31 December 2012 est.)"
Iran,"$3.645 billion (31 December 2013 est.) 
      
      $3.345 billion (31 December 2012 est.)"
Ireland,"$792.6 billion (31 December 2013 est.) 
      
      $766 billion (31 December 2012 est.)"
Israel,"$80.85 billion (31 December 2013 est.) 
      
      $74.75 billion (31 December 2012 est.)"
Italy,"$683.6 billion (31 December 2013 est.) 
      
      $653.3 billion (31 December 2012 est.)"
Japan,"$1.179 trillion (31 December 2013 est.) 
      
      $1.054 trillion (31 December 2012 est.)"
Jordan,"$549 million (31 December 2013 est.) 
      
      $509 million (31 December 2012 est.)"
Kazakhstan,"$26.53 billion (31 December 2013 est.) 
      
      $25.53 billion (31 December 2012 est.)"
Kenya,"$335.4 million (31 December 2013 est.) 
      
      $315.4 million (31 December 2012 est.)"
"Korea, South","$223.2 billion (31 December 2013 est.) 
      
      $196.4 billion (31 December 2012 est.)"
Kuwait,"$60.76 billion (31 December 2013 est.) 
      
      $52.59 billion (31 December 2012 est.)"
Kyrgyzstan,"$39.6 million (31 December 2013 est.) 
      
      $39.6 million (31 December 2012 est.)"
Latvia,"$2.212 billion (31 December 2013 est.) 
      
      $1.992 billion (31 December 2012 est.)"
Lebanon,$NA
Liberia,"$NA (31 December 2013 est.) 
      
      $NA (31 December 2012 est.)"
Libya,"$17.82 billion (31 December 2013 est.) 
      
      $17.21 billion (31 December 2012 est.)"
Lithuania,"$3.029 billion (31 December 2013 est.) 
      
      $2.729 billion (31 December 2012 est.)"
Luxembourg,$NA
Macau,"$1.166 billion (2012 est.) 
      
      $667.8 million (2011)"
Macedonia,"$NA 
      
      $564 million (31 December 2009 est.)"
Madagascar,$NA
Malawi,$NA
Malaysia,"$133.5 billion (31 December 2013 est.) 
      
      $120.4 billion (31 December 2012 est.)"
Mali,"$NA (31 December 2013 est.) 
      
      $848.2 million (31 December 2012 est.)"
Malta,"$1.442 billion (31 June 2013 est.) 
      
      $1.471 billion (31 December 2012)"
Mauritius,NA
Mexico,"$141.2 billion (31 December 2013 est.) 
      
      $133 billion (31 December 2012 est.)"
Moldova,"$108.2 million (31 December 2012) 
      
      $88.42 million (31 December 2011)"
Mongolia,"$NA (31 December 2013 est.) 
      
      $44 million (31 December 2012 est.)"
Morocco,"$1.972 billion (31 December 2013 est.) 
      
      $2.423 billion (31 December 2012 est.)"
Namibia,$NA
Nepal,$NA
Netherlands,"$1.034 trillion (31 December 2013 est.) 
      
      $961.4 billion (31 December 2012 est.)"
New Zealand,$59.08 billion (31 December 2009)
Nigeria,"$9.212 billion (31 December 2013 est.) 
      
      $7.444 billion (31 December 2012 est.)"
Norway,"$264.3 billion (31 December 2013 est.) 
      
      $241.3 billion (31 December 2012 est.)"
Oman,$NA
Pakistan,"$1.569 billion (31 December 2013 est.) 
      
      $1.519 billion (31 December 2012 est.)"
Panama,"$3.233 billion (31 December 2013 est.) 
      
      $3.11 billion (31 December 2012 est.)"
Papua New Guinea,$NA
Paraguay,"$213.6 million (31 December 2013 est.) 
      
      $213.6 million (31 December 2012 est.)"
Peru,"$3.165 billion (31 December 2013 est.) 
      
      $3.041 billion (31 December 2012 est.)"
Philippines,"$9.435 billion (31 December 2013 est.) 
      
      $8.435 billion (31 December 2012 est.)"
Poland,"$69.78 billion (31 December 2013 est.) 
      
      $70.28 billion (31 December 2012 est.)"
Portugal,"$71.26 billion (31 December 2013 est.) 
      
      $71.26 billion (31 December 2012 est.)"
Qatar,"$28.86 billion (31 December 2013 est.) 
      
      $26.86 billion (31 December 2012 est.)"
Romania,"$1.455 billion (31 December 2013 est.) 
      
      $1.298 billion (31 December 2012 est.)"
Russia,"$439.2 billion (31 December 2013 est.) 
      
      $387.2 billion (31 December 2012 est.)"
Rwanda,"$12.9 million (31 December 2013 est.) 
      
      $12.9 million (31 December 2012 est.)"
Saudi Arabia,"$26.08 billion (31 December 2013 est.) 
      
      $22.12 billion (31 December 2012 est.)"
Serbia,$NA
Singapore,"$367.8 billion (31 December 2012 est.) 
      
      $355.2 billion (31 December 2011 est.)"
Slovakia,"$11.15 billion (31 December 2013 est.) 
      
      $11.09 billion (31 December 2012 est.)"
Slovenia,"$7.453 billion (31 December 2013 est.) 
      
      $7.436 billion (31 December 2012 est.)"
South Africa,"$87.67 billion (31 December 2013 est.) 
      
      $82.82 billion (31 December 2012 est.)"
Spain,"$714.4 billion (31 December 2013 est.) 
      
      $710.2 billion (31 December 2012 est.)"
Sri Lanka,$NA
Swaziland,$NA
Sweden,"$558.8 billion (31 December 2013 est.) 
      
      $527.8 billion (31 December 2012 est.)"
Switzerland,"$1.432 trillion (31 December 2013 est.) 
      
      $1.381 trillion (31 December 2012 est.)"
Taiwan,"$240.3 billion (31 December 2013 est.) 
      
      $226.1 billion (31 December 2012 est.)"
Tajikistan,"$NA (31 December 2010 est.) 
      
      $16.3 billion (31 December 2009 est.)"
Tanzania,$NA
Thailand,"$65.14 billion (31 December 2013 est.) 
      
      $52.56 billion (31 December 2012 est.)"
Trinidad and Tobago,$3.829 billion (2007)
Tunisia,"$295 million (31 December 2013 est.) 
      
      $285 million (31 December 2012 est.)"
Turkey,"$33.44 billion (31 December 2013 est.) 
      
      $30.94 billion (31 December 2012 est.)"
Uganda,$NA
Ukraine,"$8.604 billion (31 December 2013 est.) 
      
      $8.104 billion (31 December 2012 est.)"
United Arab Emirates,"$61.96 billion (31 December 2013 est.) 
      
      $58.46 billion (31 December 2012 est.)"
United Kingdom,"$1.884 trillion (31 December 2013 est.) 
      
      $1.81 trillion (31 December 2012 est.)"
United States,"$4.854 trillion (31 December 2013 est.) 
      
      $4.453 trillion (31 December 2012 est.)"
Uruguay,"$422 million (31 December 2013 est.) 
      
      $357 million (31 December 2012 est.)"
Uzbekistan,$NA
Vanuatu,"$21.3 million (31 December 2013 est.) 
      
      $22.3 million (31 December 2012 est.)"
Venezuela,"$21.94 billion (31 December 2013 est.) 
      
      $21.25 billion (31 December 2012 est.)"
Vietnam,"$NA (31 December 2009 est.) 
      
      $5.3 billion (31 December 2008)"
World,"$25.2 trillion (31 December 2013 est.) 
      
      $23.64 trillion (31 December 2012 est.)"
Zambia,$NA
Zimbabwe,$NA
