Albania,"$4.226 billion (31 December 2011) 
      
      $3.534 billion (31 December 2010)"
Algeria,"$25.02 billion (31 December 2013 est.) 
      
      $23.26 billion (31 December 2012 est.)"
Angola,"$17.15 billion (31 December 2012 est.) 
      
      $12.15 billion (31 December 2011 est.)"
Argentina,"$115.9 billion (31 December 2013 est.) 
      
      $107.1 billion (31 December 2012 est.)"
Australia,"$661.6 billion (31 December 2013 est.) 
      
      $610.8 billion (31 December 2012 est.)"
Austria,"$269.5 billion (31 December 2013 est.) 
      
      $265.3 billion (31 December 2012 est.)"
Azerbaijan,"$14.35 billion (31 December 2013 est.) 
      
      $12.35 billion (31 December 2012 est.)"
Bahrain,"$17.81 billion (31 December 2013 est.) 
      
      $16.83 billion (31 December 2012 est.)"
Bangladesh,"$7.04 billion (31 December 2013 est.) 
      
      $6.64 billion (31 December 2012 est.)"
Belgium,"$1.195 trillion (31 December 2013 est.) 
      
      $1.159 trillion (31 December 2012 est.)"
Bermuda,$NA
Bhutan,$63.5 million
Bolivia,"$10.56 billion (31 December 2013) 
      
      $8.809 billion (31 December 2012)"
Bosnia and Herzegovina,"$7.721 billion 
      
      $7.58 billion"
Brazil,"$663.3 billion (31 December 2013 est.) 
      
      $604.5 billion (31 December 2012 est.)"
Bulgaria,"$54.21 billion (31 December 2013 est.) 
      
      $52.21 billion (31 December 2012 est.)"
Canada,"$1.038 trillion (31 December 2013 est.) 
      
      $992.2 billion (31 December 2012 est.)"
Cayman Islands,$NA
Chad,"$NA 
      
      $4.5 billion (2006 est.)"
Chile,"$214.8 billion (31 December 2013 est.) 
      
      $NA (31 December 2012 est.)"
China,"$1.344 trillion (31 December 2012 est.) 
      
      $1.232 trillion (31 December 2011 est.)"
Colombia,"$128.1 billion (31 December 2013 est.) 
      
      $111.7 billion (31 December 2012 est.)"
Costa Rica,"$21.7 billion (31 December 2013 est.) 
      
      $18.98 billion (31 December 2012 est.)"
Cote d'Ivoire,$NA
Croatia,"$37.5 billion (31 December 2013 est.) 
      
      $36.08 billion (31 December 2012 est.)"
Cuba,$NA
Cyprus,"$28.53 billion (31 December 2013 est.) 
      
      $26.28 billion (31 December 2012 est.)"
Czech Republic,"$144.2 billion (31 December 2013 est.) 
      
      $136.5 billion (31 December 2012 est.)"
Denmark,"$146 billion (31 December 2013 est.) 
      
      $147.1 billion (31 December 2012 est.)"
Djibouti,"$630.6 million (31 December 2013 est.) 
      
      $510.6 million (31 December 2012 est.)"
Dominican Republic,"$26.76 billion (31 December 2013 est.) 
      
      $24.86 billion (31 December 2012 est.)"
Ecuador,"$17.89 billion (31 December 2013 est.) 
      
      $17.3 billion (31 December 2012 est.)"
Egypt,"$76.76 billion (31 December 2013 est.) 
      
      $75.41 billion (31 December 2012 est.)"
El Salvador,"$8.879 billion (31 December 2013 est.) 
      
      $8.635 billion (31 December 2012 est.)"
Estonia,"$21.73 billion (31 December 2013 est.) 
      
      $20.87 billion (31 December 2012 est.)"
European Union,$NA
Fiji,"$3.17 billion (31 December 2013 est.) 
      
      $2.903 billion (31 December 2012 est.)"
Finland,"$138.7 billion (31 December 2013 est.) 
      
      $134.4 billion (31 December 2012 est.)"
