Afghanistan,"$-819.6 million (31 December 2012 est.) 
      
      $-520.2 million (31 December 2011 est.)"
Albania,"$5.17 billion (31 December  2013 est.) 
      
      $5.233 billion (31 December 2012 est.)"
Algeria,"$-4.337 billion (31 December 2013 est.) 
      
      $-4.363 billion (31 December 2012 est.)"
Angola,"NA% (31 December 2013 est.) 
      
      $20.45 billion (31 December 2012 est.)"
Anguilla,"$498.1 million (31 December 2013 est.) 
      
      $483.3 million (31 December 2012 est.)"
Antigua and Barbuda,"$1.111 billion (31 December 2013 est.) 
      
      $1.111 billion (31 December 2012 est.)"
Argentina,"$157.7 billion (31 December 2013 est.) 
      
      NA% (31 December 2012 est.)"
Armenia,"$4.355 billion (31 December 2012 est.) 
      
      $3.548 billion (31 December 2011 est.)"
Aruba,"$1.594 billion (31 December 2012 est.) 
      
      $1.448 billion (31 December 2011 est.)"
Australia,"$2.222 trillion (31 December 2013 est.) 
      
      $2.255 trillion (31 December 2012 est.)"
Austria,"$544.2 billion (31 December 2013 est.) 
      
      $543 billion (31 December 2012 est.)"
Azerbaijan,"$21.76 billion (31 December 2013 est.) 
      
      $17.01 billion (31 December 2012 est.)"
"Bahamas, The","$9.2 billion (31 December 2013 est.) 
      
      $8.653 billion (31 December 2012 est.)"
Bahrain,"$25.96 billion (31 December 2013 est.) 
      
      $22.19 billion (31 December 2012 est.)"
Bangladesh,"$93.38 billion (31 December 2013 est.) 
      
      $79.32 billion (31 December 2012 est.)"
Barbados,"$5.035 billion (31 December 2013 est.) 
      
      $4.874 billion (31 December 2012 est.)"
Belarus,"$22.68 billion (31 December 2013 est.) 
      
      $19.82 billion (31 December 2012 est.)"
Belgium,"$581.4 billion (31 December 2013 est.) 
      
      $574.8 billion (31 December 2012 est.)"
Belize,"$1.05 billion (31 December 2013 est.) 
      
      $1 billion (31 December 2012 est.)"
Benin,"$1.511 billion (31 December 2013 est.) 
      
      $1.529 billion (31 December 2012 est.)"
Bhutan,"$915 million (31 December 2013 est.) 
      
      $874.4 million (31 December 2012 est.)"
Bolivia,"$12.45 billion (31 December 2013 est.) 
      
      $10.49 billion (31 December 2012 est.)"
Bosnia and Herzegovina,"$11 billion (31 December 2013 est.) 
      
      $10.82 billion (31 December 2012 est.)"
Botswana,"$1.38 billion (31 December 2013 est.) 
      
      $2.111 billion (31 December 2012 est.)"
Brazil,"$2.435 trillion (31 December 2013 est.) 
      
      $2.381 trillion (31 December 2012 est.)"
Brunei,"$2.846 billion (31 December 2013 est.) 
      
      $2.351 billion (31 December 2012 est.)"
Bulgaria,"$37.6 billion (31 December 2013 est.) 
      
      $37.12 billion (31 December 2012 est.)"
Burkina Faso,"$2.711 billion (31 December 2013 est.) 
      
      $2.123 billion (31 December 2012 est.)"
Burma,"$14.43 billion (31 December 2013 est.) 
      
      $13.51 billion (31 December 2012 est.)"
Burundi,"$597.2 million (31 December 2013 est.) 
      
      $572.2 million (31 December 2012 est.)"
Cabo Verde,"$1.523 billion (31 December 2013 est.) 
      
      $1.496 billion (31 December 2012 est.)"
Cambodia,"$5.705 billion (31 December 2013 est.) 
      
      $4.801 billion (31 December 2012 est.)"
