Afghanistan,"$6.121 billion (31 December 2012 est.) 
      
      $5.928 billion (31 December 2011 est.)"
Albania,"$2.791 billion (31 December  2013 est.) 
      
      $2.652 billion (31 December 2012 est.)"
Algeria,"$92.91 billion (31 December 2013 est.) 
      
      $98.36 billion (31 December 2012 est.)"
Angola,"$16.95 billion (31 December 2013 est.) 
      
      $13.31 billion (31 December 2012 est.)"
Anguilla,"$16.89 million (31 December 2013 est.) 
      
      NA% (31 December 2012 est.)"
Antigua and Barbuda,"$213 million (31 December 2013 est.) 
      
      $205.2 million (31 December 2012 est.)"
Argentina,"$70.25 billion (31 December 2013 est.) 
      
      $65.63 billion (31 December 2012 est.)"
Armenia,"$1.418 billion (31 December 2013 est.) 
      
      $1.352 billion (31 December 2012 est.)"
Aruba,"$1.022 billion (31 December 2012 est.) 
      
      $868.5 million (31 December 2011 est.)"
Australia,"$526.5 billion (31 December 2013 est.) 
      
      $534.8 billion (31 December 2012 est.)"
Austria,"$204.5 billion (31 December 2013 est.) 
      
      $201.1 billion (31 December 2012 est.) 
      
      
        note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders"
Azerbaijan,"$17.17 billion (31 December 2013 est.) 
      
      $14.15 billion (31 December 2012 est.)"
"Bahamas, The","$1.435 billion (31 December 2013 est.) 
      
      $1.575 billion (31 December 2012 est.)"
Bahrain,"$7.431 billion (31 December 2013 est.) 
      
      $6.944 billion (31 December 2012 est.)"
Bangladesh,"$17.11 billion (31 December 2013 est.) 
      
      $14.85 billion (31 December 2012 est.)"
Barbados,"$1.749 billion (31 December 2013 est.) 
      
      $1.711 billion (31 December 2012 est.)"
Belarus,"NA% (31 December 2013 est.) 
      
      $4.018 billion (31 December 2012 est.)"
Belgium,"$185.1 billion (31 December 2013 est.) 
      
      $185.7 billion (31 December 2012 est.) 
      
      
        note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders"
Belize,"$573 million (31 December 2013 est.) 
      
      $551.5 million (31 December 2012 est.)"
Benin,"$1.889 billion (31 December 2013 est.) 
      
      $1.755 billion (31 December 2012 est.)"
Bhutan,"$224.9 million (31 December 2013 est.) 
      
      $191.9 million (31 December 2012 est.)"
Bolivia,"$8.429 billion (31 December 2013 est.) 
      
      $7.434 billion (31 December 2012 est.)"
Bosnia and Herzegovina,"$4.493 billion (31 December 2013 est.) 
      
      $4.122 billion (31 December 2012 est.)"
Botswana,"$1.517 billion (31 December 2013 est.) 
      
      $1.358 billion (31 December 2012 est.)"
Brazil,"$157.6 billion (31 December 2013 est.) 
      
      $159.1 billion (31 December 2012 est.)"
Brunei,"$3.472 billion (31 December 2013 est.) 
      
      $3.509 billion (31 December 2012 est.)"
Bulgaria,"$17.55 billion (31 December 2013 est.) 
      
      $15.51 billion (31 December 2012 est.)"
Burkina Faso,"$2.22 billion (31 December 2013 est.) 
      
      $1.845 billion (31 December 2012 est.)"
Burma,"$12.23 billion (31 December 2013 est.) 
      
      $11.54 billion (31 December 2012 est.)"
Burundi,"$339.4 million (31 December 2013 est.) 
      
      $332.5 million (31 December 2012 est.)"
Cabo Verde,"$517.4 million (31 December 2013 est.) 
      
      $490.5 million (31 December 2012 est.)"
Cambodia,"$1.206 billion (31 December 2013 est.) 
      
      $995.1 million (31 December 2012 est.)"
Cameroon,"$3.764 billion (31 December 2013 est.) 
      
      $3.482 billion (31 December 2012 est.)"
Canada,"$699.1 billion (31 December 2013 est.) 
      
      $648.8 billion (31 December 2012 est.)"
Cayman Islands,$334.3 million (31 December 2008)
Central African Republic,"$308.3 million (31 December 2013 est.) 
      
      $337.7 million (31 December 2012 est.)"
Chad,"$1.598 billion (31 December 2013 est.) 
      
      $1.442 billion (31 December 2012 est.)"
Chile,"$41.61 billion (31 December 2013 est.) 
      
      $40.95 billion (31 December 2012 est.)"
China,"$5.532 trillion (31 December 2013 est.) 
      
      $4.911 trillion (31 December 2012 est.)"
Colombia,"$42.28 billion (31 December 2013 est.) 
      
      $41.7 billion (31 December 2012 est.)"
Comoros,"$162.2 million (31 December 2013 est.) 
      
      $151.6 million (31 December 2012 est.)"
"Congo, Democratic Republic of the","$1.06 billion (31 December 2013 est.) 
      
      $986.6 million (31 December 2012 est.)"
"Congo, Republic of the","$4.678 billion (31 December 2013 est.) 
      
      $4.403 billion (31 December 2012 est.)"
Cook Islands,"$38.99 million (31 December 2011 est.) 
      
      $38.99 million (31 December 2011 est.)"
Costa Rica,"$4.633 billion (31 December 2013 est.) 
      
      $4.197 billion (31 December 2012 est.)"
Cote d'Ivoire,"$7.606 billion (31 December 2013 est.) 
      
      $6.552 billion (31 December 2012 est.)"
Croatia,"$10.38 billion (31 January 2014 est.) 
      
      $10.64 billion (31 December 2012 est.)"
Cuba,"$11.21 billion (31 December 2013 est.) 
      
      $10.97 billion (31 December 2012 est.)"
Cyprus,"$14.73 billion (31 December 2011 est.) 
      
      $14.6 billion (31 December 2010 est.) 
      
      
        note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the EMU; individual members of the EMU do not control the quantity of money circulating within their own borders"
Czech Republic,"$124.1 billion (30 September 2013 est.) 
      
      $114.2 billion (30 September 2012 est.)"
Denmark,"$147.6 billion (31 December 2013 est.) 
      
      $150.4 billion (31 December 2012 est.)"
Djibouti,"$850.8 million (31 December 2013 est.) 
      
      $758.9 million (31 December 2012 est.)"
Dominica,"$94.41 million (31 December 2013 est.) 
      
      $84.39 million (31 December 2012 est.)"
Dominican Republic,"$4.943 billion (31 December 2013 est.) 
      
      $4.738 billion (31 December 2012 est.)"
Ecuador,"$8.59 billion (31 December 2013 est.) 
      
      $7.801 billion (31 December 2012 est.)"
Egypt,"$47.8 billion (31 December 2013 est.) 
      
      $45.33 billion (31 December 2012 est.)"
El Salvador,"$2.914 billion (31 December 2013 est.) 
      
      $2.796 billion (31 December 2012 est.)"
Equatorial Guinea,"$3.001 billion (31 December 2013 est.) 
      
      $3.023 billion (31 December 2012 est.)"
Eritrea,"$1.798 billion (31 December 2013 est.) 
      
      $1.396 billion (31 December 2012 est.)"
Estonia,"$9.994 billion (31 December 2013 est.) 
      
      $8.191 billion (31 December 2012 est.) 
      
      
        note: this figure represents the US dollar value of Estonian kroon in circulation prior to Estonia's joining the Economic and Monetary Union (EMU); see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the EMU; individual members of the EMU do not control the quantity of money circulating within their own borders"
Ethiopia,"$9.006 billion (31 December 2013 est.) 
      
      $9.107 billion (31 December 2012 est.)"
European Union,"$6.736 trillion (31 December 2013) 
      
      $6.219 trillion (31 December 2012) 
      
      
        note: this is the quantity of money, M1, for the euro area, converted into US dollars at the exchange rate for the date indicated; it excludes the stock of money carried by non-euro-area members of the European Union"
Fiji,"$1.549 billion (31 December 2013 est.) 
      
      $1.453 billion (31 December 2012 est.)"
Finland,"$130.8 billion (31 December 2013 est.) 
      
      $126.5 billion (31 December 2012 est.) 
      
      
        note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders"
France,"$810.1 billion (31 December 2013 est.) 
      
      $738.8 billion (31 December 2012 est.) 
      
      
        note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders"
Gabon,"$2.497 billion (31 December 2013 est.) 
      
      $2.552 billion (31 December 2012 est.)"
"Gambia, The","$207.1 million (31 December 2013 est.) 
      
      $217.9 million (31 December 2012 est.)"
Georgia,"$2.025 billion (31 December 2013 est.) 
      
      $1.965 billion (31 December 2012 est.)"
Germany,"$2.158 trillion (31 December 2013 est.) 
      
      $2.025 trillion (31 December 2012 est.) 
      
      
        note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders"
Ghana,"$6.256 billion (31 December 2013 est.) 
      
      $6.153 billion (31 December 2012 est.)"
Greece,"$112.1 billion (31 December 2013 est.) 
      
      $116.2 billion (31 December 2012 est.) 
      
      
        note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders"
Grenada,"$131.7 million (31 December 2013 est.) 
      
      $123.3 million (31 December 2012 est.)"
Guatemala,"$8.461 billion (31 December 2013 est.) 
      
      $7.975 billion (31 December 2012 est.)"
Guinea,"$1.533 billion (31 December 2013 est.) 
      
      $1.492 billion (31 December 2012 est.)"
Guinea-Bissau,"$242.8 million (31 December 2013 est.) 
      
      $264.9 million (31 December 2012 est.)"
Guyana,"$601.8 million (31 December 2013 est.) 
      
      $550.4 million (31 December 2012 est.)"
Haiti,"$1.151 billion (31 December 2013 est.) 
      
      $1.107 billion (31 December 2012 est.)"
Honduras,"$1.781 billion (31 December 2013 est.) 
      
      $1.913 billion (31 December 2012 est.)"
Hong Kong,"$193.7 billion (31 December 2013 est.) 
      
      $176.6 billion (31 December 2012 est.)"
Hungary,"$34.75 billion (31 December 2013 est.) 
      
      $33.03 billion (31 December 2012 est.)"
Iceland,"$3.876 billion (31 December 2013 est.) 
      
      $3.562 billion (31 December 2012 est.)"
India,"$303.1 billion (31 December 2013 est.) 
      
      $317.4 billion (31 December 2012 est.)"
Indonesia,"$82.99 billion (31 December 2013 est.) 
      
      $87.04 billion (31 December 2012 est.)"
Iran,"$26.3 billion (31 December 2013 est.) 
      
      $42.91 billion (31 December 2012 est.)"
Iraq,"$62.33 billion (31 December 2013 est.) 
      
      $54.68 billion (31 December 2012 est.)"
Ireland,"$121.3 billion (31 December 2013 est.) 
      
      $122.3 billion (31 December 2012 est.) 
      
      
        note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders"
Israel,"$37.09 billion (31 December 2013 est.) 
      
      $32.48 billion (31 December 2012 est.)"
Italy,"$1.138 trillion (31 December 2013 est.) 
      
      $1.162 trillion (31 December 2012 est.) 
      
      
        note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders"
Jamaica,"$1.671 billion (31 December 2013 est.) 
      
      $1.723 billion (31 December 2012 est.)"
Japan,"$5.604 trillion (31 December 2013 est.) 
      
      $6.176 trillion (31 December 2012 est.)"
Jordan,"$10.68 billion (31 December 2013 est.) 
      
      $10.17 billion (31 December 2012 est.)"
Kazakhstan,"$24.51 billion (31 December 2013 est.) 
      
      $25.82 billion (31 December 2012 est.)"
Kenya,"$9.198 billion (31 December 2013 est.) 
      
      $8.264 billion (31 December 2012 est.)"
"Korea, South","$465.2 billion (31 December 2013 est.) 
      
      $426 billion (31 December 2012 est.)"
Kuwait,"$31.68 billion (31 December 2013 est.) 
      
      $27.55 billion (31 December 2012 est.)"
Kyrgyzstan,"$1.479 billion (31 December 2013 est.) 
      
      $1.372 billion (31 December 2012 est.)"
Laos,"$1.389 billion (31 December 2013 est.) 
      
      $1.154 billion (31 December 2012 est.)"
