Afghanistan,11.3% of GDP (2012 est.)
Albania,24% of GDP (2013 est.)
Algeria,37.3% of GDP (2013 est.)
American Samoa,33.6% of GDP (2007)
Andorra,21.4% of GDP (2012)
Angola,42.5% of GDP (2013 est.)
Anguilla,39.6% of GDP (2012 est.)
Antigua and Barbuda,19.6% of GDP (2012 est.)
Argentina,26.8% of GDP (2013 est.)
Armenia,25.6% of GDP (2013 est.)
Aruba,24.8% of GDP (2013 est.)
Australia,33.2% of GDP (2013 est.)
Austria,47.9% of GDP (2013 est.)
Azerbaijan,36.3% of GDP (2013 est.)
"Bahamas, The",16.8% of GDP (2012 est.)
Bahrain,28.7% of GDP (2013 est.)
Bangladesh,12.3% of GDP (2013 est.)
Barbados,27% of GDP (2013 est.)
Belarus,38.5% of GDP (2013 est.)
Belgium,47.7% of GDP (2013 est.)
Belize,25.1% of GDP (2013 est.)
Benin,20.5% of GDP (2013 est.)
Bermuda,17.4% of GDP (FY11/12 est.)
Bhutan,27.6% of GDP (2013 est.)
Bolivia,48.8% of GDP (2013 est.)
Bosnia and Herzegovina,40.8% of GDP (2013 est.)
Botswana,32.4% of GDP (2013 est.)
Brazil,38.9% of GDP (2013 est.)
British Virgin Islands,27.4% of GDP (2013 est.)
Brunei,42.2% of GDP (2013 est.)
Bulgaria,35% of GDP (2013 est.)
Burkina Faso,23.4% of GDP (2013 est.)
Burma,4.1% of GDP (2013 est.)
Burundi,28.7% of GDP (2013 est.)
Cabo Verde,21.2% of GDP (2013 est.)
Cambodia,17.2% of GDP (2013 est.)
Cameroon,18.3% of GDP (2013 est.)
Canada,37.7% of GDP (2013 est.)
Cayman Islands,31.1% of GDP (2013 est.)
Central African Republic,9.1% of GDP (2013 est.)
Chad,20.3% of GDP (2013 est.)
Chile,20.8% of GDP (2013 est.)
China,19.4% of GDP (2013 est.)
Colombia,29.1% of GDP (2012 est.)
Comoros,25.8% of GDP (2013 est.)
"Congo, Democratic Republic of the",31.3% of GDP (2013 est.)
"Congo, Republic of the",46.4% of GDP (2013 est.)
Cook Islands,38.7% of GDP (FY05/06)
Costa Rica,14.8% of GDP (2013 est.)
Cote d'Ivoire,20.2% of GDP (2013 est.)
Croatia,36.9% of GDP (2013 est.)
Cuba,65.9% of GDP (2013 est.)
Curacao,16.6% of GDP (2012 est.)
Cyprus,40.4% of GDP (2013 est.)
Czech Republic,28.6% of GDP (2013 est.)
Denmark,55.9% of GDP (2013 est.)
Djibouti,35.1% of GDP (2013 est.)
Dominica,29.9% of GDP (2013 est.)
Dominican Republic,15.2% of GDP (2013 est.)
Ecuador,40.5% of GDP (2013 est.)
Egypt,17.4% of GDP (2013 est.)
El Salvador,19% of GDP (2013 est.)
Equatorial Guinea,40% of GDP (2013 est.)
Eritrea,28.2% of GDP (2013 est.)
Estonia,35% of GDP (2013 est.)
Ethiopia,14.2% of GDP (2013 est.)
Falkland Islands (Islas Malvinas),40.8% of GDP (FY09/10)
Faroe Islands,44.2% of GDP (2010 est.)
Fiji,25.7% of GDP (2013 est.)
Finland,53.7% of GDP (2013 est.)
France,51.5% of GDP (2013 est.)
French Polynesia,15.3% of GDP (1999)
Gabon,25.2% of GDP (2013 est.)
"Gambia, The",25.6% of GDP (2013 est.)
Georgia,30.3% of GDP (2013 est.)
Germany,45.3% of GDP (2013 est.)
Ghana,23.2% of GDP (2013 est.)
