Afghanistan,"13,500 (2012)"
Albania,"312,000 (2012)"
Algeria,3.2 million (2012)
American Samoa,"10,000 (2012)"
Andorra,"39,000 (2012)"
Angola,"303,000 (2012)"
Anguilla,"6,000 (2012)"
Antigua and Barbuda,"35,000 (2012)"
Argentina,10 million (2012)
Armenia,"584,000 (2012)"
Aruba,"43,000 (2012)"
Australia,10.47 million (2012)
Austria,3.342 million (2012)
Azerbaijan,1.734 million (2012)
"Bahamas, The","137,000 (2012)"
Bahrain,"290,000 (2012)"
Bangladesh,"962,000 (2012)"
Barbados,"144,000 (2012)"
Belarus,4.407 million (2012)
Belgium,4.631 million (2012)
Belize,"25,400 (2012)"
Benin,"156,700 (2012)"
Bermuda,"69,000 (2012)"
Bhutan,"27,000 (2012)"
Bolivia,"880,600 (2012)"
Bosnia and Herzegovina,"878,000 (2012)"
Botswana,"160,500 (2012)"
Brazil,44.3 million (2012)
British Virgin Islands,"12,268 (2012)"
Brunei,"70,933 (2012)"
Bulgaria,2.253 million (2012)
Burkina Faso,"141,400 (2012)"
Burma,"556,000 (2012)"
Burundi,"17,400 (2012)"
Cabo Verde,"70,200 (2012)"
Cambodia,"584,000 (2012)"
Cameroon,"737,400 (2012)"
Canada,18.01 million (2012)
Cayman Islands,"37,400 (2012)"
Central African Republic,"5,600 (2012)"
Chad,"29,900 (2012)"
Chile,3.276 million (2012)
China,278.86 million (2012)
Colombia,6.291 million (2012)
Comoros,"24,000 (2012)"
"Congo, Democratic Republic of the","58,200 (2012)"
"Congo, Republic of the","14,900 (2012)"
Cook Islands,"7,200 (2009)"
Costa Rica,1.018 million (2012)
Cote d'Ivoire,"268,000 (2012)"
Croatia,1.64 million (2012)
Cuba,1.217 million (2012)
Cyprus,"373,200 (2012)"
Czech Republic,2.1 million (2012)
Denmark,2.431 million (2012)
Djibouti,"18,000 (2012)"
Dominica,"14,600 (2012)"
Dominican Republic,1.065 million (2012)
Ecuador,2.31 million (2012)
Egypt,8.557 million (2012)
El Salvador,1.06 million (2012)
Equatorial Guinea,"14,900 (2012)"
Eritrea,"60,000 (2012)"
Estonia,"448,200 (2012)"
Ethiopia,"797,500 (2012)"
European Union,226 million (2011)
Falkland Islands (Islas Malvinas),"1,980 (2012)"
Faroe Islands,"24,000 (2012)"
Fiji,"88,400 (2012)"
Finland,"890,000 (2012)"
France,39.29 million (2012)
French Polynesia,"55,000 (2012)"
Gabon,"17,000 (2012)"
"Gambia, The","64,200 (2012)"
Gaza Strip,"406,000 (includes West Bank) (2012)"
Georgia,1.276 million (2012)
Germany,50.7 million (2012)
Ghana,"285,000 (2012)"
Gibraltar,"23,100 (2012)"
Greece,5.461 million (2012)
Greenland,"18,900 (2012)"
Grenada,"28,500 (2012)"
