Afghanistan,"general assessment: limited fixed-line telephone service; an increasing number of Afghans utilize mobile-cellular phone networks 
      
      
        domestic: aided by the presence of multiple providers, mobile-cellular telephone service continues to improve rapidly; the Afghan Ministry of Communications and Information claims that more than 90 percent of the population live in areas with access to mobile-cellular services 
      
      
        international: country code - 93; multiple VSAT's provide international and domestic voice and data connectivity (2012)"
Albania,"general assessment: despite new investment in fixed lines, teledensity remains low with roughly 10 fixed lines per 100 people; mobile-cellular telephone use is widespread and generally effective 
      
      
        domestic: offsetting the shortage of fixed line capacity, mobile-cellular phone service has been available since 1996; by 2011 multiple companies were providing mobile services and mobile teledensity had reached 100 per 100 persons; Internet broadband services initiated in 2005 but growth has been slow; Internet cafes are popular in Tirana and have started to spread outside the capital 
      
      
        international: country code - 355; submarine cable provides connectivity to Italy, Croatia, and Greece; the Trans-Balkan Line, a combination submarine cable and land fiber-optic system, provides additional connectivity to Bulgaria, Macedonia, and Turkey; international traffic carried by fiber-optic cable and, when necessary, by microwave radio relay from the Tirana exchange to Italy and Greece (2011)"
Algeria,"general assessment: privatization of Algeria's telecommunications sector began in 2000; three mobile cellular licenses have been issued and, in 2005, a consortium led by Egypt's Orascom Telecom won a 15-year license to build and operate a fixed-line network in Algeria; the license will allow Orascom to develop high-speed data and other specialized services and contribute to meeting the large unfulfilled demand for basic residential telephony; Internet broadband services began in 2003 
      
      
        domestic: a limited network of fixed lines with a teledensity of less than 10 telephones per 100 persons has been offset by the rapid increase in mobile-cellular subscribership; in 2011, mobile-cellular teledensity was roughly 100 telephones per 100 persons 
      
      
        international: country code - 213; landing point for the SEA-ME-WE-4 fiber-optic submarine cable system that provides links to Europe, the Middle East, and Asia; microwave radio relay to Italy, France, Spain, Morocco, and Tunisia; coaxial cable to Morocco and Tunisia; participant in Medarabtel; satellite earth stations - 51 (Intelsat, Intersputnik, and Arabsat) (2011)"
American Samoa,"general assessment: good telex, telegraph, facsimile, and cellular telephone services 
      
      
        domestic: domestic satellite system with 1 Comsat earth station 
      
      
        international: country code - 1-684; satellite earth station - 1 (Intelsat-Pacific Ocean)"
Andorra,"general assessment: modern automatic telephone system 
      
      
        domestic: modern system with microwave radio relay connections between exchanges 
      
      
        international: country code - 376; landline circuits to France and Spain (2012)"
Angola,"general assessment: limited system; state-owned telecom had monopoly for fixed-lines until 2005; demand outstripped capacity, prices were high, and services poor; Telecom Namibia, through an Angolan company, became the first private licensed operator in Angola's fixed-line telephone network; by 2010, the number of fixed-line providers had expanded to 5; Angola Telecom established mobile-cellular service in Luanda in 1993 and the network has been extended to larger towns; a privately owned, mobile-cellular service provider began operations in 2001 
      
      
        domestic: only about two fixed-lines per 100 persons; mobile-cellular teledensity about 50 telephones per 100 persons in 2011 
      
      
        international: country code - 244; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 29 (2009)"
Anguilla,"general assessment: modern internal telephone system 
      
      
        domestic: fixed-line teledensity is roughly 40 per 100 persons; mobile-cellular teledensity is roughly 170 per 100 persons 
      
      
        international: country code - 1-264; landing point for the East Caribbean Fiber System submarine cable with links to 13 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; microwave radio relay to island of Saint Martin/Sint Maarten (2011)"
Antarctica,"general assessment: local systems at some research stations 
      
      
        domestic: commercial cellular networks operating in a small number of locations 
      
      
        international: country code - none allocated; via satellite (including mobile Inmarsat and Iridium systems) to and from all research stations, ships, aircraft, and most field parties (2007)"
Antigua and Barbuda,"general assessment: good automatic telephone system 
      
      
        domestic: fixed-line teledensity roughly 40 per 100 persons; mobile-cellular teledensity is some 200 per 100 persons 
      
      
        international: country code - 1-268; landing points for the East Caribbean Fiber System (ECFS) and the Global Caribbean Network (GCN) submarine cable systems with links to other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; satellite earth stations - 2; tropospheric scatter to Saba (Netherlands) and Guadeloupe (France) (2011)"
Argentina,"general assessment: in 1998 Argentina opened its telecommunications market to competition and foreign investment encouraging the growth of modern telecommunications technology; fiber-optic cable trunk lines are being installed between all major cities; major networks are entirely digital and the availability of telephone service is improving 
      
      
        domestic: microwave radio relay, fiber-optic cable, and a domestic satellite system with 40 earth stations serve the trunk network; fixed-line teledensity is increasing gradually and mobile-cellular subscribership is increasing rapidly; broadband Internet services are gaining ground 
      
      
        international: country code - 54; landing point for the Atlantis-2, UNISUR, South America-1, and South American Crossing/Latin American Nautilus submarine cable systems that provide links to Europe, Africa, South and Central America, and US; satellite earth stations - 112; 2 international gateways near Buenos Aires (2011)"
