Afghanistan,5.43 children born/woman (2014 est.)
Albania,1.5 children born/woman (2014 est.)
Algeria,2.78 children born/woman (2014 est.)
American Samoa,2.98 children born/woman (2014 est.)
Andorra,1.38 children born/woman (2014 est.)
Angola,5.43 children born/woman (2014 est.)
Anguilla,1.75 children born/woman (2014 est.)
Antigua and Barbuda,2.03 children born/woman (2014 est.)
Argentina,2.25 children born/woman (2014 est.)
Armenia,1.64 children born/woman (2014 est.)
Aruba,1.84 children born/woman (2014 est.)
Australia,1.77 children born/woman (2014 est.)
Austria,1.43 children born/woman (2014 est.)
Azerbaijan,1.91 children born/woman (2014 est.)
"Bahamas, The",1.97 children born/woman (2014 est.)
Bahrain,1.81 children born/woman (2014 est.)
Bangladesh,2.45 children born/woman (2014 est.)
Barbados,1.68 children born/woman (2014 est.)
Belarus,1.47 children born/woman (2014 est.)
Belgium,1.65 children born/woman (2014 est.)
Belize,3.02 children born/woman (2014 est.)
Benin,5.04 children born/woman (2014 est.)
Bermuda,1.95 children born/woman (2014 est.)
Bhutan,2.02 children born/woman (2014 est.)
Bolivia,2.8 children born/woman (2014 est.)
Bosnia and Herzegovina,1.26 children born/woman (2014 est.)
Botswana,2.37 children born/woman (2014 est.)
Brazil,1.79 children born/woman (2014 est.)
British Virgin Islands,1.25 children born/woman (2014 est.)
Brunei,1.82 children born/woman (2014 est.)
Bulgaria,1.44 children born/woman (2014 est.)
Burkina Faso,5.93 children born/woman (2014 est.)
Burma,2.18 children born/woman (2014 est.)
Burundi,6.14 children born/woman (2014 est.)
Cabo Verde,2.34 children born/woman (2014 est.)
Cambodia,2.66 children born/woman (2014 est.)
Cameroon,4.82 children born/woman (2014 est.)
Canada,1.59 children born/woman (2014 est.)
Cayman Islands,1.86 children born/woman (2014 est.)
Central African Republic,4.46 children born/woman (2014 est.)
Chad,4.68 children born/woman (2014 est.)
Chile,1.84 children born/woman (2014 est.)
China,1.55 children born/woman (2014 est.)
Christmas Island,NA (2014 est.)
Cocos (Keeling) Islands,NA (2014 est.)
Colombia,2.07 children born/woman (2014 est.)
Comoros,3.76 children born/woman (2014 est.)
"Congo, Democratic Republic of the",4.8 children born/woman (2014 est.)
"Congo, Republic of the",4.73 children born/woman (2014 est.)
Cook Islands,2.27 children born/woman (2014 est.)
Costa Rica,1.91 children born/woman (2014 est.)
Cote d'Ivoire,3.63 children born/woman (2014 est.)
Croatia,1.45 children born/woman (2014 est.)
Cuba,1.46 children born/woman (2014 est.)
Curacao,2.09 children born/woman (2013 est.)
Cyprus,1.46 children born/woman (2014 est.)
Czech Republic,1.43 children born/woman (2014 est.)
Denmark,1.73 children born/woman (2014 est.)
Djibouti,2.47 children born/woman (2014 est.)
Dominica,2.05 children born/woman (2014 est.)
Dominican Republic,2.36 children born/woman (2014 est.)
Ecuador,2.29 children born/woman (2014 est.)
Egypt,2.87 children born/woman (2014 est.)
El Salvador,1.95 children born/woman (2014 est.)
Equatorial Guinea,4.66 children born/woman (2014 est.)
Eritrea,4.14 children born/woman (2014 est.)
Estonia,1.46 children born/woman (2014 est.)
Ethiopia,5.23 children born/woman (2014 est.)
European Union,1.60 children born/woman (2014 est.)
Falkland Islands (Islas Malvinas),NA
Faroe Islands,2.38 children born/woman (2014 est.)
Fiji,2.51 children born/woman (2014 est.)
Finland,1.73 children born/woman (2014 est.)
France,2.08 children born/woman (2014 est.)
French Polynesia,1.95 children born/woman (2014 est.)
Gabon,4.49 children born/woman (2014 est.)
"Gambia, The",3.85 children born/woman (2014 est.)
Gaza Strip,4.24 children born/woman (2014 est.)
Georgia,1.77 children born/woman (2014 est.)
Germany,1.43 children born/woman (2014 est.)
Ghana,4.09 children born/woman (2014 est.)
Gibraltar,1.92 children born/woman (2014 est.)
Greece,1.41 children born/woman (2014 est.)
Greenland,2.06 children born/woman (2014 est.)
Grenada,2.09 children born/woman (2014 est.)
Guam,2.38 children born/woman (2014 est.)
Guatemala,2.99 children born/woman (2014 est.)
Guernsey,1.55 children born/woman (2014 est.)
Guinea,4.93 children born/woman (2014 est.)
Guinea-Bissau,4.3 children born/woman (2014 est.)
Guyana,2.14 children born/woman (2014 est.)
Haiti,2.79 children born/woman (2014 est.)
Honduras,2.86 children born/woman (2014 est.)
Hong Kong,1.17 children born/woman (2014 est.)
Hungary,1.42 children born/woman (2014 est.)
Iceland,1.88 children born/woman (2014 est.)
India,2.51 children born/woman (2014 est.)
Indonesia,2.18 children born/woman (2014 est.)
Iran,1.85 children born/woman (2014 est.)
Iraq,3.41 children born/woman (2014 est.)
Ireland,2 children born/woman (2014 est.)
Isle of Man,1.94 children born/woman (2014 est.)
Israel,2.62 children born/woman (2014 est.)
Italy,1.42 children born/woman (2014 est.)
Jamaica,2.05 children born/woman (2014 est.)
Japan,1.4 children born/woman (2014 est.)
Jersey,1.66 children born/woman (2014 est.)
Jordan,3.16 children born/woman (2014 est.)
Kazakhstan,2.34 children born/woman (2014 est.)
Kenya,3.54 children born/woman (2014 est.)
Kiribati,2.56 children born/woman (2014 est.)
"Korea, North",1.98 children born/woman (2014 est.)
"Korea, South",1.25 children born/woman (2014 est.)
Kuwait,2.53 children born/woman (2014 est.)
Kyrgyzstan,2.68 children born/woman (2014 est.)
Laos,2.9 children born/woman (2014 est.)
Latvia,1.35 children born/woman (2014 est.)
Lebanon,1.74 children born/woman (2014 est.)
Lesotho,2.78 children born/woman (2014 est.)
Liberia,4.81 children born/woman (2014 est.)
Libya,2.07 children born/woman (2014 est.)
Liechtenstein,1.69 children born/woman (2014 est.)
Lithuania,1.29 children born/woman (2014 est.)
Luxembourg,1.77 children born/woman (2014 est.)
Macau,0.93 children born/woman (2014 est.)
Macedonia,1.59 children born/woman (2014 est.)
Madagascar,4.28 children born/woman (2014 est.)
Malawi,5.66 children born/woman (2014 est.)
Malaysia,2.58 children born/woman (2014 est.)
Maldives,1.76 children born/woman (2014 est.)
Mali,6.16 children born/woman (2014 est.)
Malta,1.54 children born/woman (2014 est.)
Marshall Islands,3.22 children born/woman (2014 est.)
Mauritania,4.07 children born/woman (2014 est.)
Mauritius,1.77 children born/woman (2014 est.)
Mexico,2.29 children born/woman (2014 est.)
"Micronesia, Federated States of",2.55 children born/woman (2014 est.)
Moldova,1.56 children born/woman (2014 est.)
Monaco,1.52 children born/woman (2014 est.)
Mongolia,2.22 children born/woman (2014 est.)
Montserrat,1.29 children born/woman (2014 est.)
Morocco,2.15 children born/woman (2014 est.)
Mozambique,5.27 children born/woman (2014 est.)
Namibia,2.25 children born/woman (2014 est.)
Nauru,2.93 children born/woman (2014 est.)
Nepal,2.3 children born/woman (2014 est.)
Netherlands,1.78 children born/woman (2014 est.)
New Caledonia,1.99 children born/woman (2014 est.)
New Zealand,2.05 children born/woman (2014 est.)
Nicaragua,1.99 children born/woman (2014 est.)
Niger,6.89 children born/woman (2014 est.)
Nigeria,5.25 children born/woman (2014 est.)
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,2.01 children born/woman (2014 est.)
Norway,1.86 children born/woman (2014 est.)
Oman,2.86 children born/woman (2014 est.)
Pakistan,2.86 children born/woman (2014 est.)
Palau,1.71 children born/woman (2014 est.)
Panama,2.38 children born/woman (2014 est.)
Papua New Guinea,3.24 children born/woman (2014 est.)
Paraguay,1.96 children born/woman (2014 est.)
Peru,2.22 children born/woman (2014 est.)
Philippines,3.06 children born/woman (2014 est.)
Pitcairn Islands,NA
Poland,1.33 children born/woman (2014 est.)
Portugal,1.52 children born/woman (2014 est.)
Puerto Rico,1.64 children born/woman (2014 est.)
Qatar,1.92 children born/woman (2014 est.)
Romania,1.32 children born/woman (2014 est.)
Russia,1.61 children born/woman (2014 est.)
Rwanda,4.62 children born/woman (2014 est.)
"Saint Helena, Ascension, and Tristan da Cunha",1.58 children born/woman (2014 est.)
Saint Kitts and Nevis,1.78 children born/woman (2014 est.)
Saint Lucia,1.77 children born/woman (2014 est.)
Saint Pierre and Miquelon,1.56 children born/woman (2014 est.)
Saint Vincent and the Grenadines,1.84 children born/woman (2014 est.)
Samoa,2.94 children born/woman (2014 est.)
San Marino,1.49 children born/woman (2014 est.)
Sao Tome and Principe,4.67 children born/woman (2014 est.)
Saudi Arabia,2.17 children born/woman (2014 est.)
Senegal,4.52 children born/woman (2014 est.)
Serbia,1.42 children born/woman (2014 est.)
Seychelles,1.88 children born/woman (2014 est.)
Sierra Leone,4.83 children born/woman (2014 est.)
Singapore,0.8 children born/woman (2014 est.)
Sint Maarten,2.09 children born/woman (2013 est.)
Slovakia,1.39 children born/woman (2014 est.)
Slovenia,1.33 children born/woman (2014 est.)
Solomon Islands,3.36 children born/woman (2014 est.)
Somalia,6.08 children born/woman (2014 est.)
South Africa,2.23 children born/woman (2014 est.)
South Sudan,5.43 children born/woman (2014 est.)
Spain,1.48 children born/woman (2014 est.)
Sri Lanka,2.13 children born/woman (2014 est.)
Sudan,3.92 children born/woman (2014 est.)
Suriname,2.01 children born/woman (2014 est.)
Svalbard,NA
Swaziland,2.88 children born/woman (2014 est.)
Sweden,1.88 children born/woman (2014 est.)
Switzerland,1.54 children born/woman (2014 est.)
Syria,2.68 children born/woman (2014 est.)
Taiwan,1.11 children born/woman (2014 est.)
Tajikistan,2.76 children born/woman (2014 est.)
Tanzania,4.95 children born/woman (2014 est.)
Thailand,1.5 children born/woman (2014 est.)
Timor-Leste,5.11 children born/woman (2014 est.)
Togo,4.53 children born/woman (2014 est.)
Tokelau,NA
Tonga,3.36 children born/woman (2014 est.)
Trinidad and Tobago,1.71 children born/woman (2014 est.)
Tunisia,2 children born/woman (2014 est.)
Turkey,2.08 children born/woman (2014 est.)
Turkmenistan,2.1 children born/woman (2014 est.)
Turks and Caicos Islands,1.7 children born/woman (2014 est.)
Tuvalu,3.03 children born/woman (2014 est.)
Uganda,5.97 children born/woman (2014 est.)
Ukraine,1.3 children born/woman (2014 est.)
United Arab Emirates,2.36 children born/woman (2014 est.)
United Kingdom,1.9 children born/woman (2014 est.)
United States,2.01 children born/woman (2014 est.)
Uruguay,1.84 children born/woman (2014 est.)
Uzbekistan,1.8 children born/woman (2014 est.)
Vanuatu,3.36 children born/woman (2014 est.)
Venezuela,2.35 children born/woman (2014 est.)
Vietnam,1.85 children born/woman (2014 est.)
Virgin Islands,1.75 children born/woman (2014 est.)
Wallis and Futuna,1.76 children born/woman (2014 est.)
West Bank,2.83 children born/woman (2014 est.)
Western Sahara,4.07 children born/woman (2014 est.)
World,2.43 children born/woman (2014 est.)
Yemen,4.09 children born/woman (2014 est.)
Zambia,5.76 children born/woman (2014 est.)
Zimbabwe,3.56 children born/woman (2014 est.)
