Afghanistan,65.33 cu km (2011)
Albania,41.7 cu km (2011)
Algeria,11.67 cu km (2011)
Angola,148 cu km (2011)
Antigua and Barbuda,0.05 cu km (2011)
Argentina,814 cu km (2011)
Armenia,7.77 cu km (2011)
Australia,492 cu km (2011)
Austria,77.7 cu km (2011)
Azerbaijan,34.68 cu km (2011)
"Bahamas, The",0.02 cu km (2011)
Bahrain,0.12 cu km (2011)
Bangladesh,"1,227 cu km (2011)"
Barbados,0.08 cu km (2011)
Belarus,58 cu km (2011)
Belgium,18.3 cu km (2011)
Belize,18.55 cu km (2011)
Benin,26.39 cu km (2011)
Bhutan,78 cu km (2011)
Bolivia,622.5 cu km (2011)
Bosnia and Herzegovina,37.5 cu km (2011)
Botswana,12.24 cu km (2011)
Brazil,"8,233 cu km (2011)"
Brunei,8.5 cu km (2011)
Bulgaria,21.3 cu km (2011)
Burkina Faso,12.5 cu km (2011)
Burma,"1,168 cu km (2011)"
Burundi,12.54 cu km (2011)
Cabo Verde,0.3 cu km (2011)
Cambodia,476.1 cu km (2011)
Cameroon,285.5 cu km (2011)
Canada,"2,902 cu km (2011)"
Central African Republic,144.4 cu km (2011)
Chad,43 cu km (2011)
Chile,922 cu km (2011)
China,"2,840 cu km (2011)"
Colombia,"2,132 cu km (2011)"
Comoros,1.2 cu km (2011)
"Congo, Democratic Republic of the","1,283 cu km (2011)"
"Congo, Republic of the",832 cu km (2011)
Costa Rica,112.4 cu km (2011)
Cote d'Ivoire,81.14 cu km (2011)
Croatia,105.5 cu km (2011)
Cuba,38.12 cu km (2011)
Curacao,NA
Cyprus,0.78 cu km (2011)
Czech Republic,13.15 cu km (2011)
Denmark,6 cu km (2011)
Djibouti,0.3 cu km (2011)
Dominica,NA
Dominican Republic,21 cu km (2011)
Ecuador,424.4 cu km (2011)
Egypt,57.3 cu km (2011)
El Salvador,25.23 cu km (2011)
Equatorial Guinea,26 cu km (2011)
Eritrea,6.3 cu km (2011)
Estonia,12.81 cu km (2011)
Ethiopia,122 cu km (2011)
European Union,"2,057.76 cu km (2011)"
Fiji,28.55 cu km (2011)
Finland,110 cu km (2011)
France,211 cu km (2011)
Gabon,164 cu km (2011)
"Gambia, The",8 cu km (2011)
Georgia,63.33 cu km (2011)
Germany,154 cu km (2011)
Ghana,53.2 cu km (2011)
Greece,74.25 cu km (2011)
Grenada,NA
Guatemala,111.3 cu km (2011)
Guinea,226 cu km (2011)
Guinea-Bissau,31 cu km (2011)
Guyana,241 cu km (2011)
Haiti,14.03 cu km (2011)
Honduras,95.93 cu km (2011)
Hungary,104 cu km (2011)
Iceland,170 cu km (2011)
India,"1,911 cu km (2011)"
Indonesia,"2,019 cu km (2011)"
Iran,137 cu km (2011)
Iraq,89.86 cu km (2011)
Ireland,52 cu km (2011)
Israel,1.78 cu km (2011)
Italy,191.3 cu km (2011)
Jamaica,9.4 cu km (2011)
Japan,430 cu km (2011)
Jordan,0.94 cu km (2011)
Kazakhstan,107.5 cu km (2011)
Kenya,30.7 cu km (2011)
"Korea, North",77.15 cu km (2011)
"Korea, South",69.7 cu km (2011)
Kuwait,0.02 cu km (2011)
Kyrgyzstan,23.62 cu km (2011)
Laos,333.5 cu km (2011)
Latvia,35.45 cu km (2011)
Lebanon,4.5 cu km (2011)
