Afghanistan,"35% (2008 est.) 
      
      40% (2005 est.)"
Albania,"16.9% (2013 est.) 
      
      14.4% (2012 est.) 
      
      
        note: these are official rates that may not include those working at near-subsistence farming"
Algeria,"10.3% (2013 est.) 
      
      10.7% (2012 est.)"
American Samoa,29.8% (2005)
Andorra,"4% (2012 est.) 
      
      1.9% (2011 est.)"
Angola,NA%
Anguilla,8% (2002)
Antigua and Barbuda,11% (2001 est.)
Argentina,"7.5% (2013 est.) 
      
      7.2% (2012 est.)"
Armenia,"17.3% (2012 est.) 
      
      18.4% (2011 est.)"
Aruba,6.9% (2005 est.)
Australia,"5.7% (2013 est.) 
      
      5.2% (2012 est.)"
Austria,"4.9% (2013 est.) 
      
      4.4% (2012 est.)"
Azerbaijan,"6% (2013 est.) 
      
      5.7% (2012 est.)"
"Bahamas, The","16.2% (2013 est.) 
      
      14% (2012 est.)"
Bahrain,15% (2005 est.)
Bangladesh,"5% (2013 est.) 
      
      5% (2012 est.) 
      
      
        note: about 40% of the population is underemployed; many persons counted as employed work only a few hours a week and at low wages"
Barbados,"11.4% (2013 est.) 
      
      11.6% (2012 est.)"
Belarus,"1% (2009 est.) 
      
      1.6% (2005) 
      
      
        note: official registered unemployed; large number of underemployed workers"
Belgium,"8.8% (2013 est.) 
      
      7.6% (2012 est.)"
Belize,"15.5% (2013) 
      
      11.3% (2012)"
Benin,NA%
Bermuda,8% (2012 est.)
Bhutan,"2.1% (2013) 
      
      4% (2009)"
Bolivia,"7.4% (2013 est.) 
      
      7.5% (2012 est.) 
      
      
        note: data are for urban areas; widespread underemployment"
Bosnia and Herzegovina,"44.3% (2013 est.) 
      
      44.1% (2012 est.) 
      
      
        note: official rate; actual rate is lower as many technically unemployed persons work in the gray economy"
Botswana,"17.8% (2009 est.) 
      
      7.5% (2007 est.)"
Brazil,"5.7% (2013 est.) 
      
      5.5% (2012 est.)"
British Virgin Islands,8.7% (2010 est.)
Brunei,"2.6% (2011) 
      
      2.7% (2010)"
Bulgaria,"11.6% (2013 est.) 
      
      11.1% (2012 est.)"
Burkina Faso,77% (2004)
Burma,"5.2% (2013 est.) 
      
      5.4% (2012 est.)"
Burundi,NA%
Cabo Verde,21% (2000 est.)
Cambodia,"0% (2011 est.) 
      
      0.3% (2010 est.)"
Cameroon,30% (2001 est.)
Canada,"7.1% (2013 est.) 
      
      7.3% (2012 est.)"
Cayman Islands,"4% (2008) 
      
      4.4% (2004)"
Central African Republic,"8% (2001 est.) 
      
      
        note: 23% unemployment in the capital, Bangui"
Chad,NA%
Chile,"6% (2013 est.) 
      
      6.3% (2012 est.)"
China,"4.1% (2013 est.) 
      
      4.1% (2012 est.) 
      
      
        note: data are for registered urban unemployment, which excludes private enterprises and migrants"
Cocos (Keeling) Islands,60% (2000 est.)
Colombia,"9.7% (2013 est.) 
      
      10.4% (2012 est.)"
Comoros,20% (1996 est.)
"Congo, Democratic Republic of the",NA%
"Congo, Republic of the",53% (2012 est.)
Cook Islands,13.1% (2005)
Costa Rica,"7.9% (2013 est.) 
      
      7.8% (2012 est.)"
Cote d'Ivoire,NA%
Croatia,"21.6% (2013 est.) 
      
      19.1% (2012 est.)"
Cuba,"4.3% (2013 est.) 
      
      3.8% (2012 est.) 
      
      
        note: these are official rates; unofficial estimates are about double the official figures"
Curacao,"13% (2013 est.) 
      
      9.8% (2011 est.)"
Cyprus,"17.4% (2013 est.) 
      
      11.9% (2012 est.)"
Czech Republic,"7.1% (2013 est.) 
      
      7% (2012 est.)"
Denmark,"6% (2013 est.) 
      
      6% (2012 est.)"
Djibouti,"59% (2007 est.) 
      
      
        note: data are for urban areas only, unemployment is over 80% in rural areas"
Dominica,23% (2000 est.)
Dominican Republic,"15% (2013 est.) 
      
      14.3% (2012 est.)"
Ecuador,"4.2% (2013 est.) 
      
      4.2% (2011 est.)"
Egypt,"13.4% (2013 est.) 
      
      12.7% (2012 est.)"
El Salvador,"6.3% (2013 est.) 
      
      6.1% (2012 est.) 
      
      
        note: data are official rates; but underemployment is high"
Equatorial Guinea,22.3% (2009 est.)
Eritrea,NA%
Estonia,"10.9% (2013 est.) 
      
      10.2% (2012 est.)"
Ethiopia,"17.5% (2012 est.) 
      
      18% (2011 est.)"
European Union,"10.5% (2013 est.) 
      
      10.1% (2012)"
Falkland Islands (Islas Malvinas),4.1% (2010)
Faroe Islands,"6.8% (2011) 
      
      5.7% (2010)"
Fiji,7.6% (1999)
Finland,"8.1% (2013 est.) 
      
      7.8% (2012 est.)"
