Albania,"total: 22.5% 
      
      
        male: 23.8% 
      
      
        female: 20.7% (2011)"
Algeria,"total: 28.4% 
      
      
        male: 19.1% 
      
      
        female: 38.2% (2011)"
Antigua and Barbuda,"total: 19.9% 
      
      
        male: 18.4% 
      
      
        female: 21.6% (2001)"
Argentina,"total: 18.3% 
      
      
        male: 15.3% 
      
      
        female: 23.1% (2011)"
Armenia,"total: 39.2% 
      
      
        male: 35% 
      
      
        female: 45% (2011)"
Aruba,"total: 23.2% 
      
      
        male: 24.1% 
      
      
        female: 22.9% (2007)"
Australia,"total: 11.7% 
      
      
        male: 12.4% 
      
      
        female: 11% (2012)"
Austria,"total: 8.3% 
      
      
        male: 8.8% 
      
      
        female: 8.7% (2012)"
Azerbaijan,"total: 14.2% 
      
      
        male: 12.2% 
      
      
        female: 16.3% (2012)"
"Bahamas, The","total: 30.8% 
      
      
        male: 29.6% 
      
      
        female: 32.2% (2012)"
Bahrain,"total: 5% 
      
      
        male: 2.5% 
      
      
        female: 11.6% (2010)"
Bangladesh,"total: 9.3% 
      
      
        male: 8% 
      
      
        female: 13.6% (2005)"
Barbados,"total: 26.2% 
      
      
        male: 24.1% 
      
      
        female: 28.7% (2003)"
Belarus,"total: 12.6% 
      
      
        male: 12.4% 
      
      
        female: 12.6% (2009)"
Belgium,"total: 19.8% 
      
      
        male: 20.4% 
      
      
        female: 19.8% (2012)"
Belize,"total: 19.5% 
      
      
        male: 13.8% 
      
      
        female: 28.8% (2005)"
Benin,"total: 0.8% 
      
      
        male: 1.1% 
      
      
        female: 0.6% (2002)"
Bermuda,"total: 10.8% 
      
      
        male: 14.3% 
      
      
        female: 7.6% (2000)"
Bhutan,"total: 7.2% 
      
      
        male: 7.3% 
      
      
        female: 7.2% (2012)"
Bolivia,"total: 6.2% 
      
      
        male: 4.8% 
      
      
        female: 7.8% (2009)"
Bosnia and Herzegovina,"total: 62.8% 
      
      
        male: 62.8% 
      
      
        female: 62.8% (2012)"
Botswana,"total: 13.6% 
      
      
        male: 13.2% 
      
      
        female: 14% (2000)"
Brazil,"total: 15.4% 
      
      
        male: 12.2% 
      
      
        female: 19.8% (2011)"
Bulgaria,"total: 28.1% 
      
      
        male: 29.5% 
      
      
        female: 26% (2012)"
Burkina Faso,"total: 3.8% 
      
      
        male: 4.6% 
      
      
        female: 2.9% (2006)"
Cambodia,"total: 3.4% 
      
      
        male: 3.5% 
      
      
        female: 3.3% (2008)"
Canada,"total: 14.3% 
      
      
        male: 15.9% 
      
      
        female: 12.6% (2012)"
Cayman Islands,"total: 13.5% 
      
      
        male: 13.6% 
      
      
        female: 13.3% (2008)"
Chile,"total: 16.3% 
      
      
        male: 14.3% 
      
      
        female: 19.1% (2012)"
Colombia,"total: 21.9% 
      
      
        male: 17% 
      
      
        female: 28.9% (2011)"
Costa Rica,"total: 18.4% 
      
      
        male: 15% 
      
      
        female: 24.2% (2012)"
Croatia,"total: 43.1% 
      
      
        male: 42.3% 
      
      
        female: 44.3% (2012)"
Cuba,"total: 3.1% 
      
      
        male: 2.8% 
      
      
        female: 3.5% (2008)"
Cyprus,"total: 27.8% 
      
      
        male: 28.8% 
      
      
        female: 26.6% (2012)"
Czech Republic,"total: 19.5% 
      
      
        male: 19.9% 
      
      
        female: 19% (2012)"
Denmark,"total: 14.2% 
      
      
        male: 14.8% 
      
      
        female: 14.1% (2012)"
Dominica,"total: 26% 
      
      
        male: 26.2% 
      
      
        female: 25.4% (2001)"
Dominican Republic,"total: 29.4% 
      
      
        male: 22.6% 
      
      
        female: 40.8% (2011)"
Ecuador,"total: 11.1% 
      
      
        male: 9% 
      
      
        female: 15% (2011)"
Egypt,"total: 24.8% 
      
      
        male: 14.7% 
      
      
        female: 54.1% (2010)"
El Salvador,"total: 12.4% 
      
      
        male: 12.8% 
      
      
        female: 11.7% (2012)"
Estonia,"total: 20.9% 
      
      
        male: 23.4% 
      
      
        female: 17.9% (2012)"
Ethiopia,"total: 24.9% 
      
      
        male: 19.5% 
      
      
        female: 29.4% (2006)"
Faroe Islands,"total: 9.4% 
      
      
        male: 6.9% 
      
      
        female: 12.5% (2005)"
