Afghanistan,"urban population: 23.5% of total population (2011) 
      
      
        rate of urbanization: 4.41% annual rate of change (2010-15 est.)"
Albania,"urban population: 53.4% of total population (2011) 
      
      
        rate of urbanization: 2.27% annual rate of change (2010-15 est.)"
Algeria,"urban population: 73% of total population (2011) 
      
      
        rate of urbanization: 2.49% annual rate of change (2010-15 est.)"
American Samoa,"urban population: 93.2% of total population (2011) 
      
      
        rate of urbanization: 1.87% annual rate of change (2010-15 est.)"
Andorra,"urban population: 87.3% of total population (2011) 
      
      
        rate of urbanization: 0.93% annual rate of change (2010-15 est.)"
Angola,"urban population: 59.2% of total population (2011) 
      
      
        rate of urbanization: 3.97% annual rate of change (2010-15 est.)"
Anguilla,"urban population: 100% of total population (2011) 
      
      
        rate of urbanization: 1.56% annual rate of change (2010-15 est.)"
Antigua and Barbuda,"urban population: 29.8% of total population (2011) 
      
      
        rate of urbanization: 0.96% annual rate of change (2010-15 est.)"
Argentina,"urban population: 92.5% of total population (2011) 
      
      
        rate of urbanization: 1.01% annual rate of change (2010-15 est.)"
Armenia,"urban population: 64.1% of total population (2011) 
      
      
        rate of urbanization: 0.34% annual rate of change (2010-15 est.)"
Aruba,"urban population: 46.8% of total population (2011) 
      
      
        rate of urbanization: 0.54% annual rate of change (2010-15 est.)"
Australia,"urban population: 89.2% of total population (2011) 
      
      
        rate of urbanization: 1.49% annual rate of change (2010-15 est.)"
Austria,"urban population: 67.7% of total population (2011) 
      
      
        rate of urbanization: 0.48% annual rate of change (2010-15 est.)"
Azerbaijan,"urban population: 53.6% of total population (2011) 
      
      
        rate of urbanization: 1.64% annual rate of change (2010-15 est.)"
"Bahamas, The","urban population: 84.3% of total population (2011) 
      
      
        rate of urbanization: 1.37% annual rate of change (2010-15 est.)"
Bahrain,"urban population: 88.7% of total population (2011) 
      
      
        rate of urbanization: 2.21% annual rate of change (2010-15 est.)"
Bangladesh,"urban population: 28.4% of total population (2011) 
      
      
        rate of urbanization: 2.96% annual rate of change (2010-15 est.)"
Barbados,"urban population: 44.4% of total population (2011) 
      
      
        rate of urbanization: 1.35% annual rate of change (2010-15 est.)"
Belarus,"urban population: 75% of total population (2011) 
      
      
        rate of urbanization: 0.21% annual rate of change (2010-15 est.)"
Belgium,"urban population: 97.5% of total population (2011) 
      
      
        rate of urbanization: 0.32% annual rate of change (2010-15 est.)"
Belize,"urban population: 44.7% of total population (2011) 
      
      
        rate of urbanization: 1.54% annual rate of change (2010-15 est.)"
Benin,"urban population: 44.9% of total population (2011) 
      
      
        rate of urbanization: 4.12% annual rate of change (2010-15 est.)"
Bermuda,"urban population: 100% of total population (2011) 
      
      
        rate of urbanization: 0.19% annual rate of change (2010-15 est.)"
Bhutan,"urban population: 35.6% of total population (2011) 
      
      
        rate of urbanization: 3.65% annual rate of change (2010-15 est.)"
Bolivia,"urban population: 66.8% of total population (2011) 
      
      
        rate of urbanization: 2.18% annual rate of change (2010-15 est.)"
Bosnia and Herzegovina,"urban population: 48.3% of total population (2011) 
      
      
        rate of urbanization: 0.86% annual rate of change (2010-15 est.)"
Botswana,"urban population: 61.7% of total population (2011) 
      
      
        rate of urbanization: 2.07% annual rate of change (2010-15 est.)"
Brazil,"urban population: 84.6% of total population (2011) 
      
      
        rate of urbanization: 1.15% annual rate of change (2010-15 est.)"
British Virgin Islands,"urban population: 40.6% of total population (2011) 
      
      
        rate of urbanization: 1.48% annual rate of change (2010-15 est.)"
Brunei,"urban population: 76% of total population (2011) 
      
      
        rate of urbanization: 2.13% annual rate of change (2010-15 est.)"
Bulgaria,"urban population: 73.1% of total population (2011) 
      
      
        rate of urbanization: 0.1% annual rate of change (2010-15 est.)"
Burkina Faso,"urban population: 26.5% of total population (2011) 
      
      
        rate of urbanization: 6.02% annual rate of change (2010-15 est.)"
Burma,"urban population: 32.6% of total population (2011) 
      
      
        rate of urbanization: 2.49% annual rate of change (2010-15 est.)"
Burundi,"urban population: 10.9% of total population (2011) 
      
      
        rate of urbanization: 4.12% annual rate of change (2010-15 est.)"
Cabo Verde,"urban population: 62.6% of total population (2011) 
      
      
        rate of urbanization: 2.12% annual rate of change (2010-15 est.)"
Cambodia,"urban population: 20% of total population (2011) 
      
      
        rate of urbanization: 2.13% annual rate of change (2010-15 est.)"
Cameroon,"urban population: 52.1% of total population (2011) 
      
      
        rate of urbanization: 3.23% annual rate of change (2010-15 est.)"
Canada,"urban population: 80.7% of total population (2011) 
      
      
        rate of urbanization: 1.06% annual rate of change (2010-15 est.)"
Cayman Islands,"urban population: 100% of total population (2011) 
      
      
        rate of urbanization: 0.82% annual rate of change (2010-15 est.)"
Central African Republic,"urban population: 39.1% of total population (2011) 
      
      
        rate of urbanization: 2.6% annual rate of change (2010-15 est.)"
Chad,"urban population: 21.8% of total population (2011) 
      
      
        rate of urbanization: 3% annual rate of change (2010-15 est.)"
Chile,"urban population: 89.2% of total population (2011) 
      
      
        rate of urbanization: 1.09% annual rate of change (2010-15 est.)"
China,"urban population: 50.6% of total population (2011) 
      
      
        rate of urbanization: 2.85% annual rate of change (2010-15 est.)"
Colombia,"urban population: 75.3% of total population (2011) 
      
      
        rate of urbanization: 1.65% annual rate of change (2010-15 est.)"
Comoros,"urban population: 28% of total population (2011) 
      
      
        rate of urbanization: 2.84% annual rate of change (2010-15 est.)"
"Congo, Democratic Republic of the","urban population: 34.3% of total population (2011) 
      
      
        rate of urbanization: 4.19% annual rate of change (2010-15 est.)"
"Congo, Republic of the","urban population: 63.7% of total population (2011) 
      
      
        rate of urbanization: 2.84% annual rate of change (2010-15 est.)"
Cook Islands,"urban population: 73.5% of total population (2011) 
      
      
        rate of urbanization: 0.88% annual rate of change (2010-15 est.)"
Costa Rica,"urban population: 64.7% of total population (2011) 
      
      
        rate of urbanization: 2.06% annual rate of change (2010-15 est.)"
Cote d'Ivoire,"urban population: 51.3% of total population (2011) 
      
      
        rate of urbanization: 3.56% annual rate of change (2010-15 est.)"
Croatia,"urban population: 57.8% of total population (2011) 
      
      
        rate of urbanization: 0.3% annual rate of change (2010-15 est.)"
Cuba,"urban population: 75.2% of total population (2011) 
      
      
        rate of urbanization: -0.08% annual rate of change (2010-15 est.)"
Cyprus,"urban population: 70.5% of total population (2011) 
      
      
        rate of urbanization: 1.36% annual rate of change (2010-15 est.)"
Czech Republic,"urban population: 73.4% of total population (2011) 
      
      
        rate of urbanization: 0.24% annual rate of change (2010-15 est.)"
Denmark,"urban population: 86.9% of total population (2011) 
      
      
        rate of urbanization: 0.5% annual rate of change (2010-15 est.)"
Djibouti,"urban population: 77.1% of total population (2011) 
      
      
        rate of urbanization: 1.96% annual rate of change (2010-15 est.)"
Dominica,"urban population: 67.1% of total population (2011) 
      
      
        rate of urbanization: 0.18% annual rate of change (2010-15 est.)"
Dominican Republic,"urban population: 69.7% of total population (2011) 
      
      
        rate of urbanization: 2.03% annual rate of change (2010-15 est.)"
Ecuador,"urban population: 67.5% of total population (2011) 
      
      
        rate of urbanization: 2.13% annual rate of change (2010-15 est.)"
Egypt,"urban population: 43.5% of total population (2011) 
      
      
        rate of urbanization: 2.04% annual rate of change (2010-15 est.)"
El Salvador,"urban population: 64.8% of total population (2011) 
      
      
        rate of urbanization: 1.35% annual rate of change (2010-15 est.)"
Equatorial Guinea,"urban population: 39.5% of total population (2011) 
      
      
        rate of urbanization: 3.16% annual rate of change (2010-15 est.)"
Eritrea,"urban population: 21.3% of total population (2011) 
      
      
        rate of urbanization: 5.01% annual rate of change (2010-15 est.)"
Estonia,"urban population: 69.5% of total population (2011) 
      
      
        rate of urbanization: 0.02% annual rate of change (2010-15 est.)"
Ethiopia,"urban population: 17% of total population (2011) 
      
      
        rate of urbanization: 3.57% annual rate of change (2010-15 est.)"
Falkland Islands (Islas Malvinas),"urban population: 74.1% of total population (2011) 
      
      
        rate of urbanization: 0.92% annual rate of change (2010-15 est.)"
Faroe Islands,"urban population: 41.1% of total population (2011) 
      
      
        rate of urbanization: 0.97% annual rate of change (2010-15 est.)"
Fiji,"urban population: 52.2% of total population (2011) 
      
      
        rate of urbanization: 1.55% annual rate of change (2010-15 est.)"
Finland,"urban population: 83.7% of total population (2011) 
      
      
        rate of urbanization: 0.47% annual rate of change (2010-15 est.)"
France,"urban population: 85.8% of total population (2011) 
      
      
        rate of urbanization: 1.1% annual rate of change (2010-15 est.)"
French Polynesia,"urban population: 51.4% of total population (2011) 
      
      
        rate of urbanization: 1.07% annual rate of change (2010-15 est.)"
